"Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999"
"Stuart Dallas,nir NIR,DFMF,29,38,38,3409,37.9,8,2,8,0,0,7,0,0.21,0.05,0.26,0.21,0.26,4.6,4.6,2.1,6.7,0.12,0.05,0.18,0.12,0.18,Matches,67ca8566"
"Luke Ayling,eng ENG,DF,28,38,38,3399,37.8,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,2.6,4.0,0.04,0.07,0.10,0.04,0.10,Matches,420d7c7d"
"Patrick Bamford,eng ENG,FW,26,38,37,3050,33.9,17,7,15,2,2,3,0,0.50,0.21,0.71,0.44,0.65,17.3,15.7,4.1,19.8,0.51,0.12,0.63,0.46,0.59,Matches,93feac6e"
"Illan Meslier,fr FRA,GK,20,35,35,3150,35.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,6b625ac2"
"Jack Harrison,eng ENG,MF,23,36,34,2847,31.6,8,8,8,0,0,2,0,0.25,0.25,0.51,0.25,0.51,6.6,6.6,7.1,13.7,0.21,0.22,0.43,0.21,0.43,Matches,aa849a12"
"Ezgjan Alioski,mk MKD,DF,28,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,Matches,1a7fcf39"
"Kalvin Phillips,eng ENG,MF,24,29,28,2428,27.0,1,2,1,0,0,10,0,0.04,0.07,0.11,0.04,0.11,0.4,0.4,3.8,4.1,0.01,0.14,0.15,0.01,0.15,Matches,4f565d77"
"Mateusz Klich,pl POL,MF,30,35,28,2393,26.6,4,5,2,2,2,6,0,0.15,0.19,0.34,0.08,0.26,3.3,1.8,3.9,5.7,0.13,0.15,0.27,0.07,0.22,Matches,282679b4"
"Raphinha,br BRA,MF,23,30,26,2360,26.2,6,9,6,0,0,3,0,0.23,0.34,0.57,0.23,0.57,6.0,6.0,8.1,14.1,0.23,0.31,0.54,0.23,0.54,Matches,3423f250"
"Liam Cooper,sct SCO,DF,28,25,25,2185,24.3,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.0,1.3,0.05,0.00,0.05,0.05,0.05,Matches,dc64b8b3"
"Pascal Struijk,nl NED,DFMF,20,27,22,2075,23.1,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,2.4,2.4,0.2,2.6,0.10,0.01,0.11,0.10,0.11,Matches,f4d296e4"
"Tyler Roberts,wls WAL,MFFW,21,27,14,1340,14.9,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,2.1,2.1,1.8,3.8,0.14,0.12,0.26,0.14,0.26,Matches,6c17e046"
"Rodrigo,es ESP,MFFW,29,26,14,1288,14.3,7,2,7,0,0,3,0,0.49,0.14,0.63,0.49,0.63,6.3,6.3,2.4,8.6,0.44,0.17,0.60,0.44,0.60,Matches,1fb1c435"
"Diego Llorente,es ESP,DF,26,15,14,1204,13.4,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.6,1.4,0.06,0.05,0.10,0.06,0.10,Matches,bba30585"
"Hélder Costa,ao ANG,MFFW,26,22,13,1156,12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2.0,2.0,0.9,2.9,0.16,0.07,0.23,0.16,0.23,Matches,f13d02a6"
"Robin Koch,de GER,DFMF,24,17,13,1132,12.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.06,0.01,0.08,0.06,0.08,Matches,ea6bc03a"
"Jamie Shackleton,eng ENG,MFDF,20,13,3,461,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Matches,8d03ca5a"
"Pablo Hernández,es ESP,MFFW,35,16,3,427,4.7,0,2,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,1.2,1.2,0.7,1.8,0.25,0.14,0.39,0.25,0.39,Matches,c0398aca"
"Kiko Casilla,es ESP,GK,33,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,58bc7d18"
"Gaetano Berardi,ch SUI,DF,31,2,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,5348aada"
"Ian Carlo Poveda,eng ENG,MFDF,20,14,0,355,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.09,0.21,0.30,0.09,0.30,Matches,55b4f1d6"
"Niall Huggins,wls WAL,DF,19,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6d646ff7"
"Leif Davis,eng ENG,DF,20,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8574c61f"
