"Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999"
"Lewis Dunk,eng ENG,DF,25,38.0,67,33,49,18,0,25,48,52.1,23,73,58,15,71,138,230,2,Matches,282f75f3"
"Mathew Ryan,au AUS,GK,25,38.0,0,0,0,0,0,0,3,0.0,3,0,0,0,3,3,10,3,Matches,4535e4bb"
"Shane Duffy,ie IRL,DF,25,36.6,31,19,22,9,0,7,20,35.0,13,66,59,7,50,81,332,5,Matches,7314bba4"
"Dale Stephens,eng ENG,MF,28,36.0,104,62,63,39,2,32,114,28.1,82,53,16,37,63,167,69,1,Matches,653ee42d"
"Davy Pröpper,nl NED,MF,25,34.7,73,44,35,35,3,18,83,21.7,65,35,11,24,60,133,80,2,Matches,fdd85f94"
"Pascal Groß,de GER,FWMF,26,32.5,36,24,18,16,2,10,67,14.9,57,31,5,26,14,50,20,0,Matches,8aec0537"
"Anthony Knockaert,fr FRA,MFFW,25,26.9,39,26,25,11,3,16,55,29.1,39,29,3,26,23,62,16,0,Matches,6c679c6d"
"Gaëtan Bong,cm CMR,DF,29,24.8,39,32,25,11,3,15,26,57.7,11,24,6,18,40,79,81,1,Matches,cfd5e123"
"Glenn Murray,eng ENG,FW,33,24.4,18,12,4,11,3,2,18,11.1,16,16,4,12,5,23,27,0,Matches,f2f29dda"
"Bruno,es ESP,DF,36,22.4,30,17,21,6,3,14,22,63.6,8,17,11,6,38,68,76,0,Matches,78803d03"
"José Izquierdo,co COL,MFFW,25,22.0,23,15,12,9,2,7,19,36.8,12,6,0,6,16,39,34,0,Matches,ca2bc3df"
"Solly March,eng ENG,MFFW,23,20.6,54,41,34,14,6,22,54,40.7,32,27,3,24,13,67,49,0,Matches,bb5fbd2b"
"Ezequiel Schelotto,it ITA,DF,28,14.6,20,13,14,6,0,12,27,44.4,15,7,3,4,19,39,58,2,Matches,a6e316c1"
"Markus Suttner,at AUT,DF,30,13.1,25,15,18,4,3,10,22,45.5,12,16,2,14,12,37,49,1,Matches,7391c2d9"
"Tomer Hemed,il ISR,FW,30,9.4,7,5,3,4,0,2,10,20.0,8,10,1,9,2,9,12,0,Matches,27d7453c"
"Beram Kayal,il ISR,MF,29,8.3,18,11,10,7,1,6,26,23.1,20,11,4,7,12,30,9,0,Matches,26679cdf"
"Izzy Brown,eng ENG,MFFW,20,3.5,3,3,2,1,0,1,7,14.3,6,3,0,3,1,4,3,0,Matches,bf54c8cc"
"Jürgen Locadia,nl NED,FWMF,23,2.5,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,1,1,Matches,6cc47ae1"
"Leonardo Ulloa,ar ARG,FW,31,3.0,3,1,0,1,2,1,7,14.3,6,1,0,1,0,3,3,0,Matches,eed56f6c"
"Connor Goldson,eng ENG,DF,24,2.2,2,2,1,1,0,1,4,25.0,3,3,3,0,1,3,9,0,Matches,56f6f826"
"Jamie Murphy,sct SCO,MF,27,1.9,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,3,0,Matches,6c96b263"
"Liam Rosenior,eng ENG,DF,33,1.8,4,3,2,1,1,2,5,40.0,3,2,1,1,4,8,7,0,Matches,8b0d6fe9"
"Sam Baldock,eng ENG,FW,28,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,9d597f08"
"Uwe Hünemeier,de GER,DF,31,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,f42456eb"
"Squad Total,,,27.5,38.0,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18,,-9999"
