"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"Lewis Dunk,eng ENG,DF,25,38.0,7,0,0,36,17,0,7,71,33,0,0,4,252,120,73,62.2,Matches,282f75f3"
"Mathew Ryan,au AUS,GK,25,38.0,0,0,0,0,1,0,0,3,0,0,0,0,24,12,0,100.0,Matches,4535e4bb"
"Shane Duffy,ie IRL,DF,25,36.6,8,0,0,33,25,7,3,50,19,1,1,0,162,192,89,68.3,Matches,7314bba4"
"Dale Stephens,eng ENG,MF,28,36.0,6,0,0,50,17,0,0,63,62,0,1,0,293,28,30,48.3,Matches,653ee42d"
"Davy Pröpper,nl NED,MF,25,34.7,2,1,0,41,11,2,12,60,44,0,0,0,245,46,41,52.9,Matches,fdd85f94"
"Pascal Groß,de GER,FWMF,26,32.5,2,0,0,33,20,9,234,14,24,0,0,0,137,12,56,17.6,Matches,8aec0537"
"Anthony Knockaert,fr FRA,MFFW,25,26.9,4,1,0,22,23,8,98,23,26,0,0,0,171,15,19,44.1,Matches,6c679c6d"
"Gaëtan Bong,cm CMR,DF,29,24.8,2,0,0,16,13,0,53,40,32,0,0,1,140,29,28,50.9,Matches,cfd5e123"
"Glenn Murray,eng ENG,FW,33,24.4,9,0,0,60,50,35,9,5,12,3,0,0,69,115,143,44.6,Matches,f2f29dda"
"Bruno,es ESP,DF,36,22.4,3,0,0,19,8,0,41,38,17,0,1,0,116,28,22,56.0,Matches,78803d03"
"José Izquierdo,co COL,MFFW,25,22.0,2,0,0,20,13,14,23,16,15,2,0,0,108,15,30,33.3,Matches,ca2bc3df"
"Solly March,eng ENG,MFFW,23,20.6,3,0,0,29,22,7,102,13,41,1,0,0,135,19,42,31.1,Matches,bb5fbd2b"
"Ezequiel Schelotto,it ITA,DF,28,14.6,3,0,0,8,11,0,33,19,13,0,0,0,74,27,18,60.0,Matches,a6e316c1"
"Markus Suttner,at AUT,DF,30,13.1,0,0,0,5,2,0,45,12,15,0,0,0,59,14,13,51.9,Matches,7391c2d9"
"Tomer Hemed,il ISR,FW,30,9.4,0,0,0,10,13,7,1,2,5,0,0,0,22,66,85,43.7,Matches,27d7453c"
"Beram Kayal,il ISR,MF,29,8.3,2,0,0,15,15,1,5,12,11,0,0,0,54,8,8,50.0,Matches,26679cdf"
"Izzy Brown,eng ENG,MFFW,20,3.5,0,0,0,3,3,1,7,1,3,0,0,0,17,13,23,36.1,Matches,bf54c8cc"
"Jürgen Locadia,nl NED,FWMF,23,2.5,0,0,0,2,3,2,3,1,0,0,0,0,12,1,10,9.1,Matches,6cc47ae1"
"Leonardo Ulloa,ar ARG,FW,31,3.0,0,0,0,7,3,4,0,0,1,0,0,0,8,23,40,36.5,Matches,eed56f6c"
"Connor Goldson,eng ENG,DF,24,2.2,1,0,0,2,2,0,1,1,2,0,0,0,12,9,4,69.2,Matches,56f6f826"
"Jamie Murphy,sct SCO,MF,27,1.9,0,0,0,1,5,1,2,1,2,0,0,0,6,0,2,0.0,Matches,6c96b263"
"Liam Rosenior,eng ENG,DF,33,1.8,0,0,0,1,0,0,1,4,3,0,0,0,5,2,1,66.7,Matches,8b0d6fe9"
"Sam Baldock,eng ENG,FW,28,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,9d597f08"
"Uwe Hünemeier,de GER,DF,31,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches,f42456eb"
"Squad Total,,,27.5,38.0,,,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6,,-9999"
