"Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999"
"Lewis Dunk,eng ENG,DF,26,35.0,1246,1510,82.5,26946,8559,380,425,89.4,604,655,92.2,239,380,62.9,1,0.8,0.7,+0.2,11,75,2,0,45,Matches,282f75f3"
"Shane Duffy,ie IRL,DF,26,34.3,987,1318,74.9,21295,7903,280,341,82.1,509,606,84.0,172,316,54.4,1,0.3,0.3,+0.7,7,41,3,1,33,Matches,7314bba4"
"Mathew Ryan,au AUS,GK,26,34.0,564,1032,54.7,23324,20299,42,43,97.7,149,156,95.5,373,825,45.2,0,0.0,0.1,0.0,0,34,0,0,0,Matches,4535e4bb"
"Davy Pröpper,nl NED,MF,26,28.3,973,1243,78.3,17226,4813,425,508,83.7,414,491,84.3,104,160,65.0,1,1.3,1.4,-0.3,19,131,17,1,118,Matches,fdd85f94"
"Glenn Murray,eng ENG,FW,34,27.9,353,618,57.1,4264,900,235,372,63.2,72,134,53.7,13,23,56.5,1,1.3,1.2,-0.3,12,25,7,0,23,Matches,f2f29dda"
"Solly March,eng ENG,FWMF,24,27.4,598,938,63.8,10248,2627,323,395,81.8,184,279,65.9,72,154,46.8,5,4.3,4.3,+0.7,41,35,38,19,39,Matches,bb5fbd2b"
"Dale Stephens,eng ENG,MF,29,27.6,1136,1365,83.2,21941,6362,462,522,88.5,492,550,89.5,166,229,72.5,1,0.7,0.7,+0.3,18,138,11,1,109,Matches,653ee42d"
"Martín Montoya,es ESP,DF,27,24.1,900,1152,78.1,13885,6073,497,564,88.1,327,423,77.3,53,100,53.0,1,1.2,1.5,-0.2,18,59,26,15,61,Matches,5cec2487"
"Pascal Groß,de GER,MFFW,27,20.7,661,965,68.5,12127,3940,323,379,85.2,206,292,70.5,105,225,46.7,3,5.5,4.2,-2.5,54,87,28,15,66,Matches,8aec0537"
"Gaëtan Bong,cm CMR,DF,30,20.1,603,888,67.9,9894,5036,291,338,86.1,259,378,68.5,39,117,33.3,0,0.5,0.6,-0.5,9,48,16,8,53,Matches,cfd5e123"
"Bernardo,br BRA,DF,23,19.5,729,1029,70.8,11231,4660,394,461,85.5,274,382,71.7,42,114,36.8,1,0.6,0.8,+0.4,9,49,15,4,61,Matches,17370b95"
"Anthony Knockaert,fr FRA,MFFW,26,20.4,519,736,70.5,8704,2670,307,359,85.5,119,175,68.0,76,144,52.8,6,3.6,3.7,+2.4,35,26,19,7,38,Matches,6c679c6d"
"Yves Bissouma,ml MLI,MF,21,19.7,588,730,80.5,8848,2018,338,384,88.0,194,234,82.9,38,66,57.6,0,1.0,0.9,-1.0,13,50,11,0,49,Matches,6c203af0"
"Bruno,es ESP,DF,37,12.6,507,645,78.6,8805,4115,238,257,92.6,221,281,78.6,38,84,45.2,1,0.6,0.3,+0.4,6,31,6,4,44,Matches,78803d03"
"Jürgen Locadia,nl NED,FWMF,24,13.7,249,348,71.6,3807,749,148,194,76.3,66,94,70.2,23,33,69.7,0,1.0,0.6,-1.0,13,12,10,2,12,Matches,6cc47ae1"
"Alireza Jahanbakhsh,ir IRN,FWMF,24,11.3,201,308,65.3,3128,913,122,148,82.4,57,82,69.5,16,39,41.0,0,0.2,0.3,-0.2,5,13,6,2,13,Matches,08452314"
"Beram Kayal,il ISR,MF,30,10.4,194,283,68.6,3007,919,105,129,81.4,76,101,75.2,9,35,25.7,1,1.1,0.4,-0.1,4,20,3,1,19,Matches,26679cdf"
"José Izquierdo,co COL,MFFW,26,8.8,156,216,72.2,2091,641,97,119,81.5,48,61,78.7,5,16,31.3,1,0.4,0.5,+0.6,5,9,4,0,18,Matches,ca2bc3df"
"Florin Andone,ro ROU,FW,25,9.8,113,170,66.5,1385,187,73,94,77.7,29,49,59.2,2,6,33.3,0,0.1,0.2,-0.1,2,3,1,1,2,Matches,dc008610"
"Leon Balogun,ng NGA,DF,30,6.6,168,222,75.7,3430,835,38,50,76.0,99,112,88.4,24,44,54.5,0,0.0,0.1,0.0,0,1,0,0,6,Matches,78e68b4d"
"David Button,eng ENG,GK,29,4.0,46,108,42.6,2017,1847,2,2,100.0,14,14,100.0,30,92,32.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches,e608ed4c"
"Squad Total,,,27.4,38.0,11491,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,24,24.5,23.1,-0.5,281,887,223,81,809,,-9999"
