"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"Lewis Dunk,eng ENG,DF,26,35.0,2,20,4,20.0,0.57,0.11,0.10,0.50,14.1,2,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches,282f75f3"
"Shane Duffy,ie IRL,DF,26,34.3,5,37,14,37.8,1.08,0.41,0.14,0.36,10.6,0,0,0,3.1,3.1,0.08,+1.9,+1.9,Matches,7314bba4"
"Mathew Ryan,au AUS,GK,26,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4535e4bb"
"Davy Pröpper,nl NED,MF,26,28.3,1,15,2,13.3,0.53,0.07,0.07,0.50,15.9,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,fdd85f94"
"Glenn Murray,eng ENG,FW,34,27.9,13,50,17,34.0,1.79,0.61,0.18,0.53,12.2,0,4,4,11.4,8.1,0.16,+1.6,+0.9,Matches,f2f29dda"
"Solly March,eng ENG,FWMF,24,27.4,1,43,9,20.9,1.57,0.33,0.02,0.11,21.4,3,0,0,2.5,2.5,0.06,-1.5,-1.5,Matches,bb5fbd2b"
"Dale Stephens,eng ENG,MF,29,27.6,1,11,1,9.1,0.40,0.04,0.09,1.00,27.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,653ee42d"
"Martín Montoya,es ESP,DF,27,24.1,0,8,1,12.5,0.33,0.04,0.00,0.00,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,5cec2487"
"Pascal Groß,de GER,MFFW,27,20.7,3,22,7,31.8,1.06,0.34,0.09,0.29,18.0,1,1,2,4.4,2.8,0.13,-1.4,-0.8,Matches,8aec0537"
"Gaëtan Bong,cm CMR,DF,30,20.1,0,2,0,0.0,0.10,0.00,0.00,,27.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,cfd5e123"
"Bernardo,br BRA,DF,23,19.5,0,8,3,37.5,0.41,0.15,0.00,0.00,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,17370b95"
"Anthony Knockaert,fr FRA,MFFW,26,20.4,2,27,9,33.3,1.32,0.44,0.07,0.22,18.4,2,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,6c679c6d"
"Yves Bissouma,ml MLI,MF,21,19.7,0,31,3,9.7,1.57,0.15,0.00,0.00,26.1,3,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches,6c203af0"
"Bruno,es ESP,DF,37,12.6,0,2,0,0.0,0.16,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,78803d03"
"Jürgen Locadia,nl NED,FWMF,24,13.7,2,27,9,33.3,1.97,0.66,0.07,0.22,17.8,1,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches,6cc47ae1"
"Alireza Jahanbakhsh,ir IRN,FWMF,24,11.3,0,21,6,28.6,1.85,0.53,0.00,0.00,23.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,08452314"
"Beram Kayal,il ISR,MF,30,10.4,1,5,2,40.0,0.48,0.19,0.20,0.50,19.9,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,26679cdf"
"José Izquierdo,co COL,MFFW,26,8.8,0,15,3,20.0,1.70,0.34,0.00,0.00,21.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,ca2bc3df"
"Florin Andone,ro ROU,FW,25,9.8,3,19,8,42.1,1.94,0.82,0.16,0.38,12.3,0,0,0,2.5,2.5,0.13,+0.5,+0.5,Matches,dc008610"
"Leon Balogun,ng NGA,DF,30,6.6,1,1,1,100.0,0.15,0.15,1.00,1.00,13.3,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches,78e68b4d"
"David Button,eng ENG,GK,29,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e608ed4c"
"Squad Total,,,27.4,38.0,35,364,99,27.2,9.58,2.61,0.08,0.30,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7,,-9999"
