"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Lewis Dunk,eng ENG,DF,25,38.0,32,0.84,21,0,1,6,2,2,3,0.08,1,0,0,1,1,0,Matches,282f75f3"
"Mathew Ryan,au AUS,GK,25,38.0,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4535e4bb"
"Shane Duffy,ie IRL,DF,25,36.6,13,0.36,8,0,0,3,2,0,2,0.05,1,0,0,0,1,0,Matches,7314bba4"
"Dale Stephens,eng ENG,MF,28,36.0,47,1.31,43,0,0,3,0,1,3,0.08,2,0,0,1,0,0,Matches,653ee42d"
"Davy Pröpper,nl NED,MF,25,34.7,64,1.85,48,0,6,5,3,2,7,0.20,6,0,1,0,0,0,Matches,fdd85f94"
"Pascal Groß,de GER,FWMF,26,32.5,134,4.12,78,47,3,4,2,0,13,0.40,10,3,0,0,0,0,Matches,8aec0537"
"Anthony Knockaert,fr FRA,MFFW,25,26.9,84,3.12,58,8,12,2,4,0,8,0.30,8,0,0,0,0,0,Matches,6c679c6d"
"Gaëtan Bong,cm CMR,DF,29,24.8,20,0.80,17,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cfd5e123"
"Glenn Murray,eng ENG,FW,33,24.4,43,1.76,32,0,2,3,5,1,4,0.16,2,0,0,0,2,0,Matches,f2f29dda"
"Bruno,es ESP,DF,36,22.4,37,1.65,28,4,3,0,2,0,2,0.09,2,0,0,0,0,0,Matches,78803d03"
"José Izquierdo,co COL,MFFW,25,22.0,67,3.04,47,0,12,6,2,0,9,0.41,3,0,3,2,1,0,Matches,ca2bc3df"
"Solly March,eng ENG,MFFW,23,20.6,48,2.34,36,6,4,0,2,0,4,0.19,3,0,0,0,1,0,Matches,bb5fbd2b"
"Ezequiel Schelotto,it ITA,DF,28,14.6,21,1.43,14,2,1,2,1,1,1,0.07,1,0,0,0,0,0,Matches,a6e316c1"
"Markus Suttner,at AUT,DF,30,13.1,17,1.30,13,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,7391c2d9"
"Tomer Hemed,il ISR,FW,30,9.4,7,0.74,5,0,0,1,1,0,2,0.21,2,0,0,0,0,0,Matches,27d7453c"
"Beram Kayal,il ISR,MF,29,8.3,16,1.93,12,0,1,1,1,1,1,0.12,1,0,0,0,0,0,Matches,26679cdf"
"Izzy Brown,eng ENG,MFFW,20,3.5,12,3.48,9,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches,bf54c8cc"
"Jürgen Locadia,nl NED,FWMF,23,2.5,4,1.61,3,0,0,0,1,0,1,0.40,1,0,0,0,0,0,Matches,6cc47ae1"
"Leonardo Ulloa,ar ARG,FW,31,3.0,10,3.37,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,eed56f6c"
"Connor Goldson,eng ENG,DF,24,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,56f6f826"
"Jamie Murphy,sct SCO,MF,27,1.9,3,1.61,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6c96b263"
"Liam Rosenior,eng ENG,DF,33,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8b0d6fe9"
"Sam Baldock,eng ENG,FW,28,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9d597f08"
"Uwe Hünemeier,de GER,DF,31,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f42456eb"
"Squad Total,,,27.5,38.0,684,18.00,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0,,-9999"
