"Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999"
"Christopher Schindler,de GER,DF,28,36.2,1288,1555,82.8,26485,8603,399,466,85.6,672,772,87.0,205,284,72.2,0,0.2,0.4,-0.2,2,65,2,0,57,Matches,8ae9869d"
"Terence Kongolo,nl NED,DF,24,30.2,978,1275,76.7,17265,7866,444,513,86.5,427,530,80.6,99,193,51.3,1,1.1,0.6,-0.1,9,69,10,4,63,Matches,1f9a3a04"
"Jonas Lössl,dk DEN,GK,29,30.9,711,1105,64.3,26054,21655,46,46,100.0,281,289,97.2,383,767,49.9,1,0.5,0.1,+0.5,4,22,0,0,0,Matches,939bc634"
"Jonathan Hogg,eng ENG,MF,29,26.3,1289,1556,82.8,22062,5783,602,682,88.3,523,601,87.0,127,197,64.5,1,0.8,1.1,+0.2,16,127,14,1,97,Matches,9306d5ea"
"Alex Pritchard,eng ENG,MFFW,25,23.1,691,981,70.4,10133,2557,406,481,84.4,200,280,71.4,48,109,44.0,0,1.8,1.6,-1.8,32,66,20,6,52,Matches,ff9fcd4d"
"Aaron Mooy,au AUS,MFFW,27,25.9,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,97,Matches,47b7e3af"
"Philip Billing,dk DEN,MF,22,24.3,909,1261,72.1,16703,4691,408,489,83.4,330,455,72.5,136,236,57.6,0,1.7,1.1,-1.7,22,69,16,9,62,Matches,d328a254"
"Mathias Jørgensen,dk DEN,DF,28,23.9,974,1191,81.8,17693,7632,402,459,87.6,439,500,87.8,104,181,57.5,1,0.3,0.4,+0.7,8,76,3,1,69,Matches,0db5d2c8"
"Chris Löwe,de GER,DFMF,29,22.9,767,1109,69.2,13554,4429,386,454,85.0,248,348,71.3,109,220,49.5,2,1.7,1.6,+0.3,20,42,24,21,37,Matches,c6896eab"
"Erik Durm,de GER,DF,26,22.8,740,1087,68.1,11480,4444,401,488,82.2,238,354,67.2,71,155,45.8,1,0.6,0.8,+0.4,11,42,18,9,45,Matches,cf623c78"
"Florent Hadergjonaj,xk KVX,DFMF,24,20.5,688,973,70.7,11043,4256,371,429,86.5,217,316,68.7,69,152,45.4,0,1.5,1.3,-1.5,23,43,24,18,54,Matches,9aa186b2"
"Steve Mounié,bj BEN,FW,23,19.8,361,571,63.2,4655,836,234,341,68.6,103,154,66.9,8,18,44.4,3,1.9,1.3,+1.1,18,32,3,0,24,Matches,19ba6c6d"
"Juninho Bacuna,cw CUW,MFDF,20,15.7,565,770,73.4,10416,3609,267,314,85.0,192,242,79.3,91,167,54.5,0,1.4,1.3,-1.4,18,92,13,1,76,Matches,aaf1bf05"
"Elias Kachunga,cd COD,FWMF,26,13.1,220,317,69.4,2864,574,135,172,78.5,55,78,70.5,12,22,54.5,0,0.2,0.5,-0.2,5,14,5,5,9,Matches,5bddccc9"
"Tommy Smith,eng ENG,DF,26,12.7,468,629,74.4,7678,2648,254,289,87.9,148,203,72.9,50,98,51.0,0,0.4,0.3,-0.4,7,32,5,3,22,Matches,e9208654"
"Laurent Depoitre,be BEL,FW,29,11.9,164,278,59.0,1924,384,116,177,65.5,29,60,48.3,5,7,71.4,1,0.7,0.4,+0.3,9,14,2,0,15,Matches,aa5859cb"
"Isaac Mbenza,be BEL,FWMF,22,11.0,183,272,67.3,2816,769,101,129,78.3,56,79,70.9,17,36,47.2,1,0.9,0.7,+0.1,7,11,5,5,8,Matches,aa1a8c7e"
"Karlan Grant,eng ENG,FW,20,9.7,149,223,66.8,1841,463,91,131,69.5,40,53,75.5,4,9,44.4,0,0.3,0.2,-0.3,8,4,3,0,11,Matches,87f7500e"
"Jon Gorenc Stanković,si SVN,MFDF,22,7.9,224,297,75.4,4080,1375,87,100,87.0,106,130,81.5,25,48,52.1,0,0.1,0.1,-0.1,2,18,3,0,13,Matches,9c74fa25"
