"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Mathias Jørgensen,dk DEN,DF,27,38.0,19,0.50,16,1,0,0,0,2,4,0.11,4,0,0,0,0,0,Matches,0db5d2c8"
"Jonas Lössl,dk DEN,GK,28,38.0,8,0.21,5,3,0,0,0,0,2,0.05,1,1,0,0,0,0,Matches,939bc634"
"Christopher Schindler,de GER,DF,27,36.3,16,0.44,13,0,0,1,0,2,1,0.03,1,0,0,0,0,0,Matches,8ae9869d"
"Aaron Mooy,au AUS,MF,26,34.1,89,2.61,66,20,0,1,0,2,7,0.21,5,2,0,0,0,0,Matches,47b7e3af"
"Jonathan Hogg,eng ENG,MF,28,26.6,37,1.39,31,0,1,1,3,1,1,0.04,0,0,0,0,1,0,Matches,9306d5ea"
"Tom Ince,eng ENG,MFFW,25,27.2,66,2.42,41,5,5,9,5,1,2,0.07,1,0,0,1,0,0,Matches,67d23ab0"
"Rajiv van La Parra,nl NED,FWMF,26,23.7,49,2.06,31,0,8,4,6,0,0,0.00,0,0,0,0,0,0,Matches,1931bde9"
"Tommy Smith,eng ENG,DF,25,21.2,34,1.61,28,4,0,0,0,2,2,0.09,2,0,0,0,0,0,Matches,e9208654"
"Steve Mounié,bj BEN,FW,22,20.6,30,1.46,21,0,3,4,2,0,4,0.19,2,0,2,0,0,0,Matches,19ba6c6d"
"Florent Hadergjonaj,xk KVX,DFMF,23,18.6,41,2.20,34,4,1,1,1,0,1,0.05,1,0,0,0,0,0,Matches,9aa186b2"
"Chris Löwe,de GER,DF,28,17.6,20,1.13,9,6,0,1,2,2,2,0.11,1,1,0,0,0,0,Matches,c6896eab"
"Laurent Depoitre,be BEL,FW,28,20.2,32,1.58,22,0,3,3,3,1,6,0.30,2,0,2,1,1,0,Matches,aa5859cb"
"Elias Kachunga,cd COD,FWMF,25,14.8,29,1.96,23,0,3,0,3,0,1,0.07,1,0,0,0,0,0,Matches,5bddccc9"
"Collin Quaner,de GER,FWMF,26,14.2,39,2.74,27,1,5,3,3,0,5,0.35,4,0,0,1,0,0,Matches,19b8b0b9"
"Scott Malone,eng ENG,DF,26,12.4,23,1.85,19,1,1,1,0,1,1,0.08,1,0,0,0,0,0,Matches,f15a50e8"
"Alex Pritchard,eng ENG,MFFW,24,11.1,38,3.43,22,6,3,3,4,0,3,0.27,1,0,1,0,1,0,Matches,ff9fcd4d"
"Danny Williams,us USA,MF,28,12.5,12,0.96,9,0,0,1,1,1,1,0.08,1,0,0,0,0,0,Matches,ec9a28ce"
"Terence Kongolo,nl NED,DF,23,11.7,12,1.03,8,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches,1f9a3a04"
"Philip Billing,dk DEN,MF,21,8.5,7,0.82,5,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,d328a254"
"Joe Lolley,eng ENG,FWMF,24,2.5,6,2.44,4,0,2,0,0,0,1,0.41,0,0,1,0,0,0,Matches,c5f13182"
"Abdelhamid Sabiri,ma MAR,MF,20,2.4,8,3.27,7,0,0,0,1,0,1,0.41,1,0,0,0,0,0,Matches,4830e0af"
"Martin Cranie,eng ENG,DF,30,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9e53837d"
"Kasey Palmer,jm JAM,MFFW,20,1.9,5,2.65,2,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,453f566a"
"Dean Whitehead,eng ENG,MF,35,0.8,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a32204c9"
"Michael Hefele,de GER,DF,26,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,91bdc54a"
"Squad Total,,,26.4,38.0,621,16.34,444,52,38,35,36,16,45,1.18,29,4,6,3,3,0,,-9999"
