"Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999"
"Illan Meslier,fr FRA,GK,21,37.6,1037,1392,74.5,24030,14107,249,253,98.4,558,571,97.7,227,560,40.5,0,0.0,0.0,0.0,0,3,0,0,0,Matches,6b625ac2"
"Stuart Dallas,nir NIR,DFMF,30,32.4,1306,1685,77.5,20351,7389,730,812,89.9,440,539,81.6,99,227,43.6,1,2.8,2.5,-1.8,31,108,24,5,113,Matches,67ca8566"
"Raphinha,br BRA,FWMF,24,32.4,824,1301,63.3,13788,5181,399,497,80.3,275,420,65.5,99,259,38.2,3,8.3,6.2,-5.3,65,91,49,11,135,Matches,3423f250"
"Jack Harrison,eng ENG,FWMF,24,29.3,656,1045,62.8,9472,3280,407,510,79.8,187,300,62.3,36,117,30.8,1,3.6,2.5,-2.6,42,49,35,8,74,Matches,aa849a12"
"Daniel James,wls WAL,FWMF,23,26.3,326,508,64.2,4327,1156,205,256,80.1,84,151,55.6,15,34,44.1,4,2.6,1.7,+1.4,24,26,18,2,40,Matches,c931d9f9"
"Diego Llorente,es ESP,DF,27,26.0,1115,1373,81.2,21989,7473,335,389,86.1,648,712,91.0,118,225,52.4,0,0.1,0.2,-0.1,2,68,3,0,81,Matches,bba30585"
"Rodrigo,es ESP,MFFW,30,25.2,681,914,74.5,10329,2668,371,453,81.9,188,243,77.4,63,96,65.6,1,4.3,2.7,-3.3,38,54,31,6,75,Matches,1fb1c435"
"Luke Ayling,eng ENG,DF,29,25.2,1224,1592,76.9,22964,10551,535,606,88.3,517,619,83.5,154,294,52.4,2,2.0,1.0,0.0,12,98,11,4,102,Matches,420d7c7d"
"Mateusz Klich,pl POL,MF,31,23.0,800,1026,78.0,11259,3630,453,514,88.1,240,314,76.4,38,84,45.2,2,2.3,2.0,-0.3,31,72,23,3,70,Matches,282679b4"
"Pascal Struijk,nl NED,DFMF,21,22.8,1089,1278,85.2,20168,6807,372,423,87.9,616,665,92.6,85,148,57.4,0,0.5,0.2,-0.5,11,62,1,0,62,Matches,f4d296e4"
"Liam Cooper,sct SCO,DF,29,20.2,981,1183,82.9,18604,6591,335,378,88.6,547,600,91.2,86,171,50.3,1,0.2,0.2,+0.8,4,31,0,0,39,Matches,dc64b8b3"
"Junior Firpo,es ESP,DFMF,24,19.0,768,952,80.7,12029,4281,417,475,87.8,299,362,82.6,38,71,53.5,2,2.5,1.6,-0.5,22,70,16,6,66,Matches,24f59bb2"
"Kalvin Phillips,eng ENG,MF,25,17.7,786,971,80.9,15278,4563,284,320,88.8,396,440,90.0,98,170,57.6,1,1.0,0.6,0.0,9,79,12,2,69,Matches,4f565d77"
"Robin Koch,de GER,MFDF,25,17.5,555,718,77.3,10037,3504,224,279,80.3,268,326,82.2,45,73,61.6,0,0.4,0.3,-0.4,5,47,6,0,44,Matches,ea6bc03a"
"Adam Forshaw,eng ENG,MF,29,17.0,695,842,82.5,11652,3225,342,389,87.9,253,290,87.2,73,103,70.9,1,1.1,0.7,-0.1,13,68,8,0,52,Matches,9f1938ab"
"Tyler Roberts,wls WAL,MFFW,22,11.0,214,300,71.3,3004,771,124,154,80.5,61,81,75.3,13,29,44.8,1,1.4,0.7,-0.4,15,17,10,2,20,Matches,6c17e046"
"Jamie Shackleton,eng ENG,DFMF,21,7.9,353,409,86.3,5216,1417,180,194,92.8,151,166,91.0,9,18,50.0,0,0.0,0.1,0.0,1,23,2,0,16,Matches,8d03ca5a"
"Patrick Bamford,eng ENG,FW,27,6.2,88,108,81.5,1103,200,60,68,88.2,20,25,80.0,3,6,50.0,2,1.0,0.4,+1.0,5,5,6,1,8,Matches,93feac6e"
"Joe Gelhardt,eng ENG,FWMF,19,8.3,106,163,65.0,1166,344,58,81,71.6,28,46,60.9,2,5,40.0,2,1.8,1.4,+0.2,9,5,10,2,13,Matches,01962d0d"
"Sam Greenwood,eng ENG,MFFW,19,2.6,54,80,67.5,731,134,30,37,81.1,18,24,75.0,1,10,10.0,2,0.4,0.0,+1.6,4,5,1,0,5,Matches,f3354c07"
"Lewis Bate,eng ENG,MF,18,1.6,45,61,73.8,654,199,23,30,76.7,15,17,88.2,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,5,Matches,cd4256d3"
"Charlie Cresswell,eng ENG,DF,18,1.6,75,106,70.8,1560,592,23,29,79.3,43,50,86.0,9,24,37.5,0,0.0,0.0,0.0,0,3,0,0,4,Matches,4654e5f5"
"Cody Drameh,eng ENG,DFMF,19,1.4,62,82,75.6,826,362,29,38,76.3,24,26,92.3,2,4,50.0,0,0.0,0.0,0.0,1,4,2,1,3,Matches,e0d1510a"
"Leo Fuhr Hjelde,no NOR,MFDF,17,1.7,79,108,73.1,1120,430,48,57,84.2,22,32,68.8,5,13,38.5,0,0.0,0.0,0.0,1,3,0,0,4,Matches,d102b8a2"
"Crysencio Summerville,nl NED,MFFW,19,1.4,51,70,72.9,638,142,32,37,86.5,14,21,66.7,1,3,33.3,0,0.1,0.1,-0.1,2,2,4,0,5,Matches,df04eb4b"
"Kristoffer Klaesson,no NOR,GK,20,0.4,9,11,81.8,219,164,2,2,100.0,5,5,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,3f70db80"
"Hélder Costa,ao ANG,MF,27,0.2,5,5,100.0,79,0,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,f13d02a6"
"Liam McCarron,sct SCO,FW,20,0.1,2,2,100.0,42,0,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,076bb352"
"Stuart McKinstry,sct SCO,MF,18,0.0,2,3,66.7,28,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,1000a059"
"Squad Total,,,26.1,38.0,13988,18288,76.5,242663,89161,6271,7285,86.1,5921,7050,84.0,1325,2754,48.1,26,35.8,25.1,-9.8,347,995,272,53,1105,,-9999"
