"Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999"
"Stuart Dallas,nir NIR,MFDF,29,38,3409,90,99.7,37.9,38,90,36,0,,0,1.55,62,53,+9,+0.24,+8.42,55.0,56.7,-1.8,-0.05,+3.72,Matches,67ca8566"
"Luke Ayling,eng ENG,DF,28,38,3399,89,99.4,37.8,38,89,37,0,,0,1.55,62,54,+8,+0.21,+0.21,54.9,57.4,-2.4,-0.06,-0.92,Matches,420d7c7d"
"Patrick Bamford,eng ENG,FW,26,38,3050,80,89.2,33.9,37,81,24,1,45,0,1.55,51,50,+1,+0.03,-1.67,50.4,50.7,-0.3,-0.01,+0.47,Matches,93feac6e"
"Illan Meslier,fr FRA,GK,20,35,3150,90,92.1,35.0,35,90,35,0,,2,1.51,57,52,+5,+0.14,-0.86,51.4,53.9,-2.6,-0.07,-0.19,Matches,6b625ac2"
"Jack Harrison,eng ENG,MFFW,23,36,2847,79,83.2,31.6,34,82,22,2,36,0,1.53,54,45,+9,+0.28,+0.44,48.0,46.7,+1.2,+0.04,+0.58,Matches,aa849a12"
"Ezgjan Alioski,mk MKD,DFMF,28,36,2461,68,72.0,27.3,29,79,19,7,22,2,1.64,47,35,+12,+0.44,+0.81,45.0,41.3,+3.7,+0.13,+0.69,Matches,1a7fcf39"
"Kalvin Phillips,eng ENG,MF,24,29,2428,84,71.0,27.0,28,87,25,1,1,0,1.83,46,34,+12,+0.44,+0.81,39.3,40.4,-1.1,-0.04,+0.06,Matches,4f565d77"
"Mateusz Klich,pl POL,MF,30,35,2393,68,70.0,26.6,28,79,15,7,25,1,1.43,41,44,-3,-0.11,-1.08,38.2,41.5,-3.3,-0.13,-0.22,Matches,282679b4"
"Raphinha,br BRA,MFFW,23,30,2360,79,69.0,26.2,26,87,19,4,24,0,1.67,44,34,+10,+0.38,+0.55,37.9,40.1,-2.3,-0.09,-0.09,Matches,3423f250"
"Liam Cooper,sct SCO,DF,28,25,2185,87,63.9,24.3,25,87,23,0,,1,1.52,38,40,-2,-0.08,-0.81,37.8,36.6,+1.2,+0.05,+0.30,Matches,dc64b8b3"
"Pascal Struijk,nl NED,DFMF,20,27,2075,77,60.7,23.1,22,83,18,5,48,10,1.56,38,32,+6,+0.26,+0.13,29.5,33.5,-4.0,-0.17,-0.29,Matches,f4d296e4"
"Tyler Roberts,wls WAL,MFFW,21,27,1340,50,39.2,14.9,14,73,3,13,24,10,1.48,20,19,+1,+0.07,-0.24,20.4,22.8,-2.4,-0.16,-0.17,Matches,6c17e046"
"Rodrigo,es ESP,MFFW,29,26,1288,50,37.7,14.3,14,68,4,12,28,0,1.73,29,21,+8,+0.56,+0.56,22.5,23.4,-0.8,-0.06,0.00,Matches,1fb1c435"
"Diego Llorente,es ESP,DF,26,15,1204,80,35.2,13.4,14,80,11,1,82,3,1.80,17,12,+5,+0.37,+0.25,15.6,20.9,-5.4,-0.40,-0.53,Matches,bba30585"
"Hélder Costa,ao ANG,MFFW,26,22,1156,53,33.8,12.8,13,74,5,9,22,10,1.27,21,23,-2,-0.16,-0.55,16.4,19.6,-3.3,-0.25,-0.29,Matches,f13d02a6"
"Robin Koch,de GER,DFMF,24,17,1132,67,33.1,12.6,13,84,12,4,11,2,1.59,20,21,-1,-0.08,-0.43,20.3,18.9,+1.4,+0.11,+0.25,Matches,ea6bc03a"
"Jamie Shackleton,eng ENG,MFDF,20,13,461,35,13.5,5.1,3,67,1,10,26,18,1.38,7,11,-4,-0.78,-1.15,7.8,10.1,-2.3,-0.45,-0.45,Matches,8d03ca5a"
"Pablo Hernández,es ESP,MF,35,16,427,27,12.5,4.7,3,65,0,13,18,10,1.19,11,6,+5,+1.05,+0.96,7.0,5.2,+1.7,+0.36,+0.48,Matches,c0398aca"
"Kiko Casilla,es ESP,GK,33,3,270,90,7.9,3.0,3,90,3,0,,31,2.00,5,2,+3,+1.00,+0.86,4.3,3.9,+0.4,+0.12,+0.19,Matches,58bc7d18"
"Gaetano Berardi,ch SUI,DF,31,2,113,57,3.3,1.3,1,68,0,1,45,9,3.00,4,0,+4,+3.19,+3.08,2.7,1.4,+1.3,+1.06,+1.16,Matches,5348aada"
"Ian Carlo Poveda,eng ENG,MF,20,14,355,25,10.4,3.9,0,,0,14,25,18,1.14,4,5,-1,-0.25,-0.52,6.3,8.2,-1.9,-0.48,-0.47,Matches,55b4f1d6"
"Niall Huggins,wls WAL,DF,19,1,38,38,1.1,0.4,0,,0,1,38,8,0.00,2,0,+2,+4.74,+4.58,0.7,0.1,+0.6,+1.32,+1.39,Matches,6d646ff7"
"Leif Davis,eng ENG,DF,20,2,33,17,1.0,0.4,0,,0,2,17,23,0.50,1,0,+1,+2.73,+2.54,0.8,1.5,-0.8,-2.11,-2.07,Matches,8574c61f"
"Mateusz Bogusz,pl POL,MF,18,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches,a2c1d8c2"
"Elia Caprile,it ITA,GK,18,0,,,,,0,,,0,,5,,,,,,,,,,,,Matches,97d7afbd"
"Oliver Casey,eng ENG,DF,19,0,,,,,0,,,0,,9,,,,,,,,,,,,Matches,2d82641c"
"Charlie Cresswell,eng ENG,DF,17,0,,,,,0,,,0,,7,,,,,,,,,,,,Matches,4654e5f5"
"Cody Drameh,eng ENG,DF,18,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches,e0d1510a"
"Joe Gelhardt,eng ENG,FW,18,0,,,,,0,,,0,,8,,,,,,,,,,,,Matches,01962d0d"
"Sam Greenwood,eng ENG,MF,18,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches,f3354c07"
"Jack Jenkins,eng ENG,MF,18,0,,,,,0,,,0,,18,,,,,,,,,,,,Matches,3d46127c"
"Crysencio Summerville,nl NED,FWMF,18,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches,df04eb4b"
"Squad Total,,,26.1,38,3420,90,100,38.0,418,83,312,107,25,209,1.55,62,54,+8,+0.21,,55.6,57.9,-2.2,-0.06,,,-9999"
