"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"Illan Meslier,fr FRA,GK,21,37.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6b625ac2"
"Stuart Dallas,nir NIR,DFMF,30,32.4,1,30,8,26.7,0.92,0.25,0.03,0.13,21.7,0,0,0,2.3,2.3,0.08,-1.3,-1.3,Matches,67ca8566"
"Raphinha,br BRA,FWMF,24,32.4,11,84,21,25.0,2.59,0.65,0.08,0.33,21.4,10,4,4,11.3,8.1,0.10,-0.3,-1.1,Matches,3423f250"
"Jack Harrison,eng ENG,FWMF,24,29.3,8,43,17,39.5,1.47,0.58,0.19,0.47,17.2,0,0,0,4.9,4.9,0.11,+3.1,+3.1,Matches,aa849a12"
"Daniel James,wls WAL,FWMF,23,26.3,4,50,15,30.0,1.90,0.57,0.08,0.27,15.3,0,0,0,6.8,6.8,0.14,-2.8,-2.8,Matches,c931d9f9"
"Diego Llorente,es ESP,DF,27,26.0,3,10,3,30.0,0.38,0.12,0.30,1.00,10.6,0,0,0,1.3,1.3,0.13,+1.7,+1.7,Matches,bba30585"
"Rodrigo,es ESP,MFFW,30,25.2,6,46,17,37.0,1.83,0.68,0.11,0.29,18.9,0,1,1,4.6,3.8,0.08,+1.4,+1.2,Matches,1fb1c435"
"Luke Ayling,eng ENG,DF,29,25.2,2,19,3,15.8,0.75,0.12,0.11,0.67,13.0,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,420d7c7d"
"Mateusz Klich,pl POL,MF,31,23.0,1,42,18,42.9,1.82,0.78,0.02,0.06,21.4,0,0,0,3.8,3.8,0.09,-2.8,-2.8,Matches,282679b4"
"Pascal Struijk,nl NED,DFMF,21,22.8,1,11,3,27.3,0.48,0.13,0.09,0.33,9.1,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Matches,f4d296e4"
"Liam Cooper,sct SCO,DF,29,20.2,0,6,1,16.7,0.30,0.05,0.00,0.00,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,dc64b8b3"
"Junior Firpo,es ESP,DFMF,24,19.0,0,11,1,9.1,0.58,0.05,0.00,0.00,14.6,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches,24f59bb2"
"Kalvin Phillips,eng ENG,MF,25,17.7,0,15,3,20.0,0.85,0.17,0.00,0.00,24.0,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,4f565d77"
"Robin Koch,de GER,MFDF,25,17.5,0,13,1,7.7,0.74,0.06,0.00,0.00,16.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,ea6bc03a"
"Adam Forshaw,eng ENG,MF,29,17.0,0,14,4,28.6,0.82,0.24,0.00,0.00,25.0,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,9f1938ab"
"Tyler Roberts,wls WAL,MFFW,22,11.0,1,30,12,40.0,2.74,1.09,0.03,0.08,19.7,0,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches,6c17e046"
"Jamie Shackleton,eng ENG,DFMF,21,7.9,0,4,1,25.0,0.51,0.13,0.00,0.00,18.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,8d03ca5a"
"Patrick Bamford,eng ENG,FW,27,6.2,2,20,5,25.0,3.22,0.81,0.10,0.40,14.0,0,0,0,2.9,2.9,0.14,-0.9,-0.9,Matches,93feac6e"
"Joe Gelhardt,eng ENG,FWMF,19,8.3,2,23,9,39.1,2.77,1.09,0.09,0.22,15.4,0,0,0,3.3,3.3,0.15,-1.3,-1.3,Matches,01962d0d"
"Sam Greenwood,eng ENG,MFFW,19,2.6,0,4,0,0.0,1.52,0.00,0.00,,20.3,1,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,f3354c07"
"Lewis Bate,eng ENG,MF,18,1.6,0,1,0,0.0,0.62,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,cd4256d3"
"Charlie Cresswell,eng ENG,DF,18,1.6,0,1,0,0.0,0.64,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,4654e5f5"
"Cody Drameh,eng ENG,DFMF,19,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0d1510a"
"Leo Fuhr Hjelde,no NOR,MFDF,17,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d102b8a2"
"Crysencio Summerville,nl NED,MFFW,19,1.4,0,2,0,0.0,1.38,0.00,0.00,,12.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,df04eb4b"
"Kristoffer Klaesson,no NOR,GK,20,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f70db80"
"Hélder Costa,ao ANG,MF,27,0.2,0,1,0,0.0,4.09,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f13d02a6"
"Liam McCarron,sct SCO,FW,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,076bb352"
"Stuart McKinstry,sct SCO,MF,18,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1000a059"
"Squad Total,,,26.1,38.0,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,50.4,46.5,0.10,-8.4,-9.5,,-9999"
