"Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999"
"Jamaal Lascelles,eng ENG,DF,23,32.5,31,19,19,11,1,12,19,63.2,7,33,24,9,28,59,232,1,Matches,450ab6fc"
"Matt Ritchie,sct SCO,MFFW,27,31.2,46,32,22,18,6,14,53,26.4,39,37,5,32,35,81,63,1,Matches,71ef519e"
"DeAndre Yedlin,us USA,DF,24,31.6,57,33,39,14,4,26,54,48.1,28,37,7,30,44,101,114,0,Matches,ae0a7ddf"
"Ayoze Pérez,es ESP,MFFW,24,27.7,39,21,11,15,13,12,54,22.2,42,36,1,35,24,63,28,0,Matches,819aa8e7"
"Jonjo Shelvey,eng ENG,MF,25,25.2,39,24,17,21,1,8,26,30.8,18,26,5,21,28,67,33,0,Matches,3727dd3c"
"Florian Lejeune,fr FRA,DF,26,23.4,34,20,26,8,0,14,30,46.7,16,21,15,6,46,80,154,0,Matches,6eaed4eb"
"Mohamed Diamé,sn SEN,MF,30,22.7,89,64,33,48,8,16,62,25.8,46,44,7,37,48,137,30,2,Matches,b7d082af"
"Dwight Gayle,eng ENG,FW,26,21.8,12,10,2,8,2,1,21,4.8,20,16,2,14,6,18,17,0,Matches,e58a03c6"
"Javier Manquillo,es ESP,DF,23,19.5,36,22,25,8,3,15,30,50.0,15,25,6,19,18,54,65,0,Matches,758dd7f0"
"Christian Atsu,gh GHA,FWMF,25,19.8,17,16,10,7,0,7,20,35.0,13,35,5,30,13,30,27,1,Matches,8816329f"
"Ciaran Clark,ie IRL,DF,27,19.4,25,17,17,8,0,11,21,52.4,10,15,10,5,17,42,144,1,Matches,2b91cf8e"
"Joselu,es ESP,FW,27,19.0,22,17,10,11,1,7,34,20.6,27,25,2,23,11,33,39,0,Matches,6265208f"
"Paul Dummett,wls WAL,DF,25,17.8,28,19,21,7,0,13,27,48.1,14,27,10,17,23,51,107,1,Matches,3fe6bd8c"
"Rob Elliot,ie IRL,GK,31,16.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,0,Matches,b1b25949"
"Isaac Hayden,eng ENG,MF,22,15.3,40,23,23,16,1,12,34,35.3,22,21,6,15,23,63,43,0,Matches,c951a6df"
"Mikel Merino,es ESP,MF,21,15.0,56,40,21,32,3,17,56,30.4,39,36,8,28,34,90,25,0,Matches,d080ed5e"
"Jacob Murphy,eng ENG,MFFW,22,12.8,13,10,5,4,4,7,27,25.9,20,16,0,16,6,19,13,2,Matches,de112b84"
"Kenedy,br BRA,MFDF,21,11.4,31,17,16,13,2,12,35,34.3,23,12,1,11,14,45,11,0,Matches,5eebbfdf"
"Martin Dúbravka,sk SVK,GK,28,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches,3a949a25"
"Karl Darlow,eng ENG,GK,26,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,4,Matches,cde3309f"
"Chancel Mbemba,cd COD,DF,22,7.5,16,12,13,3,0,10,17,58.8,7,7,3,4,15,31,44,1,Matches,e76cb9cc"
"Rolando Aarons,eng ENG,MFFW,21,1.5,4,4,3,1,0,4,6,66.7,2,3,0,3,1,5,0,0,Matches,c5942695"
"Islam Slimani,dz ALG,FW,29,1.5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,Matches,ffec9769"
"Jesús Gámez,es ESP,DF,32,1.1,4,2,1,0,3,1,3,33.3,2,2,0,2,2,6,5,0,Matches,bd1d1cbb"
"Henri Saivet,sn SEN,MF,26,0.9,5,3,4,1,0,2,5,40.0,3,0,0,0,4,9,8,1,Matches,f3709655"
"Aleksandar Mitrović,rs SRB,FW,22,1.1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,Matches,3925dbd6"
"Massadio Haïdara,ml MLI,FW,24,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,5167c97e"
"Squad Total,,,25.6,38.0,645,426,338,255,52,221,638,34.6,417,475,117,358,441,1086,1219,17,,-9999"
