"Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999"
"Aaron Ramsdale,eng ENG,GK,22,38.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,22,6,Matches,466fb2c5"
"George Baldock,gr GRE,DF,27,31.0,47,34,28,14,5,21,50,42.0,29,26,7,19,25,72,70,1,Matches,394854c4"
"Chris Basham,eng ENG,DFMF,32,28.6,69,42,41,23,5,41,67,61.2,26,36,15,21,49,118,105,1,Matches,1aa84968"
"Enda Stevens,ie IRL,DF,30,30.0,59,26,32,19,8,33,58,56.9,25,41,12,29,22,81,81,1,Matches,17d4507a"
"John Egan,ie IRL,DF,27,29.2,41,21,29,12,0,22,39,56.4,17,43,31,12,41,82,131,0,Matches,debe38a0"
"John Fleck,sct SCO,MF,28,28.6,51,33,28,18,5,26,83,31.3,57,26,4,22,28,79,12,1,Matches,b63e789d"
"David McGoldrick,ie IRL,FWMF,32,26.6,33,21,8,15,10,13,31,41.9,18,19,3,16,2,35,25,0,Matches,dbe56a33"
"Oliver Norwood,nir NIR,MF,29,24.7,49,22,16,28,5,21,72,29.2,51,29,12,17,36,85,51,1,Matches,43439614"
"Ethan Ampadu,wls WAL,DFMF,19,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3,Matches,10b9fa99"
"John Lundstram,eng ENG,MF,26,22.6,25,16,12,11,2,13,47,27.7,34,26,8,18,14,39,29,1,Matches,0df2b165"
"Ben Osborn,eng ENG,MFDF,25,17.8,33,18,15,10,8,13,40,32.5,27,20,3,17,12,45,17,0,Matches,79bc4c45"
"Oliver Burke,sct SCO,FW,23,14.1,16,8,6,9,1,5,24,20.8,19,24,0,24,2,18,6,0,Matches,f631c17f"
"Sander Berge,no NOR,MF,22,12.4,16,7,8,5,3,7,15,46.7,8,11,2,9,4,20,18,0,Matches,d0b6129f"
"Oliver McBurnie,sct SCO,FW,24,14.7,15,7,7,7,1,5,17,29.4,12,10,3,7,6,21,30,0,Matches,78b8ac63"
"Rhian Brewster,eng ENG,FWMF,20,12.5,8,5,1,4,3,1,13,7.7,12,15,2,13,5,13,5,0,Matches,30e81a88"
"Jayden Bogle,eng ENG,DFMF,20,12.3,33,23,21,10,2,20,39,51.3,19,14,4,10,14,47,22,0,Matches,ae5019e6"
"Kean Bryan,eng ENG,DF,23,11.2,20,10,9,11,0,9,19,47.4,10,16,10,6,13,33,39,1,Matches,c684d3c9"
"Jack Robinson,eng ENG,DF,26,9.7,14,6,8,5,1,6,11,54.5,5,10,4,6,9,23,42,0,Matches,7399c7a8"
"Billy Sharp,eng ENG,FW,34,8.2,5,1,0,3,2,2,9,22.2,7,2,0,2,0,5,2,0,Matches,e8c9f4e9"
"Max Lowe,eng ENG,DF,23,6.1,26,11,18,6,2,9,21,42.9,12,12,4,8,5,31,11,0,Matches,7af88b33"
"Phil Jagielka,eng ENG,DF,37,5.8,5,4,4,0,1,2,7,28.6,5,11,5,6,10,15,26,2,Matches,3233eefd"
"Daniel Jebbison,eng ENG,FW,17,3.2,6,2,1,3,2,3,7,42.9,4,6,1,5,1,7,0,0,Matches,03edb878"
"Lys Mousset,fr FRA,FWMF,24,3.3,1,0,0,0,1,0,2,0.0,2,1,0,1,0,1,1,1,Matches,d9cfca3d"
"Jack O'Connell,eng ENG,DF,26,2.0,3,1,1,1,1,0,1,0.0,1,4,3,1,2,5,7,0,Matches,312626c1"
"Iliman Ndiaye,sn SEN,MF,20,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,5ed97752"
"Antwoine Hackford,eng ENG,DF,16,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a7588cdc"
"Femi Seriki,eng ENG,MF,18,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e4e0deaa"
"Squad Total,,,26.7,38.0,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19,,-9999"
