"Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999"
"Aaron Ramsdale,eng ENG,GK,22,38.0,569,1153,49.3,22218,19240,71,73,97.3,176,179,98.3,318,889,35.8,0,0.1,0.1,-0.1,2,44,1,0,0,Matches,466fb2c5"
"George Baldock,gr GRE,DF,27,31.0,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,-0.9,18,47,23,7,48,Matches,394854c4"
"Chris Basham,eng ENG,DFMF,32,28.6,939,1153,81.4,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4,1,0.9,0.9,+0.1,11,50,14,6,45,Matches,1aa84968"
"Enda Stevens,ie IRL,DF,30,30.0,1108,1459,75.9,16993,7284,627,703,89.2,375,482,77.8,77,186,41.4,1,1.6,1.7,-0.6,17,88,33,10,86,Matches,17d4507a"
"John Egan,ie IRL,DF,27,29.2,923,1135,81.3,18683,6735,300,345,87.0,499,557,89.6,116,208,55.8,1,0.6,0.6,+0.4,3,67,3,1,52,Matches,debe38a0"
"John Fleck,sct SCO,MF,28,28.6,971,1245,78.0,14229,4534,540,593,91.1,296,364,81.3,70,172,40.7,2,2.9,2.3,-0.9,33,110,22,5,86,Matches,b63e789d"
"David McGoldrick,ie IRL,FWMF,32,26.6,697,947,73.6,9806,1823,397,485,81.9,210,280,75.0,37,62,59.7,1,1.1,1.5,-0.1,17,49,21,4,54,Matches,dbe56a33"
"Oliver Norwood,nir NIR,MF,29,24.7,1205,1532,78.7,23516,7236,472,526,89.7,524,607,86.3,183,334,54.8,0,2.0,2.1,-2.0,31,134,27,8,106,Matches,43439614"
"Ethan Ampadu,wls WAL,DFMF,19,23.2,870,1087,80.0,15680,5537,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,75,Matches,10b9fa99"
"John Lundstram,eng ENG,MF,26,22.6,859,1082,79.4,13623,3077,417,454,91.9,295,352,83.8,79,168,47.0,2,1.3,1.6,+0.7,20,64,14,2,49,Matches,0df2b165"
"Ben Osborn,eng ENG,MFDF,25,17.8,660,859,76.8,8905,3102,420,466,90.1,169,221,76.5,33,85,38.8,0,2.0,2.0,-2.0,17,53,27,11,51,Matches,79bc4c45"
"Oliver Burke,sct SCO,FW,23,14.1,178,262,67.9,1997,309,114,150,76.0,31,45,68.9,4,8,50.0,1,2.2,1.5,-1.2,15,5,10,0,13,Matches,f631c17f"
"Sander Berge,no NOR,MF,22,12.4,378,464,81.5,5944,1357,198,229,86.5,138,154,89.6,28,45,62.2,1,1.1,0.8,-0.1,13,28,4,2,24,Matches,d0b6129f"
"Oliver McBurnie,sct SCO,FW,24,14.7,253,447,56.6,3038,853,165,257,64.2,55,107,51.4,8,11,72.7,0,1.1,1.0,-1.1,15,24,14,0,36,Matches,78b8ac63"
"Rhian Brewster,eng ENG,FWMF,20,12.5,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,0,1.6,0.6,-1.6,11,15,4,3,15,Matches,30e81a88"
"Jayden Bogle,eng ENG,DFMF,20,12.3,296,387,76.5,3834,1410,189,214,88.3,71,96,74.0,8,28,28.6,0,0.2,0.4,-0.2,4,14,9,1,21,Matches,ae5019e6"
"Kean Bryan,eng ENG,DF,23,11.2,333,486,68.5,5901,2652,151,179,84.4,140,183,76.5,32,94,34.0,0,0.6,0.1,-0.6,4,24,3,2,15,Matches,c684d3c9"
"Jack Robinson,eng ENG,DF,26,9.7,364,470,77.4,6071,2267,165,185,89.2,161,196,82.1,24,61,39.3,1,0.6,0.7,+0.4,1,20,1,0,16,Matches,7399c7a8"
"Billy Sharp,eng ENG,FW,34,8.2,85,123,69.1,1003,155,53,69,76.8,24,33,72.7,0,1,0.0,0,0.5,0.6,-0.5,4,1,3,0,4,Matches,e8c9f4e9"
"Max Lowe,eng ENG,DF,23,6.1,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3,0,0.1,0.2,-0.1,2,15,5,1,14,Matches,7af88b33"
"Phil Jagielka,eng ENG,DF,37,5.8,148,209,70.8,3289,1135,39,49,79.6,76,98,77.6,30,51,58.8,0,0.0,0.0,0.0,0,7,0,0,4,Matches,3233eefd"
"Daniel Jebbison,eng ENG,FW,17,3.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,50.0,0,0.0,0.1,0.0,1,2,0,0,1,Matches,03edb878"
"Lys Mousset,fr FRA,FWMF,24,3.3,34,46,73.9,476,74,19,22,86.4,11,14,78.6,2,3,66.7,0,0.3,0.1,-0.3,3,4,0,0,2,Matches,d9cfca3d"
"Jack O'Connell,eng ENG,DF,26,2.0,56,79,70.9,1001,412,22,23,95.7,25,33,75.8,8,17,47.1,0,0.0,0.0,0.0,0,4,1,0,3,Matches,312626c1"
"Iliman Ndiaye,sn SEN,MF,20,0.1,3,3,100.0,34,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,5ed97752"
"Antwoine Hackford,eng ENG,DF,16,0.1,1,1,100.0,2,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a7588cdc"
"Femi Seriki,eng ENG,MF,18,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,e4e0deaa"
"Squad Total,,,26.7,38.0,12146,16264,74.7,207510,78610,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,821,,-9999"
