"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"George Baldock,gr GRE,DF,26,38.0,2,13,4,30.8,0.34,0.11,0.15,0.50,16.9,0,0,0,0.6,0.6,0.05,+1.4,+1.4,Matches,394854c4"
"Enda Stevens,ie IRL,DF,29,37.2,2,22,4,18.2,0.59,0.11,0.09,0.50,17.8,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches,17d4507a"
"Chris Basham,eng ENG,DF,31,36.0,0,6,0,0.0,0.17,0.00,0.00,,13.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,1aa84968"
"Oliver Norwood,nir NIR,MF,28,34.3,1,16,5,31.3,0.47,0.15,0.00,0.00,27.8,4,1,1,1.5,0.7,0.04,-0.5,-0.7,Matches,43439614"
"Dean Henderson,eng ENG,GK,22,36.0,0,1,0,0.0,0.03,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,e5a76dfe"
"John Egan,ie IRL,DF,26,35.4,2,27,4,14.8,0.76,0.11,0.07,0.50,9.4,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches,debe38a0"
"Jack O'Connell,eng ENG,DF,25,32.4,0,14,2,14.3,0.43,0.06,0.00,0.00,10.9,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,312626c1"
"John Fleck,sct SCO,MF,27,28.0,5,31,11,35.5,1.11,0.39,0.16,0.45,20.1,0,0,0,3.1,3.1,0.10,+1.9,+1.9,Matches,b63e789d"
"John Lundstram,eng ENG,MF,25,27.3,5,43,10,23.3,1.57,0.37,0.12,0.50,17.6,0,0,0,5.3,5.3,0.12,-0.3,-0.3,Matches,0df2b165"
"Oliver McBurnie,sct SCO,FW,23,23.5,6,50,24,48.0,2.13,1.02,0.12,0.25,10.3,0,0,0,7.7,7.7,0.15,-1.7,-1.7,Matches,78b8ac63"
"David McGoldrick,ie IRL,FW,31,20.2,2,46,20,43.5,2.28,0.99,0.04,0.10,14.5,0,0,0,8.0,8.0,0.17,-6.0,-6.0,Matches,dbe56a33"
"Sander Berge,no NOR,MF,21,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,13.5,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches,d0b6129f"
"Lys Mousset,fr FRA,FW,23,13.8,6,37,9,24.3,2.69,0.65,0.16,0.67,16.2,0,0,0,5.5,5.5,0.15,+0.5,+0.5,Matches,d9cfca3d"
"Billy Sharp,eng ENG,FW,33,11.7,3,16,7,43.8,1.37,0.60,0.19,0.43,9.6,0,0,0,3.8,3.8,0.24,-0.8,-0.8,Matches,e8c9f4e9"
"Callum Robinson,ie IRL,FWMF,24,7.5,1,12,4,33.3,1.60,0.53,0.08,0.25,14.9,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches,e75750a3"
"Ben Osborn,eng ENG,MFDF,24,6.6,0,3,1,33.3,0.45,0.15,0.00,0.00,13.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,79bc4c45"
"Jack Robinson,eng ENG,DF,25,5.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7399c7a8"
"Luke Freeman,eng ENG,MF,27,4.1,0,3,0,0.0,0.74,0.00,0.00,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,636b64cd"
"Muhamed Bešić,ba BIH,MF,26,2.8,0,4,2,50.0,1.44,0.72,0.00,0.00,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,7ca9f0f0"
"Phil Jagielka,eng ENG,DF,36,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3233eefd"
"Simon Moore,eng ENG,GK,29,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e7434f04"
"Richairo Živković,nl NED,FW,22,1.2,0,1,0,0.0,0.80,0.00,0.00,,11.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,d2d74d9c"
"Leon Clarke,eng ENG,FWMF,34,0.4,0,1,0,0.0,2.57,0.00,0.00,,9.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches,91c975a0"
"Jack Rodwell,eng ENG,MF,28,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a07579ee"
"Ravel Morrison,jm JAM,MF,26,0.1,0,1,0,0.0,6.92,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,bf59c794"
"Kieron Freeman,wls WAL,FW,27,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c13c24c8"
"Squad Total,,,26.9,38.0,36,352,109,31.0,9.26,2.87,0.10,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,,-9999"
