"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"Emiliano Martínez,ar ARG,GK,27,38.0,1,0,0,1,8,0,0,2,3,0,0,0,28,11,2,84.6,Matches,7956236f"
"Matt Targett,eng ENG,DF,24,37.8,7,0,0,28,22,0,146,55,39,0,1,0,177,71,50,58.7,Matches,e514ab62"
"John McGinn,sct SCO,MF,25,37.0,12,0,0,43,77,1,52,43,37,1,0,0,234,21,48,30.4,Matches,90f91999"
"Ollie Watkins,eng ENG,FW,24,37.0,4,1,1,47,49,31,22,7,17,0,0,0,77,136,154,46.9,Matches,aed3a70f"
"Tyrone Mings,eng ENG,DF,27,35.5,6,1,1,21,18,3,5,41,16,0,0,1,209,90,35,72.0,Matches,8397a50c"
"Ezri Konsa,eng ENG,DF,22,35.5,3,0,0,19,54,1,3,29,13,0,1,0,156,93,54,63.3,Matches,0313a347"
"Douglas Luiz,br BRA,MF,22,30.9,10,1,1,59,48,0,23,43,18,0,2,0,208,42,41,50.6,Matches,6f7d826d"
"Bertrand Traoré,bf BFA,FW,24,25.7,1,0,0,31,40,7,102,15,10,1,0,0,119,32,31,50.8,Matches,c47541e0"
"Matty Cash,pl POL,DF,22,26.4,8,1,1,35,22,2,81,60,40,0,2,0,134,34,39,46.6,Matches,2389cdc2"
"Jack Grealish,eng ENG,FWMF,24,24.3,6,0,0,40,110,7,76,12,14,2,0,0,125,25,27,48.1,Matches,b0b4fd3e"
"Ross Barkley,eng ENG,MF,26,17.0,0,0,0,12,17,5,61,5,2,1,0,0,70,21,22,48.8,Matches,3a24769f"
"Anwar El Ghazi,nl NED,FW,25,17.9,2,0,0,18,28,5,87,6,13,0,0,0,67,28,49,36.4,Matches,ffa90327"
"Trézéguet,eg EGY,FW,25,13.0,0,0,0,39,19,4,26,19,18,1,0,0,65,28,45,38.4,Matches,3ae14ed1"
"Marvelous Nakamba,zw ZIM,MF,26,8.3,3,0,0,8,10,0,1,17,14,0,0,0,58,6,8,42.9,Matches,de5b5570"
"Ahmed Elmohamady,eg EGY,DF,32,9.3,2,0,0,6,3,0,39,17,13,0,0,0,63,18,9,66.7,Matches,615ef733"
"Kortney Hause,eng ENG,DF,25,7.0,2,0,0,5,3,0,0,8,2,0,0,0,33,39,17,69.6,Matches,bf8fad51"
"Jacob Ramsey,eng ENG,MF,19,7.0,0,0,0,13,11,2,8,4,5,0,0,0,38,7,9,43.8,Matches,1544f145"
"Morgan Sanson,fr FRA,MF,25,3.3,3,0,0,6,8,2,16,4,4,0,0,0,19,5,3,62.5,Matches,6e7f1353"
"Conor Hourihane,ie IRL,MF,29,2.5,0,0,0,1,0,0,27,0,0,0,0,0,11,2,0,100.0,Matches,fcab00a0"
"Keinan Davis,eng ENG,FWMF,22,3.1,0,0,0,4,5,0,4,0,1,0,0,0,10,18,16,52.9,Matches,9deaf2c8"
"Carney Chukwuemeka,eng ENG,MFFW,16,0.2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,4,20.0,Matches,b2f9c73e"
"Wesley Moraes,br BRA,FW,23,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0,Matches,bfae110f"
"Neil Taylor,wls WAL,DF,31,0.2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,Matches,c2f9d19f"
"Jaden Philogene Bidace,eng ENG,FW,18,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,Matches,19f4d211"
"Squad Total,,,25.2,38.0,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3,,-9999"
