"Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999"
"Emiliano Martínez,ar ARG,GK,27,38.0,880,1319,66.7,26950,20294,131,133,98.5,424,431,98.4,324,745,43.5,0,0.1,0.0,-0.1,2,26,1,0,0,Matches,7956236f"
"Matt Targett,eng ENG,DF,24,37.8,1647,2189,75.2,27404,13151,879,1006,87.4,565,742,76.1,159,314,50.6,2,2.5,3.1,-0.5,38,161,47,14,179,Matches,e514ab62"
"John McGinn,sct SCO,MF,25,37.0,1102,1439,76.6,21328,7785,445,520,85.6,441,532,82.9,173,278,62.2,5,3.6,2.3,+1.4,42,199,36,6,161,Matches,90f91999"
"Ollie Watkins,eng ENG,FW,24,37.0,592,843,70.2,6928,1260,407,527,77.2,120,169,71.0,12,24,50.0,5,5.3,3.8,-0.3,45,38,23,4,34,Matches,aed3a70f"
"Tyrone Mings,eng ENG,DF,27,35.5,1314,1696,77.5,27322,12308,380,439,86.6,745,816,91.3,165,379,43.5,2,0.4,0.5,+1.6,7,97,4,1,88,Matches,8397a50c"
"Ezri Konsa,eng ENG,DF,22,35.5,1102,1305,84.4,21620,6304,325,378,86.0,646,702,92.0,113,184,61.4,0,0.1,0.1,-0.1,2,37,2,0,26,Matches,0313a347"
"Douglas Luiz,br BRA,MF,22,30.9,1217,1445,84.2,22141,6015,503,568,88.6,525,577,91.0,152,212,71.7,2,1.6,1.4,+0.4,19,134,13,3,95,Matches,6f7d826d"
"Bertrand Traoré,bf BFA,FW,24,25.7,569,808,70.4,9814,2435,288,352,81.8,184,245,75.1,77,150,51.3,6,4.3,3.3,+1.7,35,32,26,5,57,Matches,c47541e0"
"Matty Cash,pl POL,DF,22,26.4,959,1320,72.7,16255,6050,478,542,88.2,361,480,75.2,101,244,41.4,2,1.7,1.7,+0.3,21,73,23,19,51,Matches,2389cdc2"
"Jack Grealish,eng ENG,FWMF,24,24.3,872,1105,78.9,12898,4406,500,572,87.4,267,321,83.2,58,110,52.7,10,7.4,6.5,+2.6,81,91,69,3,136,Matches,b0b4fd3e"
"Ross Barkley,eng ENG,MF,26,17.0,640,795,80.5,10363,2800,330,383,86.2,214,255,83.9,65,97,67.0,1,4.2,2.4,-3.2,39,46,25,0,60,Matches,3a24769f"
"Anwar El Ghazi,nl NED,FW,25,17.9,432,628,68.8,6167,1686,268,330,81.2,104,154,67.5,33,69,47.8,0,1.8,2.1,-1.8,26,24,19,8,32,Matches,ffa90327"
"Trézéguet,eg EGY,FW,25,13.0,223,317,70.3,3261,947,126,155,81.3,66,91,72.5,13,29,44.8,1,2.1,1.1,-1.1,13,21,5,3,25,Matches,3ae14ed1"
"Marvelous Nakamba,zw ZIM,MF,26,8.3,240,286,83.9,3705,971,126,140,90.0,94,108,87.0,12,21,57.1,0,0.1,0.1,-0.1,2,18,0,0,8,Matches,de5b5570"
"Ahmed Elmohamady,eg EGY,DF,32,9.3,468,618,75.7,8218,3180,216,241,89.6,197,255,77.3,50,97,51.5,0,1.0,1.2,-1.0,13,34,21,7,36,Matches,615ef733"
"Kortney Hause,eng ENG,DF,25,7.0,173,232,74.6,3538,1459,49,64,76.6,99,115,86.1,23,48,47.9,0,0.0,0.0,0.0,0,13,0,0,9,Matches,bf8fad51"
"Jacob Ramsey,eng ENG,MF,19,7.0,192,229,83.8,3083,765,102,114,89.5,70,78,89.7,14,19,73.7,0,0.3,0.2,-0.3,6,15,1,1,12,Matches,1544f145"
"Morgan Sanson,fr FRA,MF,25,3.3,118,154,76.6,1742,504,70,75,93.3,35,45,77.8,9,17,52.9,0,0.1,0.5,-0.1,1,12,3,1,10,Matches,6e7f1353"
"Conor Hourihane,ie IRL,MF,29,2.5,122,164,74.4,2253,523,49,51,96.1,53,71,74.6,15,31,48.4,1,0.6,0.5,+0.4,5,13,2,1,10,Matches,fcab00a0"
"Keinan Davis,eng ENG,FWMF,22,3.1,55,77,71.4,689,133,38,41,92.7,11,20,55.0,2,5,40.0,1,0.6,0.4,+0.4,6,2,3,0,3,Matches,9deaf2c8"
"Carney Chukwuemeka,eng ENG,MFFW,16,0.2,6,9,66.7,88,13,5,6,83.3,0,1,0.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,1,Matches,b2f9c73e"
"Wesley Moraes,br BRA,FW,23,0.2,4,4,100.0,33,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,bfae110f"
"Neil Taylor,wls WAL,DF,31,0.2,9,10,90.0,86,24,9,10,90.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,c2f9d19f"
"Jaden Philogene Bidace,eng ENG,FW,18,0.0,2,4,50.0,41,0,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,19f4d211"
"Squad Total,,,25.2,38.0,12938,16996,76.1,235927,93013,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,+0.6,403,1086,323,76,1034,,-9999"
