"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Emiliano Martínez,ar ARG,GK,27,38.0,5,0.13,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,7956236f"
"Matt Targett,eng ENG,DF,24,37.8,82,2.17,58,19,0,0,3,2,9,0.24,6,2,0,0,1,0,Matches,e514ab62"
"John McGinn,sct SCO,MF,25,37.0,123,3.32,101,4,8,2,7,1,15,0.41,10,1,2,1,1,0,Matches,90f91999"
"Ollie Watkins,eng ENG,FW,24,37.0,110,2.97,85,0,6,12,6,1,14,0.38,9,0,1,3,1,0,Matches,aed3a70f"
"Tyrone Mings,eng ENG,DF,27,35.5,23,0.65,17,2,1,2,0,1,2,0.06,2,0,0,0,0,0,Matches,8397a50c"
"Ezri Konsa,eng ENG,DF,22,35.5,7,0.20,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,0313a347"
"Douglas Luiz,br BRA,MF,22,30.9,52,1.68,47,3,0,1,1,0,7,0.23,6,1,0,0,0,0,Matches,6f7d826d"
"Bertrand Traoré,bf BFA,FW,24,25.7,83,3.22,43,12,12,7,8,1,9,0.35,6,1,0,0,1,1,Matches,c47541e0"
"Matty Cash,pl POL,DF,22,26.4,35,1.33,28,3,2,0,1,1,2,0.08,2,0,0,0,0,0,Matches,2389cdc2"
"Jack Grealish,eng ENG,FWMF,24,24.3,169,6.96,120,14,14,5,15,1,20,0.82,17,0,0,0,3,0,Matches,b0b4fd3e"
"Ross Barkley,eng ENG,MF,26,17.0,75,4.41,43,19,8,2,2,1,5,0.29,2,1,0,1,1,0,Matches,3a24769f"
"Anwar El Ghazi,nl NED,FW,25,17.9,65,3.62,37,9,6,7,6,0,2,0.11,1,0,0,1,0,0,Matches,ffa90327"
"Trézéguet,eg EGY,FW,25,13.0,34,2.63,24,0,2,3,5,0,2,0.15,2,0,0,0,0,0,Matches,3ae14ed1"
"Marvelous Nakamba,zw ZIM,MF,26,8.3,5,0.60,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,de5b5570"
"Ahmed Elmohamady,eg EGY,DF,32,9.3,27,2.90,22,2,0,1,0,2,1,0.11,0,1,0,0,0,0,Matches,615ef733"
"Kortney Hause,eng ENG,DF,25,7.0,1,0.14,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,bf8fad51"
"Jacob Ramsey,eng ENG,MF,19,7.0,16,2.29,13,0,0,1,2,0,2,0.29,1,0,0,0,1,0,Matches,1544f145"
"Morgan Sanson,fr FRA,MF,25,3.3,5,1.53,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6e7f1353"
"Conor Hourihane,ie IRL,MF,29,2.5,8,3.20,4,4,0,0,0,0,1,0.40,0,1,0,0,0,0,Matches,fcab00a0"
"Keinan Davis,eng ENG,FWMF,22,3.1,14,4.53,7,0,4,2,1,0,2,0.65,1,0,1,0,0,0,Matches,9deaf2c8"
"Carney Chukwuemeka,eng ENG,MFFW,16,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b2f9c73e"
"Wesley Moraes,br BRA,FW,23,0.2,1,5.29,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,bfae110f"
"Neil Taylor,wls WAL,DF,31,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c2f9d19f"
"Jaden Philogene Bidace,eng ENG,FW,18,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,19f4d211"
"Squad Total,,,25.2,38.0,940,24.74,669,91,63,47,58,12,94,2.47,66,8,4,6,9,1,,-9999"
