"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"Conor Coady,eng ENG,DF,26,38.0,5,0,0,17,7,0,0,28,23,0,1,0,244,33,24,57.9,Matches,2928dca2"
"Rui Patrício,pt POR,GK,31,38.0,0,0,0,0,7,0,0,2,0,0,0,0,39,8,1,88.9,Matches,79b0d6a0"
"Raúl Jiménez,mx MEX,FW,28,36.0,3,0,0,39,35,18,28,16,12,1,0,0,82,86,117,42.4,Matches,b561db50"
"Rúben Neves,pt POR,MF,22,34.0,9,0,0,29,16,0,34,56,33,0,0,0,303,28,27,50.9,Matches,44bfb6c5"
"João Moutinho,pt POR,MF,32,34.5,7,0,0,40,25,3,221,50,50,0,0,0,248,19,26,42.2,Matches,f5a00fa4"
"Jonny Castro,es ESP,MFDF,25,32.1,4,0,0,34,28,2,54,53,55,1,0,0,158,35,50,41.2,Matches,e28868f3"
"Matt Doherty,ie IRL,MFDF,27,31.5,1,0,0,28,18,3,45,40,29,1,1,0,160,132,96,57.9,Matches,d557d734"
"Leander Dendoncker,be BEL,MFDF,24,31.1,5,0,0,31,9,0,8,38,31,0,1,1,152,94,82,53.4,Matches,5a7301ae"
"Romain Saïss,ma MAR,DF,29,30.1,12,1,1,43,24,2,9,55,38,0,0,0,185,119,68,63.6,Matches,9fbbcf39"
"Adama Traoré,es ESP,FWDF,23,28.9,1,0,0,39,77,6,183,13,21,0,0,0,118,45,52,46.4,Matches,9a28eba4"
"Diogo Jota,pt POR,FW,22,25.4,4,0,0,42,61,3,38,9,15,0,0,0,123,28,52,35.0,Matches,178ae8f8"
"Willy Boly,ci CIV,DF,28,22.0,3,1,1,24,8,1,2,39,33,0,0,0,117,86,29,74.8,Matches,a4ac4b8f"
"Pedro Neto,pt POR,FWMF,19,10.4,3,0,0,14,16,4,48,6,4,0,0,0,53,6,24,20.0,Matches,7ba2eaa9"
"Ryan Bennett,eng ENG,DF,29,6.7,2,0,0,4,1,0,4,9,2,0,0,0,32,20,13,60.6,Matches,0bad4516"
"Rúben Vinagre,pt POR,MFDF,20,7.2,1,0,0,7,8,0,30,11,13,0,0,0,45,7,10,41.2,Matches,b937e490"
"Patrick Cutrone,it ITA,FW,21,3.3,0,0,0,5,9,4,6,2,2,0,0,0,14,8,20,28.6,Matches,a4fe8cda"
"Daniel Podence,pt POR,FWMF,23,3.2,0,0,0,5,9,3,5,2,3,1,0,0,12,0,6,0.0,Matches,7fcc71d8"
"Max Kilman,eng ENG,DF,22,2.1,0,0,0,2,0,0,0,4,2,0,0,0,9,12,9,57.1,Matches,d0f72bf1"
"Jesús Vallejo,es ESP,DF,22,1.8,1,0,0,2,1,0,1,2,1,0,0,0,11,5,3,62.5,Matches,c2111b45"
"Morgan Gibbs-White,eng ENG,MFFW,19,1.4,0,0,0,2,1,0,2,2,0,0,0,0,6,4,2,66.7,Matches,32f60ed8"
"Bruno Jordão,pt POR,FW,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,41ff002d"
"Squad Total,,,26.6,38.0,61,2,2,407,360,49,718,437,367,4,3,1,2113,775,711,52.2,,-9999"
