Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Mathias JÃ¸rgensen,dk DEN,DF,27,55,40,13,2,19,45,42.2,26,49,20,29,131,249,5,6,0,0,45,9,2,0,0,1,0,166,87,82,51.5,1206,1576,76.5,23654,9558,407,472,86.2,607,725,83.7,162,317,51.1,2,0.9,1.1,1.1,9,95,2,0,95,38,3420,90,100,38,0,38,0,0,0,0.97,28,58,-30,-0.79,0,31.3,48.5,-17.2,-0.45,0,0,13,3,23.1,0.34,0.08,0,0,13,0,0,0,1.9,1.9,0.15,-1.9,-1.9,19,0.5,16,1,0,0,0,2,4,0.11,4,0,0,0,0,0
Christopher Schindler,de GER,DF,27,83,56,27,0,24,41,58.5,17,54,30,24,158,275,1,7,2,1,30,21,1,4,0,0,0,156,152,92,62.3,1133,1401,80.9,22466,7583,363,416,87.3,622,714,87.1,137,237,57.8,1,2.3,1.1,-1.3,9,54,0,0,55,37,3265,88,95.5,37,0,35,0,0,0,1,28,53,-25,-0.69,2.21,30.1,46.6,-16.5,-0.45,-0.03,0,10,0,0,0.28,0,0,0,8.7,0,0,0,1.1,1.1,0.11,-1.1,-1.1,16,0.44,13,0,0,1,0,2,1,0.03,1,0,0,0,0,0
Tommy Smith,eng ENG,DF,25,38,18,14,6,23,36,63.9,13,22,6,16,64,80,3,7,0,0,20,18,3,64,0,1,0,109,18,15,54.5,773,1118,69.1,12945,4931,374,431,86.8,315,445,70.8,70,189,37,1,1.8,1.8,-0.8,15,45,19,12,37,24,1904,79,55.7,21,0,15,3,0,12,0.96,15,31,-16,-0.76,0.07,15.5,27.6,-12.1,-0.57,-0.27,0,8,2,25,0.38,0.09,0,0,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,34,1.61,28,4,0,0,0,2,2,0.09,2,0,0,0,0,0
Florent Hadergjonaj,xk KVX,DFMF,23,21,7,10,4,12,30,40,18,22,10,12,38,45,0,3,0,0,17,11,4,98,0,0,0,94,13,22,37.1,595,927,64.2,10632,4759,283,335,84.5,224,352,63.6,75,191,39.3,1,1.5,1.4,-0.5,26,41,28,20,58,23,1674,73,48.9,19,0,16,4,0,10,0.96,13,28,-15,-0.81,-0.03,16.2,22.9,-6.7,-0.36,0.18,0,8,2,25,0.43,0.11,0,0,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,41,2.2,34,4,1,1,1,0,1,0.05,1,0,0,0,0,0
Chris LÃ¶we,de GER,DF,28,43,26,15,2,20,44,45.5,24,21,8,13,77,65,3,1,0,0,13,8,0,73,0,1,0,74,12,12,50,601,868,69.2,10650,4207,274,316,86.7,249,341,73,67,161,41.6,0,0.4,0.5,-0.4,5,46,8,5,35,23,1588,69,46.4,19,0,10,4,0,8,1.04,13,26,-13,-0.74,0.1,15.9,24.5,-8.7,-0.49,-0.07,0,8,2,25,0.45,0.11,0,0,25.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4,20,1.13,9,6,0,1,2,2,2,0.11,1,1,0,0,0,0
Scott Malone,eng ENG,DF,26,39,27,10,2,17,24,70.8,7,12,2,10,65,43,2,3,0,0,19,9,0,46,0,1,0,89,13,13,50,492,708,69.5,8982,3413,209,257,81.3,211,284,74.3,60,120,50,1,0.5,0.5,0.5,10,32,10,3,46,22,1119,51,32.7,12,0,6,10,0,12,0.82,8,23,-15,-1.21,-0.62,9.5,14,-4.5,-0.36,0.13,0,8,2,25,0.64,0.16,0,0,20.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,23,1.85,19,1,1,1,0,1,1,0.08,1,0,0,0,0,0
Terence Kongolo,nl NED,DF,23,33,19,13,1,14,22,63.6,8,12,6,6,65,71,0,0,0,0,5,10,0,10,0,0,0,50,27,13,67.5,263,390,67.4,4459,2277,128,157,81.5,110,154,71.4,17,51,33.3,0,0.1,0.3,-0.1,3,32,3,2,26,13,1049,81,30.7,11,0,11,2,0,1,0.92,7,14,-7,-0.6,0.27,8.9,15.6,-6.7,-0.57,-0.17,0,2,0,0,0.17,0,0,0,15,0,0,0,0.3,0.3,0.14,-0.3,-0.3,12,1.03,8,0,1,1,2,0,0,0,0,0,0,0,0,0
Stuart Dallas,nir NIR,MFDF,29,74,46,22,6,30,88,34.1,58,41,3,38,118,52,1,7,0,0,40,51,0,82,0,0,0,256,32,40,44.4,1830,2235,81.9,27976,8737,1011,1113,90.8,654,783,83.5,109,206,52.9,2,1.8,2.2,0.2,26,154,38,8,143,38,3409,90,99.7,38,90,36,0,0,0,1.55,62,53,9,0.24,8.42,55,56.7,-1.8,-0.05,3.72,8,48,18,37.5,1.27,0.48,0.17,0.44,20.5,0,0,0,4.2,4.2,0.09,3.8,3.8,89,2.35,75,3,4,4,1,2,7,0.18,7,0,0,0,0,0
Luke Ayling,eng ENG,DF,28,108,69,30,9,49,87,56.3,38,53,36,17,144,96,5,7,0,0,29,54,2,82,0,1,0,279,65,65,50,2161,2770,78,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55,0,3.2,3.2,-3.2,27,179,32,12,156,38,3399,89,99.4,38,89,37,0,0,0,1.55,62,54,8,0.21,0.21,54.9,57.4,-2.4,-0.06,-0.92,0,24,6,25,0.64,0.16,0,0,18.7,0,0,0,1.7,1.7,0.07,-1.7,-1.7,52,1.38,43,2,3,1,3,0,4,0.11,4,0,0,0,0,0
Ezgjan Alioski,mk MKD,DFMF,28,74,38,28,8,32,74,43.2,42,17,2,15,97,50,2,7,0,0,39,44,6,62,0,2,0,146,39,44,47,1321,1670,79.1,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,3,3.3,2.3,-0.3,28,87,29,12,93,36,2461,68,72,29,79,19,7,22,2,1.64,47,35,12,0.44,0.81,45,41.3,3.7,0.13,0.69,2,25,8,32,0.91,0.29,0.08,0.25,19,0,0,0,1.6,1.6,0.06,0.4,0.4,71,2.6,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0
