Player,Nation,Pos,Age,90s,Tkl,TklWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Interceptions,Tkl+Int,Clearances,Errors
Lewis Dunk,eng ENG,DF,26,35.0,42,26,31,10,1,17,39,43.6,22,49,38,11,46,88,196,5
Shane Duffy,ie IRL,DF,26,34.3,35,20,23,7,5,14,25,56.0,11,57,47,10,36,71,244,3
Mathew Ryan,au AUS,GK,26,34.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,13,1
Davy PrÃ¶pper,nl NED,MF,26,28.3,50,28,23,21,6,16,52,30.8,36,21,6,15,53,103,37,0
Glenn Murray,eng ENG,FW,34,27.9,17,7,4,7,6,4,20,20.0,16,20,3,17,2,19,17,1
Solly March,eng ENG,FWMF,24,27.4,56,24,27,16,13,19,45,42.2,26,34,4,30,27,83,44,0
Dale Stephens,eng ENG,MF,29,27.6,83,57,37,41,5,28,74,37.8,46,33,13,20,46,129,47,0
MartÃ­n Montoya,es ESP,DF,27,24.1,58,35,29,21,8,32,55,58.2,23,30,10,20,48,106,76,1
Pascal GroÃ,de GER,MFFW,27,20.7,27,12,12,12,3,11,36,30.6,25,20,8,12,13,40,23,0
GaÃ«tan Bong,cm CMR,DF,30,20.1,16,10,7,6,3,6,10,60.0,4,16,6,10,25,41,57,2
Bernardo,br BRA,DF,23,19.5,62,43,43,13,6,31,45,68.9,14,32,13,19,34,96,82,0
Anthony Knockaert,fr FRA,MFFW,26,20.4,33,21,12,15,6,13,30,43.3,17,13,0,13,29,62,11,0
Yves Bissouma,ml MLI,MF,21,19.7,62,30,33,27,2,20,38,52.6,18,21,5,16,33,95,29,2
Bruno,es ESP,DF,37,12.6,25,16,20,3,2,14,18,77.8,4,7,2,5,11,36,30,1
JÃ¼rgen Locadia,nl NED,FWMF,24,13.7,15,10,5,8,2,3,7,42.9,4,8,0,8,9,24,13,0
Alireza Jahanbakhsh,ir IRN,FWMF,24,11.3,32,18,17,11,4,11,30,36.7,19,16,0,16,11,43,4,0
Beram Kayal,il ISR,MF,30,10.4,28,17,16,11,1,5,21,23.8,16,17,10,7,15,43,25,0
JosÃ© Izquierdo,co COL,MFFW,26,8.8,15,9,9,4,2,10,20,50.0,10,7,1,6,5,20,7,0
Florin Andone,ro ROU,FW,25,9.8,10,2,3,4,3,1,6,16.7,5,9,1,8,3,13,12,0
Leon Balogun,ng NGA,DF,30,6.6,12,6,11,1,0,8,9,88.9,1,5,3,2,17,29,32,1
David Button,eng ENG,GK,29,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Squad Total,,,27.4,38.0,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17
