Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Lewis Dunk,eng ENG,DF,25.0,67,49,18,0,25,48,52.1,23,73,58,15,138,230,2,7.0,0.0,0,36,17,0,7,0,0,4,252,120,73,62.2,38,3420.0,90.0,100.0,38,,38.0,0,,0,1.05,34.0,54.0,-20.0,-0.53,,37.0,50.8,-13.8,-0.36,,1,27,8,29.6,0.71,0.21,0.04,0.13,11.5,1,0,0,2.7,2.7,0.1,-1.7,-1.7,38.0,32,0.84,21,0,1,6,2,2,3,0.08,1,0,0,1,1,0
Shane Duffy,ie IRL,DF,25.0,31,22,9,0,7,20,35.0,13,66,59,7,81,332,5,8.0,0.0,0,33,25,7,3,1,1,0,162,192,89,68.3,37,3292.0,89.0,96.3,37,,35.0,0,,0,1.0,32.0,52.0,-20.0,-0.55,-0.55,35.1,48.2,-13.1,-0.36,0.07,0,28,4,14.3,0.77,0.11,0.0,0.0,10.0,0,0,0,2.3,2.3,0.08,-2.3,-2.3,36.6,13,0.36,8,0,0,3,2,0,2,0.05,1,0,0,0,1,0
Dale Stephens,eng ENG,MF,28.0,104,63,39,2,32,114,28.1,82,53,16,37,167,69,1,6.0,0.0,0,50,17,0,0,0,1,0,293,28,30,48.3,36,3240.0,90.0,94.7,36,,36.0,0,,0,1.11,34.0,50.0,-16.0,-0.44,1.56,34.9,48.1,-13.2,-0.37,-0.06,0,19,2,10.5,0.53,0.06,0.0,0.0,23.0,0,0,0,1.2,1.2,0.06,-1.2,-1.2,36.0,47,1.31,43,0,0,3,0,1,3,0.08,2,0,0,1,0,0
Davy PrÃ¶pper,nl NED,MF,25.0,73,35,35,3,18,83,21.7,65,35,11,24,133,80,2,2.0,1.0,0,41,11,2,12,0,0,0,245,46,41,52.9,35,3119.0,89.0,91.2,35,,33.0,0,,0,1.09,31.0,50.0,-19.0,-0.55,-0.25,33.8,45.4,-11.6,-0.33,0.31,0,36,5,13.9,1.04,0.14,0.0,0.0,22.2,0,0,0,1.9,1.9,0.05,-1.9,-1.9,34.7,64,1.85,48,0,6,5,3,2,7,0.2,6,0,1,0,0,0
Pascal GroÃ,de GER,FWMF,26.0,36,18,16,2,10,67,14.9,57,31,5,26,50,20,0,2.0,0.0,0,33,20,9,234,0,0,0,137,12,56,17.6,38,2928.0,77.0,85.6,35,,11.0,3,,0,1.05,34.0,46.0,-12.0,-0.37,1.09,34.0,40.1,-6.0,-0.19,1.23,7,43,19,44.2,1.32,0.58,0.14,0.32,21.5,1,1,1,3.3,2.5,0.06,3.7,3.5,32.5,134,4.12,78,47,3,4,2,0,13,0.4,10,3,0,0,0,0
Anthony Knockaert,fr FRA,MFFW,25.0,39,25,11,3,16,55,29.1,39,29,3,26,62,16,0,4.0,1.0,0,22,23,8,98,0,0,0,171,15,19,44.1,33,2421.0,73.0,70.8,27,,16.0,6,,1,1.15,28.0,29.0,-1.0,-0.04,1.67,26.5,30.9,-4.4,-0.16,0.68,3,46,12,26.1,1.71,0.45,0.07,0.25,19.0,0,0,0,4.1,4.1,0.09,-1.1,-1.1,26.9,84,3.12,58,8,12,2,4,0,8,0.3,8,0,0,0,0,0
GaÃ«tan Bong,cm CMR,DF,29.0,39,25,11,3,15,26,57.7,11,24,6,18,79,81,1,2.0,0.0,0,16,13,0,53,0,0,1,140,29,28,50.9,25,2236.0,89.0,65.4,25,,23.0,0,,2,1.08,25.0,36.0,-11.0,-0.44,0.24,26.4,31.3,-4.9,-0.2,0.48,0,4,1,25.0,0.16,0.04,0.0,0.0,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,24.8,20,0.8,17,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Glenn Murray,eng ENG,FW,33.0,18,4,11,3,2,18,11.1,16,16,4,12,23,27,0,9.0,0.0,0,60,50,35,9,3,0,0,69,115,143,44.6,35,2192.0,63.0,64.1,25,,10.0,10,,1,1.03,25.0,36.0,-11.0,-0.45,0.21,26.3,29.0,-2.7,-0.11,0.7,12,47,19,40.4,1.93,0.78,0.17,0.42,14.6,0,4,6,11.9,7.5,0.16,0.1,0.5,24.4,43,1.76,32,0,2,3,5,1,4,0.16,2,0,0,0,2,0
Bruno,es ESP,DF,36.0,30,21,6,3,14,22,63.6,8,17,11,6,68,76,0,3.0,0.0,0,19,8,0,41,0,1,0,116,28,22,56.0,25,2016.0,81.0,58.9,23,,19.0,2,,10,1.24,16.0,23.0,-7.0,-0.31,0.52,18.6,28.6,-10.1,-0.45,-0.21,0,2,1,50.0,0.09,0.04,0.0,0.0,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,22.4,37,1.65,28,4,3,0,2,0,2,0.09,2,0,0,0,0,0
JosÃ© Izquierdo,co COL,MFFW,25.0,23,12,9,2,7,19,36.8,12,6,0,6,39,34,0,2.0,0.0,0,20,13,14,23,2,0,0,108,15,30,33.3,32,1984.0,62.0,58.0,23,,11.0,9,,3,1.03,26.0,32.0,-6.0,-0.27,0.61,25.6,29.4,-3.8,-0.17,0.45,5,52,16,30.8,2.36,0.73,0.1,0.31,19.5,0,0,0,3.8,3.8,0.07,1.2,1.2,22.0,67,3.04,47,0,12,6,2,0,9,0.41,3,0,3,2,1,0
