Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%
Lewis Dunk,eng ENG,DF,25,38.0,7,0,0,36,17,0,7,71,33,0,0,4,252,120,73,62.2
Mathew Ryan,au AUS,GK,25,38.0,0,0,0,0,1,0,0,3,0,0,0,0,24,12,0,100.0
Shane Duffy,ie IRL,DF,25,36.6,8,0,0,33,25,7,3,50,19,1,1,0,162,192,89,68.3
Dale Stephens,eng ENG,MF,28,36.0,6,0,0,50,17,0,0,63,62,0,1,0,293,28,30,48.3
Davy PrÃ¶pper,nl NED,MF,25,34.7,2,1,0,41,11,2,12,60,44,0,0,0,245,46,41,52.9
Pascal GroÃ,de GER,FWMF,26,32.5,2,0,0,33,20,9,234,14,24,0,0,0,137,12,56,17.6
Anthony Knockaert,fr FRA,MFFW,25,26.9,4,1,0,22,23,8,98,23,26,0,0,0,171,15,19,44.1
GaÃ«tan Bong,cm CMR,DF,29,24.8,2,0,0,16,13,0,53,40,32,0,0,1,140,29,28,50.9
Glenn Murray,eng ENG,FW,33,24.4,9,0,0,60,50,35,9,5,12,3,0,0,69,115,143,44.6
Bruno,es ESP,DF,36,22.4,3,0,0,19,8,0,41,38,17,0,1,0,116,28,22,56.0
JosÃ© Izquierdo,co COL,MFFW,25,22.0,2,0,0,20,13,14,23,16,15,2,0,0,108,15,30,33.3
Solly March,eng ENG,MFFW,23,20.6,3,0,0,29,22,7,102,13,41,1,0,0,135,19,42,31.1
Ezequiel Schelotto,it ITA,DF,28,14.6,3,0,0,8,11,0,33,19,13,0,0,0,74,27,18,60.0
Markus Suttner,at AUT,DF,30,13.1,0,0,0,5,2,0,45,12,15,0,0,0,59,14,13,51.9
Tomer Hemed,il ISR,FW,30,9.4,0,0,0,10,13,7,1,2,5,0,0,0,22,66,85,43.7
Beram Kayal,il ISR,MF,29,8.3,2,0,0,15,15,1,5,12,11,0,0,0,54,8,8,50.0
Izzy Brown,eng ENG,MFFW,20,3.5,0,0,0,3,3,1,7,1,3,0,0,0,17,13,23,36.1
JÃ¼rgen Locadia,nl NED,FWMF,23,2.5,0,0,0,2,3,2,3,1,0,0,0,0,12,1,10,9.1
Leonardo Ulloa,ar ARG,FW,31,3.0,0,0,0,7,3,4,0,0,1,0,0,0,8,23,40,36.5
Connor Goldson,eng ENG,DF,24,2.2,1,0,0,2,2,0,1,1,2,0,0,0,12,9,4,69.2
Jamie Murphy,sct SCO,MF,27,1.9,0,0,0,1,5,1,2,1,2,0,0,0,6,0,2,0.0
Liam Rosenior,eng ENG,DF,33,1.8,0,0,0,1,0,0,1,4,3,0,0,0,5,2,1,66.7
Sam Baldock,eng ENG,FW,28,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Uwe HÃ¼nemeier,de GER,DF,31,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Squad Total,,,27.5,38.0,,,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6
