Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Lewis Dunk,eng ENG,DF,26,35.0,6,1,1,22,14,0,2,46,26,0,0,0,206,119,63,65.4
Shane Duffy,ie IRL,DF,26,34.3,4,1,0,22,10,4,2,36,20,1,1,0,143,187,68,73.3
Mathew Ryan,au AUS,GK,26,34.0,2,0,0,1,3,0,0,0,0,0,1,0,25,8,1,88.9
Davy PrÃ¶pper,nl NED,MF,26,28.3,2,0,0,33,18,1,16,53,28,0,1,0,191,36,26,58.1
Glenn Murray,eng ENG,FW,34,27.9,5,0,0,80,54,38,8,2,7,1,1,0,46,170,176,49.1
Solly March,eng ENG,FWMF,24,27.4,1,0,0,29,30,6,152,27,24,1,0,0,140,17,61,21.8
Dale Stephens,eng ENG,MF,29,27.6,6,1,0,44,10,0,2,46,57,0,0,0,199,26,22,54.2
MartÃ­n Montoya,es ESP,DF,27,24.1,4,0,0,29,16,0,36,48,35,0,0,0,98,22,27,44.9
Pascal GroÃ,de GER,MFFW,27,20.7,1,0,0,11,13,5,142,13,12,1,1,0,90,18,37,32.7
GaÃ«tan Bong,cm CMR,DF,30,20.1,0,0,0,11,4,0,57,25,10,0,2,0,112,24,31,43.6
Bernardo,br BRA,DF,23,19.5,4,0,0,17,23,2,31,34,43,0,0,0,120,44,29,60.3
Anthony Knockaert,fr FRA,MFFW,26,20.4,4,1,0,22,19,3,107,29,21,0,0,0,120,16,8,66.7
Yves Bissouma,ml MLI,MF,21,19.7,5,0,0,40,25,2,8,33,30,0,0,0,116,27,31,46.6
Bruno,es ESP,DF,37,12.6,2,0,0,4,9,3,17,11,16,0,0,0,67,8,16,33.3
JÃ¼rgen Locadia,nl NED,FWMF,24,13.7,1,0,0,22,11,11,12,9,10,0,0,0,56,23,42,35.4
Alireza Jahanbakhsh,ir IRN,FWMF,24,11.3,2,0,0,19,8,6,23,11,18,0,1,0,76,11,18,37.9
Beram Kayal,il ISR,MF,30,10.4,4,0,0,18,7,0,10,15,17,0,1,0,56,15,26,36.6
JosÃ© Izquierdo,co COL,MFFW,26,8.8,1,0,0,6,5,4,6,5,9,1,0,0,46,3,15,16.7
Florin Andone,ro ROU,FW,25,9.8,5,0,0,28,20,4,5,3,2,0,0,0,42,36,73,33.0
Leon Balogun,ng NGA,DF,30,6.6,2,0,0,5,2,1,0,17,6,0,1,0,27,13,10,56.5
David Button,eng ENG,GK,29,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
Squad Total,,,27.4,38.0,61,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4
