Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Lewis Dunk,eng ENG,DF,25,38.0,1189,1529,77.8,26092,8945,377,423,89.1,545,612,89.1,242,436,55.5,1,1.2,0.4,-0.2,11,65,5,1,42
Mathew Ryan,au AUS,GK,25,38.0,625,1186,52.7,25837,22014,20,20,100.0,178,179,99.4,427,975,43.8,0,0.0,0.1,0.0,0,24,0,0,0
Shane Duffy,ie IRL,DF,25,36.6,1045,1368,76.4,23174,7844,271,328,82.6,544,624,87.2,213,373,57.1,1,1.1,0.9,-0.1,8,35,3,2,33
Dale Stephens,eng ENG,MF,28,36.0,1472,1763,83.5,29027,8748,517,594,87.0,685,785,87.3,232,314,73.9,3,2.3,1.5,+0.7,17,164,13,0,163
Davy PrÃ¶pper,nl NED,MF,25,34.7,1088,1405,77.4,20957,6053,410,498,82.3,488,582,83.8,157,234,67.1,4,1.4,1.3,+2.6,19,134,17,3,144
Pascal GroÃ,de GER,FWMF,26,32.5,1001,1470,68.1,16478,5349,516,607,85.0,258,378,68.3,142,307,46.3,8,8.3,6.1,-0.3,82,86,39,16,91
Anthony Knockaert,fr FRA,MFFW,25,26.9,851,1103,77.2,12977,3195,475,544,87.3,270,337,80.1,61,126,48.4,1,3.2,3.1,-2.2,32,45,30,5,85
GaÃ«tan Bong,cm CMR,DF,29,24.8,728,1091,66.7,11534,5807,364,438,83.1,291,423,68.8,43,147,29.3,0,0.5,0.5,-0.5,9,69,7,5,62
Glenn Murray,eng ENG,FW,33,24.4,366,678,54.0,4451,813,212,364,58.2,105,181,58.0,7,26,26.9,0,1.6,1.2,-1.6,17,23,6,0,25
Bruno,es ESP,DF,36,22.4,949,1220,77.8,16949,6723,446,492,90.7,371,460,80.7,116,215,54.0,0,0.6,1.0,-0.6,10,54,12,6,49
JosÃ© Izquierdo,co COL,MFFW,25,22.0,415,550,75.5,5081,1389,259,317,81.7,104,142,73.2,9,24,37.5,3,2.2,1.7,+0.8,21,21,15,5,31
Solly March,eng ENG,MFFW,23,20.6,516,756,68.3,8609,2396,255,309,82.5,173,241,71.8,59,119,49.6,1,1.4,1.8,-0.4,18,33,19,9,39
Ezequiel Schelotto,it ITA,DF,28,14.6,448,621,72.1,7630,3180,212,254,83.5,173,250,69.2,48,80,60.0,0,0.6,0.6,-0.6,5,35,8,5,31
Markus Suttner,at AUT,DF,30,13.1,435,613,71.0,8260,3590,184,208,88.5,178,238,74.8,64,141,45.4,0,0.3,0.6,-0.3,6,39,7,4,49
Tomer Hemed,il ISR,FW,30,9.4,146,237,61.6,1717,278,96,136,70.6,35,65,53.8,2,4,50.0,2,0.1,0.1,+1.9,3,8,1,0,9
Beram Kayal,il ISR,MF,29,8.3,182,235,77.4,2904,800,89,103,86.4,72,88,81.8,13,26,50.0,0,0.5,0.6,-0.5,11,16,4,2,18
Izzy Brown,eng ENG,MFFW,20,3.5,93,139,66.9,1306,279,53,65,81.5,30,45,66.7,5,9,55.6,0,0.8,0.5,-0.8,6,8,4,2,6
JÃ¼rgen Locadia,nl NED,FWMF,23,2.5,38,55,69.1,697,140,18,23,78.3,9,15,60.0,8,9,88.9,1,0.1,0.0,+0.9,1,4,0,0,4
Leonardo Ulloa,ar ARG,FW,31,3.0,86,122,70.5,1027,263,58,76,76.3,20,29,69.0,0,1,0.0,0,0.2,0.3,-0.2,6,9,3,0,10
Connor Goldson,eng ENG,DF,24,2.2,63,86,73.3,1270,512,21,25,84.0,29,37,78.4,12,21,57.1,0,0.0,0.0,0.0,0,6,0,0,4
Jamie Murphy,sct SCO,MF,27,1.9,37,45,82.2,633,80,15,18,83.3,19,20,95.0,2,2,100.0,0,0.0,0.0,0.0,1,3,0,0,0
Liam Rosenior,eng ENG,DF,33,1.8,60,89,67.4,1102,631,27,34,79.4,23,31,74.2,9,18,50.0,0,0.0,0.0,0.0,0,4,0,0,6
Sam Baldock,eng ENG,FW,28,0.4,4,7,57.1,41,7,3,5,60.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Uwe HÃ¼nemeier,de GER,DF,31,0.2,1,4,25.0,38,0,0,0,,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,27.5,38.0,11838,16372,72.3,227791,89036,4898,5881,83.3,4601,5764,79.8,1872,3610,51.9,25,26.2,22.5,-1.2,283,885,193,65,901
