Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Lewis Dunk,eng ENG,DF,26,36,3151,88,92.1,35.0,36,88,34,0,,0,0.97,31,55,-24,-0.69,-0.35,32.0,55.2,-23.2,-0.66,-0.45
Shane Duffy,ie IRL,DF,26,35,3087,88,90.3,34.3,35,88,34,0,,0,1.03,32,54,-22,-0.64,+0.17,32.7,54.1,-21.4,-0.62,+0.03
Mathew Ryan,au AUS,GK,26,34,3060,90,89.5,34.0,34,90,34,0,,0,0.94,31,55,-24,-0.71,-0.46,32.4,53.2,-20.9,-0.61,+0.13
Davy PrÃ¶pper,nl NED,MF,26,30,2546,85,74.4,28.3,30,85,25,0,,0,0.93,27,45,-18,-0.64,+0.08,26.9,41.4,-14.5,-0.51,+0.45
Glenn Murray,eng ENG,FW,34,38,2508,66,73.3,27.9,30,78,16,8,20,0,0.95,27,45,-18,-0.65,+0.04,26.6,42.6,-16.0,-0.58,+0.20
Solly March,eng ENG,FWMF,24,35,2463,70,72.0,27.4,30,78,16,5,24,1,0.94,26,40,-14,-0.51,+0.52,28.8,42.7,-14.0,-0.51,+0.42
Dale Stephens,eng ENG,MF,29,30,2485,83,72.7,27.6,29,85,26,1,11,1,0.83,26,45,-19,-0.69,-0.11,26.3,44.5,-18.2,-0.66,-0.11
MartÃ­n Montoya,es ESP,DF,27,25,2167,87,63.4,24.1,24,90,24,1,6,0,0.80,25,41,-16,-0.66,-0.02,23.3,37.7,-14.4,-0.60,+0.08
Pascal GroÃ,de GER,MFFW,27,25,1864,75,54.5,20.7,24,77,9,1,10,0,0.80,18,31,-13,-0.63,+0.07,21.4,26.6,-5.1,-0.25,+0.83
GaÃ«tan Bong,cm CMR,DF,30,22,1808,82,52.9,20.1,19,90,19,3,32,16,0.77,18,34,-16,-0.80,-0.29,19.8,38.2,-18.4,-0.91,-0.61
Bernardo,br BRA,DF,23,22,1752,80,51.2,19.5,19,89,18,3,19,12,1.09,17,29,-12,-0.62,+0.09,16.5,23.6,-7.1,-0.37,+0.54
Anthony Knockaert,fr FRA,MFFW,26,30,1837,61,53.7,20.4,18,83,10,12,29,4,0.80,20,38,-18,-0.88,-0.48,17.7,34.6,-16.9,-0.83,-0.44
Yves Bissouma,ml MLI,MF,21,28,1774,63,51.9,19.7,17,88,11,11,26,6,0.93,16,32,-16,-0.81,-0.32,16.9,30.8,-13.8,-0.70,-0.16
Bruno,es ESP,DF,37,14,1131,81,33.1,12.6,14,81,9,0,,9,1.14,10,17,-7,-0.56,+0.15,11.2,19.1,-7.9,-0.63,0.00
JÃ¼rgen Locadia,nl NED,FWMF,24,26,1236,48,36.1,13.7,12,84,7,14,17,9,0.81,11,21,-10,-0.73,-0.11,14.9,20.6,-5.6,-0.41,+0.34
Alireza Jahanbakhsh,ir IRN,FWMF,24,19,1020,54,29.8,11.3,12,75,3,7,17,5,0.95,11,16,-5,-0.44,+0.31,8.6,18.5,-9.9,-0.88,-0.35
Beram Kayal,il ISR,MF,30,18,940,52,27.5,10.4,9,85,7,9,20,19,1.22,8,17,-9,-0.86,-0.28,6.9,20.2,-13.3,-1.27,-0.88
JosÃ© Izquierdo,co COL,MFFW,26,15,795,53,23.2,8.8,9,78,4,6,16,3,1.40,11,10,+1,+0.11,+1.00,7.5,13.5,-6.0,-0.68,-0.07
Florin Andone,ro ROU,FW,25,23,881,38,25.8,9.8,8,68,0,15,23,5,0.78,7,14,-7,-0.72,-0.08,8.2,14.4,-6.2,-0.63,-0.01
Leon Balogun,ng NGA,DF,30,8,594,74,17.4,6.6,5,91,5,3,47,18,1.25,7,10,-3,-0.45,+0.25,5.9,8.7,-2.7,-0.41,+0.26
David Button,eng ENG,GK,29,4,360,90,10.5,4.0,4,90,4,0,,25,1.00,4,5,-1,-0.25,+0.46,2.9,5.9,-3.0,-0.75,-0.13
Dan Burn,eng ENG,DF,26,0,,,,,0,,0,0,,14,,,,,,,,,,,
Viktor GyÃ¶keres,se SWE,FWMF,20,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jayson Molumby,ie IRL,MF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Max Sanders,eng ENG,MF,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jason Steele,eng ENG,GK,27,0,,,,,0,,0,0,,13,,,,,,,,,,,
Markus Suttner,at AUT,DFGK,31,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ben White,eng ENG,DF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Squad Total,,,27.4,38,3420,90,100,38.0,418,84,,99,22,167,0.95,35,60,-25,-0.66,,35.3,59.1,-23.8,-0.63,
