Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Lewis Dunk,eng ENG,DF,26.0,42,31,10,1,17,39,43.6,22,49,38,11,88,196,5,6,1,1,22,14,0,2,0,0,0,206,119,63,65.4,1246,1510,82.5,26946,8559,380,425,89.4,604,655,92.2,239,380,62.9,1,0.8,0.7,0.2,11,75,2,0,45,36,3151.0,88.0,92.1,36,88.0,34.0,0,,0,0.97,31.0,55.0,-24.0,-0.69,-0.35,32.0,55.2,-23.2,-0.66,-0.45,2,20,4,20.0,0.57,0.11,0.1,0.5,14.1,2,0,0,1.8,1.8,0.09,0.2,0.2,21,0.6,20,0,0,0,1,0,2,0.06,2,0,0,0,0,0
Shane Duffy,ie IRL,DF,26.0,35,23,7,5,14,25,56.0,11,57,47,10,71,244,3,4,1,0,22,10,4,2,1,1,0,143,187,68,73.3,987,1318,74.9,21295,7903,280,341,82.1,509,606,84.0,172,316,54.4,1,0.3,0.3,0.7,7,41,3,1,33,35,3087.0,88.0,90.3,35,88.0,34.0,0,,0,1.03,32.0,54.0,-22.0,-0.64,0.17,32.7,54.1,-21.4,-0.62,0.03,5,37,14,37.8,1.08,0.41,0.14,0.36,10.6,0,0,0,3.1,3.1,0.08,1.9,1.9,23,0.67,18,1,0,2,2,0,3,0.09,2,0,0,0,1,0
Davy PrÃ¶pper,nl NED,MF,26.0,50,23,21,6,16,52,30.8,36,21,6,15,103,37,0,2,0,0,33,18,1,16,0,1,0,191,36,26,58.1,973,1243,78.3,17226,4813,425,508,83.7,414,491,84.3,104,160,65.0,1,1.3,1.4,-0.3,19,131,17,1,118,30,2546.0,85.0,74.4,30,85.0,25.0,0,,0,0.93,27.0,45.0,-18.0,-0.64,0.08,26.9,41.4,-14.5,-0.51,0.45,1,15,2,13.3,0.53,0.07,0.07,0.5,15.9,0,0,0,0.9,0.9,0.06,0.1,0.1,41,1.45,38,0,1,0,1,1,2,0.07,2,0,0,0,0,0
Glenn Murray,eng ENG,FW,34.0,17,4,7,6,4,20,20.0,16,20,3,17,19,17,1,5,0,0,80,54,38,8,1,1,0,46,170,176,49.1,353,618,57.1,4264,900,235,372,63.2,72,134,53.7,13,23,56.5,1,1.3,1.2,-0.3,12,25,7,0,23,38,2508.0,66.0,73.3,30,78.0,16.0,8,20.0,0,0.95,27.0,45.0,-18.0,-0.65,0.04,26.6,42.6,-16.0,-0.58,0.2,13,50,17,34.0,1.79,0.61,0.18,0.53,12.2,0,4,4,11.4,8.1,0.16,1.6,0.9,35,1.26,23,0,0,3,9,0,2,0.07,1,0,0,0,1,0
Solly March,eng ENG,FWMF,24.0,56,27,16,13,19,45,42.2,26,34,4,30,83,44,0,1,0,0,29,30,6,152,1,0,0,140,17,61,21.8,598,938,63.8,10248,2627,323,395,81.8,184,279,65.9,72,154,46.8,5,4.3,4.3,0.7,41,35,38,19,39,35,2463.0,70.0,72.0,30,78.0,16.0,5,24.0,1,0.94,26.0,40.0,-14.0,-0.51,0.52,28.8,42.7,-14.0,-0.51,0.42,1,43,9,20.9,1.57,0.33,0.02,0.11,21.4,3,0,0,2.5,2.5,0.06,-1.5,-1.5,84,3.07,45,11,15,6,6,1,8,0.29,5,1,0,0,2,0
Dale Stephens,eng ENG,MF,29.0,83,37,41,5,28,74,37.8,46,33,13,20,129,47,0,6,1,0,44,10,0,2,0,0,0,199,26,22,54.2,1136,1365,83.2,21941,6362,462,522,88.5,492,550,89.5,166,229,72.5,1,0.7,0.7,0.3,18,138,11,1,109,30,2485.0,83.0,72.7,29,85.0,26.0,1,11.0,1,0.83,26.0,45.0,-19.0,-0.69,-0.11,26.3,44.5,-18.2,-0.66,-0.11,1,11,1,9.1,0.4,0.04,0.09,1.0,27.4,0,0,0,0.3,0.3,0.03,0.7,0.7,41,1.48,35,1,0,2,2,1,3,0.11,3,0,0,0,0,0
MartÃ­n Montoya,es ESP,DF,27.0,58,29,21,8,32,55,58.2,23,30,10,20,106,76,1,4,0,0,29,16,0,36,0,0,0,98,22,27,44.9,900,1152,78.1,13885,6073,497,564,88.1,327,423,77.3,53,100,53.0,1,1.2,1.5,-0.2,18,59,26,15,61,25,2167.0,87.0,63.4,24,90.0,24.0,1,6.0,0,0.8,25.0,41.0,-16.0,-0.66,-0.02,23.3,37.7,-14.4,-0.6,0.08,0,8,1,12.5,0.33,0.04,0.0,0.0,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,40,1.66,33,3,0,0,3,1,2,0.08,1,0,0,0,1,0
Pascal GroÃ,de GER,MFFW,27.0,27,12,12,3,11,36,30.6,25,20,8,12,40,23,0,1,0,0,11,13,5,142,1,1,0,90,18,37,32.7,661,965,68.5,12127,3940,323,379,85.2,206,292,70.5,105,225,46.7,3,5.5,4.2,-2.5,54,87,28,15,66,25,1864.0,75.0,54.5,24,77.0,9.0,1,10.0,0,0.8,18.0,31.0,-13.0,-0.63,0.07,21.4,26.6,-5.1,-0.25,0.83,3,22,7,31.8,1.06,0.34,0.09,0.29,18.0,1,1,2,4.4,2.8,0.13,-1.4,-0.8,85,4.1,46,30,3,3,3,0,6,0.29,1,2,0,2,1,0
GaÃ«tan Bong,cm CMR,DF,30.0,16,7,6,3,6,10,60.0,4,16,6,10,41,57,2,0,0,0,11,4,0,57,0,2,0,112,24,31,43.6,603,888,67.9,9894,5036,291,338,86.1,259,378,68.5,39,117,33.3,0,0.5,0.6,-0.5,9,48,16,8,53,22,1808.0,82.0,52.9,19,90.0,19.0,3,32.0,16,0.77,18.0,34.0,-16.0,-0.8,-0.29,19.8,38.2,-18.4,-0.91,-0.61,0,2,0,0.0,0.1,0.0,0.0,,27.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,18,0.9,13,3,2,0,0,0,1,0.05,1,0,0,0,0,0
Bernardo,br BRA,DF,23.0,62,43,13,6,31,45,68.9,14,32,13,19,96,82,0,4,0,0,17,23,2,31,0,0,0,120,44,29,60.3,729,1029,70.8,11231,4660,394,461,85.5,274,382,71.7,42,114,36.8,1,0.6,0.8,0.4,9,49,15,4,61,22,1752.0,80.0,51.2,19,89.0,18.0,3,19.0,12,1.09,17.0,29.0,-12.0,-0.62,0.09,16.5,23.6,-7.1,-0.37,0.54,0,8,3,37.5,0.41,0.15,0.0,0.0,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,28,1.44,20,2,1,1,4,0,1,0.05,1,0,0,0,0,0
