Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Lewis Dunk,eng ENG,DF,25,38.0,1,27,8,29.6,0.71,0.21,0.04,0.13,11.5,1,0,0,2.7,2.7,0.10,-1.7,-1.7
Mathew Ryan,au AUS,GK,25,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Shane Duffy,ie IRL,DF,25,36.6,0,28,4,14.3,0.77,0.11,0.00,0.00,10.0,0,0,0,2.3,2.3,0.08,-2.3,-2.3
Dale Stephens,eng ENG,MF,28,36.0,0,19,2,10.5,0.53,0.06,0.00,0.00,23.0,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Davy PrÃ¶pper,nl NED,MF,25,34.7,0,36,5,13.9,1.04,0.14,0.00,0.00,22.2,0,0,0,1.9,1.9,0.05,-1.9,-1.9
Pascal GroÃ,de GER,FWMF,26,32.5,7,43,19,44.2,1.32,0.58,0.14,0.32,21.5,1,1,1,3.3,2.5,0.06,+3.7,+3.5
Anthony Knockaert,fr FRA,MFFW,25,26.9,3,46,12,26.1,1.71,0.45,0.07,0.25,19.0,0,0,0,4.1,4.1,0.09,-1.1,-1.1
GaÃ«tan Bong,cm CMR,DF,29,24.8,0,4,1,25.0,0.16,0.04,0.00,0.00,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Glenn Murray,eng ENG,FW,33,24.4,12,47,19,40.4,1.93,0.78,0.17,0.42,14.6,0,4,6,11.9,7.5,0.16,+0.1,+0.5
Bruno,es ESP,DF,36,22.4,0,2,1,50.0,0.09,0.04,0.00,0.00,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
JosÃ© Izquierdo,co COL,MFFW,25,22.0,5,52,16,30.8,2.36,0.73,0.10,0.31,19.5,0,0,0,3.8,3.8,0.07,+1.2,+1.2
Solly March,eng ENG,MFFW,23,20.6,1,28,9,32.1,1.36,0.44,0.04,0.11,23.8,1,0,0,1.5,1.5,0.05,-0.5,-0.5
Ezequiel Schelotto,it ITA,DF,28,14.6,0,6,2,33.3,0.41,0.14,0.00,0.00,21.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Markus Suttner,at AUT,DF,30,13.1,0,3,0,0.0,0.23,0.00,0.00,,29.3,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Tomer Hemed,il ISR,FW,30,9.4,2,17,7,41.2,1.80,0.74,0.12,0.29,14.8,0,0,0,1.9,1.9,0.11,+0.1,+0.1
Beram Kayal,il ISR,MF,29,8.3,0,4,1,25.0,0.48,0.12,0.00,0.00,16.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Izzy Brown,eng ENG,MFFW,20,3.5,0,1,1,100.0,0.29,0.29,0.00,0.00,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
JÃ¼rgen Locadia,nl NED,FWMF,23,2.5,1,6,1,16.7,2.41,0.40,0.17,1.00,18.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1
Leonardo Ulloa,ar ARG,FW,31,3.0,1,2,1,50.0,0.67,0.34,0.50,1.00,6.9,0,0,0,0.7,0.7,0.37,+0.3,+0.3
Connor Goldson,eng ENG,DF,24,2.2,0,3,1,33.3,1.35,0.45,0.00,0.00,7.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Jamie Murphy,sct SCO,MF,27,1.9,0,1,0,0.0,0.54,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Liam Rosenior,eng ENG,DF,33,1.8,0,2,0,0.0,1.10,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sam Baldock,eng ENG,FW,28,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Uwe HÃ¼nemeier,de GER,DF,31,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,27.5,38.0,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8
