,Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
0,Christopher Schindler,de GER,DF,28.0,61,46,14,1,27,47,57.4,20,69,34,35,131,138,4,5,1,1,26,18,0,0,0,1,0,122,136,108,55.7,1288,1555,82.8,26485,8603,399,466,85.6,672,772,87.0,205,284,72.2,0,0.2,0.4,-0.2,2,65,2,0,57,37,3260.0,88.0,95.3,37,88.0,35.0,0,0.0,0,0.43,19.0,71.0,-52.0,-1.44,-0.31,27.6,57.7,-30.1,-0.83,0.29,1,13,3,23.1,0.36,0.08,0.08,0.33,11.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1,15,0.41,13,1,0,0,1,0,1,0.03,1,0,0,0,0,0
1,Terence Kongolo,nl NED,DF,24.0,74,44,26,4,27,47,57.4,20,42,16,26,139,106,1,4,0,0,20,25,2,28,0,1,1,121,53,35,60.2,978,1275,76.7,17265,7866,444,513,86.5,427,530,80.6,99,193,51.3,1,1.1,0.6,-0.1,9,69,10,4,63,32,2716.0,85.0,79.4,32,85.0,26.0,0,0.0,2,0.44,20.0,65.0,-45.0,-1.49,-0.34,23.0,50.2,-27.2,-0.9,-0.26,1,14,4,28.6,0.46,0.13,0.07,0.25,14.9,0,0,0,1.3,1.3,0.09,-0.3,-0.3,24,0.8,18,1,0,2,1,2,2,0.07,2,0,0,0,0,0
2,Jonathan Hogg,eng ENG,MF,29.0,78,18,51,9,27,69,39.1,42,46,7,39,151,19,1,8,1,0,58,35,1,6,0,0,0,234,31,33,48.4,1289,1556,82.8,22062,5783,602,682,88.3,523,601,87.0,127,197,64.5,1,0.8,1.1,0.2,16,127,14,1,97,29,2367.0,82.0,69.2,29,82.0,19.0,0,0.0,2,0.52,13.0,44.0,-31.0,-1.18,0.79,20.8,38.9,-18.1,-0.69,0.51,0,8,1,12.5,0.3,0.04,0.0,0.0,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,34,1.29,28,0,0,1,3,2,1,0.04,1,0,0,0,0,0
3,Alex Pritchard,eng ENG,MFFW,25.0,36,10,18,8,10,35,28.6,25,26,2,24,53,9,0,2,0,0,13,51,7,78,0,0,0,127,14,35,28.6,691,981,70.4,10133,2557,406,481,84.4,200,280,71.4,48,109,44.0,0,1.8,1.6,-1.8,32,66,20,6,52,30,2081.0,69.0,60.8,26,78.0,11.0,4,15.0,7,0.47,17.0,40.0,-23.0,-0.99,1.09,19.5,33.8,-14.3,-0.62,0.58,2,47,13,27.7,2.03,0.56,0.04,0.15,20.3,1,0,0,2.7,2.7,0.06,-0.7,-0.7,97,4.2,61,12,6,3,13,2,5,0.22,2,2,0,0,1,0
4,Aaron Mooy,au AUS,MFFW,27.0,62,19,27,16,21,52,40.4,31,43,7,36,76,22,0,4,0,0,26,12,1,137,0,0,0,203,14,26,35.0,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,97,29,2330.0,80.0,68.1,25,89.0,24.0,4,26.0,0,0.52,18.0,48.0,-30.0,-1.16,0.82,20.8,38.5,-17.6,-0.68,0.52,3,42,13,31.0,1.62,0.5,0.05,0.15,23.3,8,1,1,2.8,2.1,0.05,0.2,-0.1,85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0
5,Philip Billing,dk DEN,MF,22.0,73,26,39,8,19,42,45.2,23,57,16,41,126,43,0,7,0,0,37,30,2,56,0,1,0,174,86,28,75.4,909,1261,72.1,16703,4691,408,489,83.4,330,455,72.5,136,236,57.6,0,1.7,1.1,-1.7,22,69,16,9,62,27,2188.0,81.0,64.0,25,85.0,19.0,2,28.0,1,0.52,15.0,43.0,-28.0,-1.15,0.75,17.5,34.2,-16.6,-0.68,0.45,2,42,9,21.4,1.73,0.37,0.05,0.22,23.7,3,0,0,1.8,1.8,0.04,0.2,0.2,68,2.8,40,12,2,9,4,1,3,0.12,2,1,0,0,0,0
6,Mathias JÃ¸rgensen,dk DEN,DF,28.0,49,27,21,1,27,46,58.7,19,29,14,15,118,83,0,6,0,0,33,14,0,4,0,1,0,152,36,51,41.4,974,1191,81.8,17693,7632,402,459,87.6,439,500,87.8,104,181,57.5,1,0.3,0.4,0.7,8,76,3,1,69,24,2147.0,89.0,62.8,24,89.0,23.0,0,0.0,7,0.33,11.0,38.0,-27.0,-1.13,0.78,16.9,32.8,-15.9,-0.67,0.48,3,8,4,50.0,0.34,0.17,0.38,0.75,13.6,0,0,0,1.4,1.4,0.18,1.6,1.6,23,0.96,19,1,0,0,1,2,1,0.04,1,0,0,0,0,0
7,Chris LÃ¶we,de GER,DFMF,29.0,34,17,15,2,12,33,36.4,21,21,3,18,57,56,0,2,0,0,14,13,2,140,0,1,0,98,23,33,41.1,767,1109,69.2,13554,4429,386,454,85.0,248,348,71.3,109,220,49.5,2,1.7,1.6,0.3,20,42,24,21,37,29,2057.0,71.0,60.1,23,83.0,17.0,6,23.0,4,0.24,13.0,55.0,-42.0,-1.84,-1.05,16.0,42.9,-26.9,-1.18,-0.83,0,18,6,33.3,0.79,0.26,0.0,0.0,24.2,1,0,0,0.6,0.6,0.04,-0.6,-0.6,39,1.71,24,9,3,2,1,0,4,0.18,4,0,0,0,0,0
8,Erik Durm,de GER,DF,26.0,35,24,8,3,14,33,42.4,19,26,6,20,76,42,0,0,0,0,13,22,1,65,0,0,0,136,22,36,37.9,740,1087,68.1,11480,4444,401,488,82.2,238,354,67.2,71,155,45.8,1,0.6,0.8,0.4,11,42,18,9,45,28,2055.0,73.0,60.1,21,87.0,19.0,7,32.0,2,0.39,15.0,45.0,-30.0,-1.31,0.27,19.3,36.0,-16.7,-0.73,0.28,0,10,0,0.0,0.44,0.0,0.0,0.0,21.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,37,1.62,30,1,3,1,1,1,2,0.09,2,0,0,0,0,0
9,Florent Hadergjonaj,xk KVX,DFMF,24.0,30,10,18,2,13,37,35.1,24,21,7,14,51,37,1,1,0,0,11,19,2,91,0,1,0,106,22,22,50.0,688,973,70.7,11043,4256,371,429,86.5,217,316,68.7,69,152,45.4,0,1.5,1.3,-1.5,23,43,24,18,54,24,1842.0,77.0,53.9,19,87.0,16.0,5,37.0,9,0.46,11.0,36.0,-25.0,-1.22,0.43,14.5,30.5,-16.0,-0.78,0.14,0,6,2,33.3,0.29,0.1,0.0,0.0,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,41,2.0,37,0,1,1,0,2,0,0.0,0,0,0,0,0,0
