Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Christopher Schindler,de GER,DF,28,36.2,61,36,46,14,1,27,47,57.4,20,69,34,35,70,131,138,4
Terence Kongolo,nl NED,DF,24,30.2,74,46,44,26,4,27,47,57.4,20,42,16,26,65,139,106,1
Jonas LÃ¶ssl,dk DEN,GK,29,30.9,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,12,2
Jonathan Hogg,eng ENG,MF,29,26.3,78,41,18,51,9,27,69,39.1,42,46,7,39,73,151,19,1
Alex Pritchard,eng ENG,MFFW,25,23.1,36,24,10,18,8,10,35,28.6,25,26,2,24,17,53,9,0
Aaron Mooy,au AUS,MFFW,27,25.9,62,42,19,27,16,21,52,40.4,31,43,7,36,14,76,22,0
Philip Billing,dk DEN,MF,22,24.3,73,44,26,39,8,19,42,45.2,23,57,16,41,53,126,43,0
Mathias JÃ¸rgensen,dk DEN,DF,28,23.9,49,31,27,21,1,27,46,58.7,19,29,14,15,69,118,83,0
Chris LÃ¶we,de GER,DFMF,29,22.9,34,18,17,15,2,12,33,36.4,21,21,3,18,23,57,56,0
Erik Durm,de GER,DF,26,22.8,35,22,24,8,3,14,33,42.4,19,26,6,20,41,76,42,0
Florent Hadergjonaj,xk KVX,DFMF,24,20.5,30,17,10,18,2,13,37,35.1,24,21,7,14,21,51,37,1
Steve MouniÃ©,bj BEN,FW,23,19.8,9,6,3,4,2,2,12,16.7,10,10,1,9,5,14,15,0
Juninho Bacuna,cw CUW,MFDF,20,15.7,46,29,22,19,5,22,54,40.7,32,21,1,20,24,70,12,1
Elias Kachunga,cd COD,FWMF,26,13.1,22,9,8,12,2,9,25,36.0,16,16,1,15,4,26,10,0
Tommy Smith,eng ENG,DF,26,12.7,26,13,14,11,1,10,25,40.0,15,12,4,8,18,44,25,0
Laurent Depoitre,be BEL,FW,29,11.9,6,4,2,3,1,0,3,0.0,3,9,0,9,2,8,8,0
Isaac Mbenza,be BEL,FWMF,22,11.0,10,9,5,5,0,2,4,50.0,2,4,0,4,5,15,4,0
Karlan Grant,eng ENG,FW,20,9.7,5,2,1,2,2,1,3,33.3,2,8,0,8,2,7,1,1
Jon Gorenc StankoviÄ,si SVN,MFDF,22,7.9,26,18,18,7,1,14,26,53.8,12,16,9,7,9,35,20,1
Ben Hamer,eng ENG,GK,30,6.1,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,3,2
Adama Diakhaby,fr FRA,FWMF,22,6.1,6,3,4,1,1,3,11,27.3,8,7,0,7,1,7,2,0
Rajiv van La Parra,nl NED,FWMF,27,4.5,8,5,1,7,0,1,6,16.7,5,0,0,0,4,12,3,1
Jason Puncheon,eng ENG,MF,32,4.2,7,4,1,5,1,1,7,14.3,6,3,1,2,3,10,8,0
Danny Williams,us USA,MF,29,1.1,0,0,0,0,0,0,0,,0,4,1,3,1,1,2,0
Joel Coleman,eng ENG,GK,22,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aaron Rowe,eng ENG,FW,17,0.8,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0
Abdelhamid Sabiri,ma MAR,FW,21,0.5,2,1,1,1,0,0,0,,0,1,0,1,1,3,0,0
Demeaco Duhaney,eng ENG,DF,19,0.5,1,0,1,0,0,1,3,33.3,2,2,0,2,1,2,1,0
Ramadan Sobhi,eg EGY,FWMF,21,0.9,1,1,0,1,0,0,0,,0,2,0,2,1,2,0,0
Matty Daly,eng ENG,MF,17,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Collin Quaner,de GER,FW,27,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Squad Total,,,26.2,38.0,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15
