Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Mathias JÃ¸rgensen,dk DEN,DF,27.0,55,40,13,2,19,45,42.2,26,49,20,29,131,249,5,6.0,0.0,0,45,9,2,0,0,1,0,166,87,82,51.5,1206,1576,76.5,23654,9558,407,472,86.2,607,725,83.7,162,317,51.1,2,0.9,1.1,1.1,9,95,2,0,95,38,3420.0,90.0,100.0,38,,38.0,0,,0,0.97,28.0,58.0,-30.0,-0.79,,31.3,48.5,-17.2,-0.45,,0,13,3,23.1,0.34,0.08,0.0,0.0,13.0,0,0,0,1.9,1.9,0.15,-1.9,-1.9,19,0.5,16,1,0,0,0,2,4,0.11,4,0,0,0,0,0
Christopher Schindler,de GER,DF,27.0,83,56,27,0,24,41,58.5,17,54,30,24,158,275,1,7.0,2.0,1,30,21,1,4,0,0,0,156,152,92,62.3,1133,1401,80.9,22466,7583,363,416,87.3,622,714,87.1,137,237,57.8,1,2.3,1.1,-1.3,9,54,0,0,55,37,3265.0,88.0,95.5,37,,35.0,0,,0,1.0,28.0,53.0,-25.0,-0.69,2.21,30.1,46.6,-16.5,-0.45,-0.03,0,10,0,0.0,0.28,0.0,0.0,,8.7,0,0,0,1.1,1.1,0.11,-1.1,-1.1,16,0.44,13,0,0,1,0,2,1,0.03,1,0,0,0,0,0
Aaron Mooy,au AUS,MF,26.0,102,39,51,12,23,55,41.8,32,39,5,34,140,52,0,4.0,0.0,0,26,16,2,185,0,0,0,266,32,38,45.7,1553,2098,74.0,25274,7426,788,921,85.6,509,657,77.5,162,337,48.1,3,4.0,4.0,-1.0,50,203,28,9,141,36,3067.0,85.0,89.7,34,,29.0,2,,0,0.94,25.0,52.0,-27.0,-0.79,-0.03,28.0,43.6,-15.6,-0.46,-0.05,4,28,6,21.4,0.82,0.18,0.11,0.5,23.2,3,1,1,3.0,2.2,0.08,1.0,0.8,89,2.61,66,20,0,1,0,2,7,0.21,5,2,0,0,0,0
Jonathan Hogg,eng ENG,MF,28.0,93,29,59,5,26,89,29.2,63,51,12,39,162,48,0,9.0,2.0,1,32,30,0,3,0,0,0,209,33,30,52.4,1206,1423,84.8,20877,5948,530,596,88.9,534,598,89.3,105,154,68.2,0,0.4,0.9,-0.4,9,110,8,1,96,30,2398.0,80.0,70.1,29,,17.0,1,,2,0.97,20.0,39.0,-19.0,-0.71,0.26,21.1,35.6,-14.5,-0.55,-0.31,0,12,2,16.7,0.45,0.08,0.0,0.0,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,37,1.39,31,0,1,1,3,1,1,0.04,0,0,0,0,1,0
Tom Ince,eng ENG,MFFW,25.0,35,14,16,5,10,29,34.5,19,20,0,20,47,12,0,0.0,0.0,0,22,36,10,59,0,0,0,136,16,43,27.1,572,763,75.0,8640,1728,317,361,87.8,198,235,84.3,34,96,35.4,0,1.4,1.2,-1.4,18,27,14,7,28,33,2452.0,74.0,71.7,27,,17.0,6,,3,1.06,22.0,39.0,-17.0,-0.62,0.58,24.4,29.3,-4.9,-0.18,0.97,2,70,20,28.6,2.57,0.73,0.03,0.1,18.7,4,0,0,6.4,6.4,0.09,-4.4,-4.4,66,2.42,41,5,5,9,5,1,2,0.07,1,0,0,1,0,0
Rajiv van La Parra,nl NED,FWMF,26.0,41,18,15,8,12,41,29.3,29,27,1,26,62,8,1,3.0,1.0,0,29,47,3,84,0,0,0,152,12,28,30.0,517,725,71.3,7433,1525,298,362,82.3,169,232,72.8,24,55,43.6,0,0.9,1.2,-0.9,14,20,15,6,43,33,2137.0,65.0,62.5,26,,10.0,7,,1,1.03,16.0,36.0,-20.0,-0.84,-0.14,18.3,28.5,-10.2,-0.43,0.06,3,42,14,33.3,1.77,0.59,0.05,0.14,21.6,0,1,1,3.1,2.3,0.05,-0.1,-0.3,49,2.06,31,0,8,4,6,0,0,0.0,0,0,0,0,0,0
Tommy Smith,eng ENG,DF,25.0,38,18,14,6,23,36,63.9,13,22,6,16,64,80,3,7.0,0.0,0,20,18,3,64,0,1,0,109,18,15,54.5,773,1118,69.1,12945,4931,374,431,86.8,315,445,70.8,70,189,37.0,1,1.8,1.8,-0.8,15,45,19,12,37,24,1904.0,79.0,55.7,21,,15.0,3,,12,0.96,15.0,31.0,-16.0,-0.76,0.07,15.5,27.6,-12.1,-0.57,-0.27,0,8,2,25.0,0.38,0.09,0.0,0.0,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,34,1.61,28,4,0,0,0,2,2,0.09,2,0,0,0,0,0
Steve MouniÃ©,bj BEN,FW,22.0,11,2,4,5,0,19,0.0,19,23,3,20,18,30,0,2.0,0.0,0,28,16,23,9,0,0,0,63,143,131,52.2,325,536,60.6,4180,756,205,309,66.3,76,147,51.7,13,18,72.2,1,1.8,0.7,-0.8,17,22,5,0,21,28,1855.0,66.0,54.2,21,,12.0,7,,6,0.96,14.0,32.0,-18.0,-0.87,-0.18,18.7,24.1,-5.4,-0.26,0.42,7,49,22,44.9,2.38,1.07,0.14,0.32,14.2,1,0,0,5.2,5.2,0.11,1.8,1.8,30,1.46,21,0,3,4,2,0,4,0.19,2,0,2,0,0,0
Florent Hadergjonaj,xk KVX,DFMF,23.0,21,7,10,4,12,30,40.0,18,22,10,12,38,45,0,3.0,0.0,0,17,11,4,98,0,0,0,94,13,22,37.1,595,927,64.2,10632,4759,283,335,84.5,224,352,63.6,75,191,39.3,1,1.5,1.4,-0.5,26,41,28,20,58,23,1674.0,73.0,48.9,19,,16.0,4,,10,0.96,13.0,28.0,-15.0,-0.81,-0.03,16.2,22.9,-6.7,-0.36,0.18,0,8,2,25.0,0.43,0.11,0.0,0.0,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,41,2.2,34,4,1,1,1,0,1,0.05,1,0,0,0,0,0
Chris LÃ¶we,de GER,DF,28.0,43,26,15,2,20,44,45.5,24,21,8,13,77,65,3,1.0,0.0,0,13,8,0,73,0,1,0,74,12,12,50.0,601,868,69.2,10650,4207,274,316,86.7,249,341,73.0,67,161,41.6,0,0.4,0.5,-0.4,5,46,8,5,35,23,1588.0,69.0,46.4,19,,10.0,4,,8,1.04,13.0,26.0,-13.0,-0.74,0.1,15.9,24.5,-8.7,-0.49,-0.07,0,8,2,25.0,0.45,0.11,0.0,0.0,25.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4,20,1.13,9,6,0,1,2,2,2,0.11,1,1,0,0,0,0
