Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Philip Billing,dk DEN,MF,21,16,764,48,22.3,8.5,8,,4,8,,4,1.00,7,11,-4,-0.47,+0.41,7.2,11.3,-4.1,-0.48,-0.04
Joel Coleman,eng ENG,GK,21,0,,,,,0,,0,0,,30,,,,,,,,,,,
Martin Cranie,eng ENG,DF,30,3,180,60,5.3,2.0,2,,1,1,,13,1.00,0,7,-7,-3.50,-2.86,1.3,4.8,-3.5,-1.75,-1.37
Laurent Depoitre,be BEL,FW,28,33,1820,55,53.2,20.2,18,,15,15,,2,0.82,14,34,-20,-0.99,-0.43,14.7,26.8,-12.0,-0.59,-0.30
Jon Gorenc StankoviÄ,si SVN,DFMF,21,0,,,,,0,,0,0,,3,,,,,,,,,,,
Robert Green,eng ENG,GK,37,0,,,,,0,,0,0,,8,,,,,,,,,,,
Florent Hadergjonaj,xk KVX,DFMF,23,23,1674,73,48.9,18.6,19,,16,4,,10,0.96,13,28,-15,-0.81,-0.03,16.2,22.9,-6.7,-0.36,+0.18
Michael Hefele,de GER,DF,26,2,33,17,1.0,0.4,0,,0,2,,9,1.50,0,1,-1,-2.73,-1.96,0.0,1.0,-1.0,-2.85,-2.42
Jonathan Hogg,eng ENG,MF,28,30,2398,80,70.1,26.6,29,,17,1,,2,0.97,20,39,-19,-0.71,+0.26,21.1,35.6,-14.5,-0.55,-0.31
Tom Ince,eng ENG,MFFW,25,33,2452,74,71.7,27.2,27,,17,6,,3,1.06,22,39,-17,-0.62,+0.58,24.4,29.3,-4.9,-0.18,+0.97
Mathias JÃ¸rgensen,dk DEN,DF,27,38,3420,90,100.0,38.0,38,,38,0,,0,0.97,28,58,-30,-0.79,,31.3,48.5,-17.2,-0.45,
Elias Kachunga,cd COD,FWMF,25,19,1329,70,38.9,14.8,17,,6,2,,1,1.11,12,23,-11,-0.74,+0.07,12.3,18.6,-6.3,-0.43,+0.04
Terence Kongolo,nl NED,DF,23,13,1049,81,30.7,11.7,11,,11,2,,1,0.92,7,14,-7,-0.60,+0.27,8.9,15.6,-6.7,-0.57,-0.17
Rajiv van La Parra,nl NED,FWMF,26,33,2137,65,62.5,23.7,26,,10,7,,1,1.03,16,36,-20,-0.84,-0.14,18.3,28.5,-10.2,-0.43,+0.06
Joe Lolley,eng ENG,FWMF,24,6,221,37,6.5,2.5,2,,0,4,,2,1.00,2,5,-3,-1.22,-0.46,1.5,2.2,-0.7,-0.28,+0.18
Jonas LÃ¶ssl,dk DEN,GK,28,38,3420,90,100.0,38.0,38,,38,0,,0,0.97,28,58,-30,-0.79,,31.3,48.5,-17.2,-0.45,
Chris LÃ¶we,de GER,DF,28,23,1588,69,46.4,17.6,19,,10,4,,8,1.04,13,26,-13,-0.74,+0.10,15.9,24.5,-8.7,-0.49,-0.07
Scott Malone,eng ENG,DF,26,22,1119,51,32.7,12.4,12,,6,10,,12,0.82,8,23,-15,-1.21,-0.62,9.5,14.0,-4.5,-0.36,+0.13
Aaron Mooy,au AUS,MF,26,36,3067,85,89.7,34.1,34,,29,2,,0,0.94,25,52,-27,-0.79,-0.03,28.0,43.6,-15.6,-0.46,-0.05
Steve MouniÃ©,bj BEN,FW,22,28,1855,66,54.2,20.6,21,,12,7,,6,0.96,14,32,-18,-0.87,-0.18,18.7,24.1,-5.4,-0.26,+0.42
Kasey Palmer,jm JAM,MFFW,20,4,170,43,5.0,1.9,1,,0,3,,0,1.75,2,2,0,0.00,+0.83,1.9,1.8,+0.1,+0.04,+0.52
Alex Pritchard,eng ENG,MFFW,24,14,998,71,29.2,11.1,12,,6,2,,2,0.93,8,12,-4,-0.36,+0.61,9.4,13.3,-3.9,-0.35,+0.14
Collin Quaner,de GER,FWMF,26,26,1280,49,37.4,14.2,13,,8,13,,5,1.08,13,23,-10,-0.70,+0.14,14.3,21.4,-7.1,-0.50,-0.08
Abdelhamid Sabiri,ma MAR,MF,20,5,220,44,6.4,2.4,2,,0,3,,8,0.40,1,5,-4,-1.64,-0.91,1.6,3.0,-1.4,-0.58,-0.14
Christopher Schindler,de GER,DF,27,37,3265,88,95.5,36.3,37,,35,0,,0,1.00,28,53,-25,-0.69,+2.21,30.1,46.6,-16.5,-0.45,-0.03
Tommy Smith,eng ENG,DF,25,24,1904,79,55.7,21.2,21,,15,3,,12,0.96,15,31,-16,-0.76,+0.07,15.5,27.6,-12.1,-0.57,-0.27
Dean Whitehead,eng ENG,MF,35,4,71,18,2.1,0.8,0,,0,4,,6,0.00,1,3,-2,-2.54,-1.78,1.0,1.4,-0.4,-0.51,-0.06
Danny Williams,us USA,MF,28,20,1124,56,32.9,12.5,11,,9,9,,6,1.15,10,22,-12,-0.96,-0.26,8.9,18.1,-9.1,-0.73,-0.41
Squad Total,,,26.4,38,3420,90,100,38.0,418,,,112,0,154,0.97,28,58,-30,-0.79,,31.3,48.5,-17.2,-0.45,
