Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Christopher Schindler,de GER,DF,28,36.2,1,13,3,23.1,0.36,0.08,0.08,0.33,11.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1
Terence Kongolo,nl NED,DF,24,30.2,1,14,4,28.6,0.46,0.13,0.07,0.25,14.9,0,0,0,1.3,1.3,0.09,-0.3,-0.3
Jonas LÃ¶ssl,dk DEN,GK,29,30.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jonathan Hogg,eng ENG,MF,29,26.3,0,8,1,12.5,0.30,0.04,0.00,0.00,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Alex Pritchard,eng ENG,MFFW,25,23.1,2,47,13,27.7,2.03,0.56,0.04,0.15,20.3,1,0,0,2.7,2.7,0.06,-0.7,-0.7
Aaron Mooy,au AUS,MFFW,27,25.9,3,42,13,31.0,1.62,0.50,0.05,0.15,23.3,8,1,1,2.8,2.1,0.05,+0.2,-0.1
Philip Billing,dk DEN,MF,22,24.3,2,42,9,21.4,1.73,0.37,0.05,0.22,23.7,3,0,0,1.8,1.8,0.04,+0.2,+0.2
Mathias JÃ¸rgensen,dk DEN,DF,28,23.9,3,8,4,50.0,0.34,0.17,0.38,0.75,13.6,0,0,0,1.4,1.4,0.18,+1.6,+1.6
Chris LÃ¶we,de GER,DFMF,29,22.9,0,18,6,33.3,0.79,0.26,0.00,0.00,24.2,1,0,0,0.6,0.6,0.04,-0.6,-0.6
Erik Durm,de GER,DF,26,22.8,0,10,0,0.0,0.44,0.00,0.00,,21.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Florent Hadergjonaj,xk KVX,DFMF,24,20.5,0,6,2,33.3,0.29,0.10,0.00,0.00,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Steve MouniÃ©,bj BEN,FW,23,19.8,2,61,23,37.7,3.09,1.16,0.03,0.09,14.8,0,0,0,5.8,5.8,0.10,-3.8,-3.8
Juninho Bacuna,cw CUW,MFDF,20,15.7,1,19,8,42.1,1.21,0.51,0.05,0.13,27.0,2,0,0,0.7,0.7,0.04,+0.3,+0.3
Elias Kachunga,cd COD,FWMF,26,13.1,0,14,3,21.4,1.07,0.23,0.00,0.00,15.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Tommy Smith,eng ENG,DF,26,12.7,0,3,0,0.0,0.24,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Laurent Depoitre,be BEL,FW,29,11.9,0,30,6,20.0,2.53,0.51,0.00,0.00,12.9,0,0,0,2.5,2.5,0.08,-2.5,-2.5
Isaac Mbenza,be BEL,FWMF,22,11.0,1,16,5,31.3,1.46,0.46,0.06,0.20,22.4,0,0,0,1.0,1.0,0.06,0.0,0.0
Karlan Grant,eng ENG,FW,20,9.7,4,21,11,52.4,2.16,1.13,0.19,0.36,15.8,0,0,0,3.6,3.6,0.17,+0.4,+0.4
Jon Gorenc StankoviÄ,si SVN,MFDF,22,7.9,1,9,2,22.2,1.13,0.25,0.11,0.50,16.2,0,0,0,1.0,1.0,0.11,0.0,0.0
Ben Hamer,eng ENG,GK,30,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Adama Diakhaby,fr FRA,FWMF,22,6.1,0,7,3,42.9,1.14,0.49,0.00,0.00,19.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Rajiv van La Parra,nl NED,FWMF,27,4.5,0,5,0,0.0,1.11,0.00,0.00,,22.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Jason Puncheon,eng ENG,MF,32,4.2,0,6,0,0.0,1.41,0.00,0.00,,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Danny Williams,us USA,MF,29,1.1,0,1,0,0.0,0.94,0.00,0.00,,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Joel Coleman,eng ENG,GK,22,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aaron Rowe,eng ENG,FW,17,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdelhamid Sabiri,ma MAR,FW,21,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Demeaco Duhaney,eng ENG,DF,19,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ramadan Sobhi,eg EGY,FWMF,21,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matty Daly,eng ENG,MF,17,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Collin Quaner,de GER,FW,27,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26.2,38.0,21,400,116,29.0,10.53,3.05,0.05,0.17,19.1,15,1,1,28.8,28.0,0.07,-7.8,-8.0
