Player,Nation,Pos,Age,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Mathias JÃ¸rgensen,dk DEN,DF,27,38.0,19,0.50,16,1,0,0,0,2,4,0.11,4,0,0,0,0,0
Jonas LÃ¶ssl,dk DEN,GK,28,38.0,8,0.21,5,3,0,0,0,0,2,0.05,1,1,0,0,0,0
Christopher Schindler,de GER,DF,27,36.3,16,0.44,13,0,0,1,0,2,1,0.03,1,0,0,0,0,0
Aaron Mooy,au AUS,MF,26,34.1,89,2.61,66,20,0,1,0,2,7,0.21,5,2,0,0,0,0
Jonathan Hogg,eng ENG,MF,28,26.6,37,1.39,31,0,1,1,3,1,1,0.04,0,0,0,0,1,0
Tom Ince,eng ENG,MFFW,25,27.2,66,2.42,41,5,5,9,5,1,2,0.07,1,0,0,1,0,0
Rajiv van La Parra,nl NED,FWMF,26,23.7,49,2.06,31,0,8,4,6,0,0,0.00,0,0,0,0,0,0
Tommy Smith,eng ENG,DF,25,21.2,34,1.61,28,4,0,0,0,2,2,0.09,2,0,0,0,0,0
Steve MouniÃ©,bj BEN,FW,22,20.6,30,1.46,21,0,3,4,2,0,4,0.19,2,0,2,0,0,0
Florent Hadergjonaj,xk KVX,DFMF,23,18.6,41,2.20,34,4,1,1,1,0,1,0.05,1,0,0,0,0,0
Chris LÃ¶we,de GER,DF,28,17.6,20,1.13,9,6,0,1,2,2,2,0.11,1,1,0,0,0,0
Laurent Depoitre,be BEL,FW,28,20.2,32,1.58,22,0,3,3,3,1,6,0.30,2,0,2,1,1,0
Elias Kachunga,cd COD,FWMF,25,14.8,29,1.96,23,0,3,0,3,0,1,0.07,1,0,0,0,0,0
Collin Quaner,de GER,FWMF,26,14.2,39,2.74,27,1,5,3,3,0,5,0.35,4,0,0,1,0,0
Scott Malone,eng ENG,DF,26,12.4,23,1.85,19,1,1,1,0,1,1,0.08,1,0,0,0,0,0
Alex Pritchard,eng ENG,MFFW,24,11.1,38,3.43,22,6,3,3,4,0,3,0.27,1,0,1,0,1,0
Danny Williams,us USA,MF,28,12.5,12,0.96,9,0,0,1,1,1,1,0.08,1,0,0,0,0,0
Terence Kongolo,nl NED,DF,23,11.7,12,1.03,8,0,1,1,2,0,0,0.00,0,0,0,0,0,0
Philip Billing,dk DEN,MF,21,8.5,7,0.82,5,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Joe Lolley,eng ENG,FWMF,24,2.5,6,2.44,4,0,2,0,0,0,1,0.41,0,0,1,0,0,0
Abdelhamid Sabiri,ma MAR,MF,20,2.4,8,3.27,7,0,0,0,1,0,1,0.41,1,0,0,0,0,0
Martin Cranie,eng ENG,DF,30,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kasey Palmer,jm JAM,MFFW,20,1.9,5,2.65,2,1,1,1,0,0,0,0.00,0,0,0,0,0,0
Dean Whitehead,eng ENG,MF,35,0.8,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Hefele,de GER,DF,26,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Squad Total,,,26.4,38.0,621,16.34,444,52,38,35,36,16,45,1.18,29,4,6,3,3,0
