Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Stuart Dallas,nir NIR,MFDF,29.0,74,46,22,6,30,88,34.1,58,41,3,38,118,52,1,7,0,0,40,51,0,82,0,0,0,256,32,40,44.4,1830,2235,81.9,27976,8737,1011,1113,90.8,654,783,83.5,109,206,52.9,2,1.8,2.2,0.2,26,154,38,8,143,38,3409.0,90.0,99.7,38,90.0,36.0,0,,0,1.55,62.0,53.0,9.0,0.24,8.42,55.0,56.7,-1.8,-0.05,3.72,8,48,18,37.5,1.27,0.48,0.17,0.44,20.5,0,0,0,4.2,4.2,0.09,3.8,3.8,89,2.35,75,3,4,4,1,2,7,0.18,7,0,0,0,0,0
Luke Ayling,eng ENG,DF,28.0,108,69,30,9,49,87,56.3,38,53,36,17,144,96,5,7,0,0,29,54,2,82,0,1,0,279,65,65,50.0,2161,2770,78.0,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55.0,0,3.2,3.2,-3.2,27,179,32,12,156,38,3399.0,89.0,99.4,38,89.0,37.0,0,,0,1.55,62.0,54.0,8.0,0.21,0.21,54.9,57.4,-2.4,-0.06,-0.92,0,24,6,25.0,0.64,0.16,0.0,0.0,18.7,0,0,0,1.7,1.7,0.07,-1.7,-1.7,52,1.38,43,2,3,1,3,0,4,0.11,4,0,0,0,0,0
Patrick Bamford,eng ENG,FW,26.0,21,2,11,8,8,27,29.6,19,14,4,10,31,37,0,3,0,0,36,23,18,3,3,0,0,59,47,73,39.2,394,516,76.4,4378,832,238,290,82.1,85,111,76.6,6,10,60.0,7,3.5,1.7,3.5,30,18,11,1,25,38,3050.0,80.0,89.2,37,81.0,24.0,1,45.0,0,1.55,51.0,50.0,1.0,0.03,-1.67,50.4,50.7,-0.3,-0.01,0.47,17,105,46,43.8,3.1,1.36,0.14,0.33,13.2,0,2,2,18.2,16.6,0.16,-1.2,-1.6,65,1.92,46,0,5,10,4,0,16,0.47,9,0,2,2,3,0
Jack Harrison,eng ENG,MFFW,23.0,63,20,30,13,26,59,44.1,33,30,2,28,78,21,0,2,0,0,28,23,12,167,0,0,0,153,26,40,39.4,778,1182,65.8,11941,3703,424,517,82.0,262,377,69.5,57,148,38.5,8,6.5,5.0,1.5,59,48,52,12,91,36,2847.0,79.0,83.2,34,82.0,22.0,2,36.0,0,1.53,54.0,45.0,9.0,0.28,0.44,48.0,46.7,1.2,0.04,0.58,8,45,19,42.2,1.42,0.6,0.18,0.42,15.6,1,0,0,5.8,5.8,0.13,2.2,2.2,117,3.7,96,8,5,7,1,0,15,0.47,12,1,2,0,0,0
Ezgjan Alioski,mk MKD,DFMF,28.0,74,38,28,8,32,74,43.2,42,17,2,15,97,50,2,7,0,0,39,44,6,62,0,2,0,146,39,44,47.0,1321,1670,79.1,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,3,3.3,2.3,-0.3,28,87,29,12,93,36,2461.0,68.0,72.0,29,79.0,19.0,7,22.0,2,1.64,47.0,35.0,12.0,0.44,0.81,45.0,41.3,3.7,0.13,0.69,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0,0,0,1.6,1.6,0.06,0.4,0.4,71,2.6,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0
Kalvin Phillips,eng ENG,MF,24.0,74,38,29,7,26,62,41.9,36,49,14,35,119,53,3,10,0,0,46,31,0,77,0,0,0,214,30,34,46.9,1222,1490,82.0,25451,6915,394,444,88.7,583,661,88.2,220,321,68.5,2,3.4,3.0,-1.4,35,114,18,3,88,29,2428.0,84.0,71.0,28,87.0,25.0,1,1.0,0,1.83,46.0,34.0,12.0,0.44,0.81,39.3,40.4,-1.1,-0.04,0.06,1,15,5,33.3,0.56,0.19,0.07,0.2,27.5,3,0,0,0.5,0.5,0.04,0.5,0.5,70,2.59,41,21,2,2,1,3,2,0.07,2,0,0,0,0,0
Mateusz Klich,pl POL,MF,30.0,38,14,20,4,14,61,23.0,47,13,4,9,49,16,0,6,0,0,46,20,6,63,0,1,0,163,13,18,41.9,1228,1545,79.5,18574,4943,621,720,86.3,424,508,83.5,94,163,57.7,5,3.4,3.1,1.6,44,105,40,4,134,35,2393.0,68.0,70.0,28,79.0,15.0,7,25.0,1,1.43,41.0,44.0,-3.0,-0.11,-1.08,38.2,41.5,-3.3,-0.13,-0.22,4,34,9,26.5,1.28,0.34,0.06,0.22,22.9,0,2,2,3.0,1.4,0.04,1.0,0.6,107,4.02,92,6,1,6,2,0,15,0.56,13,1,1,0,0,0
Raphinha,br BRA,MFFW,23.0,34,13,16,5,12,58,20.7,46,31,1,30,63,27,0,3,0,0,13,31,14,165,0,0,0,117,9,36,20.0,687,1064,64.6,11676,4332,347,413,84.0,218,336,64.9,88,204,43.1,9,7.9,6.8,1.1,64,79,40,7,100,30,2360.0,79.0,69.0,26,87.0,19.0,4,24.0,0,1.67,44.0,34.0,10.0,0.38,0.55,37.9,40.1,-2.3,-0.09,-0.09,6,67,24,35.8,2.56,0.92,0.09,0.25,17.2,4,0,0,5.7,5.7,0.09,0.3,0.3,120,4.58,68,26,14,7,4,1,15,0.57,8,3,2,2,0,0
Liam Cooper,sct SCO,DF,28.0,68,39,27,2,37,59,62.7,22,39,32,7,129,70,1,4,1,0,23,27,1,0,0,0,0,156,94,61,60.6,1415,1662,85.1,28083,9126,404,441,91.6,862,921,93.6,133,248,53.6,0,0.0,0.7,0.0,0,63,3,0,66,25,2185.0,87.0,63.9,25,87.0,23.0,0,,1,1.52,38.0,40.0,-2.0,-0.08,-0.81,37.8,36.6,1.2,0.05,0.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8,17,0.7,13,0,0,3,0,1,2,0.08,2,0,0,0,0,0
Pascal Struijk,nl NED,DFMF,20.0,49,28,19,2,17,28,60.7,11,35,21,14,96,92,0,3,0,0,26,7,0,1,0,1,0,129,46,48,48.9,1118,1301,85.9,21896,7066,343,390,87.9,653,700,93.3,106,176,60.2,0,0.1,0.3,-0.1,4,53,2,1,53,27,2075.0,77.0,60.7,22,83.0,18.0,5,48.0,10,1.56,38.0,32.0,6.0,0.26,0.13,29.5,33.5,-4.0,-0.17,-0.29,1,14,4,28.6,0.61,0.17,0.07,0.25,9.8,0,0,0,1.7,1.7,0.12,-0.7,-0.7,15,0.65,14,0,0,1,0,0,2,0.09,2,0,0,0,0,0
Tyler Roberts,wls WAL,MFFW,21.0,15,1,11,3,5,22,22.7,17,17,2,15,24,12,0,3,0,0,23,32,8,12,0,0,0,57,19,23,45.2,334,478,69.9,4621,1109,191,233,82.0,92,123,74.8,20,46,43.5,2,2.3,1.1,-0.3,16,29,17,1,33,27,1340.0,50.0,39.2,14,73.0,3.0,13,24.0,10,1.48,20.0,19.0,1.0,0.07,-0.24,20.4,22.8,-2.4,-0.16,-0.17,1,26,12,46.2,1.75,0.81,0.04,0.08,19.4,0,0,0,1.8,1.8,0.07,-0.8,-0.8,39,2.62,29,0,3,1,6,0,2,0.13,2,0,0,0,0,0
Rodrigo,es ESP,MFFW,29.0,14,8,3,3,4,22,18.2,18,7,0,7,19,16,0,3,0,0,19,9,3,22,0,1,0,64,23,33,41.1,437,586,74.6,6744,1713,232,276,84.1,136,180,75.6,42,64,65.6,2,3.5,2.7,-1.5,31,42,21,3,57,26,1288.0,50.0,37.7,14,68.0,4.0,12,28.0,0,1.73,29.0,21.0,8.0,0.56,0.56,22.5,23.4,-0.8,-0.06,0.0,7,46,18,39.1,3.21,1.26,0.15,0.39,16.4,1,0,0,5.1,5.1,0.11,1.9,1.9,68,4.75,52,0,4,8,2,2,8,0.56,4,0,1,3,0,0
Diego Llorente,es ESP,DF,26.0,34,21,13,0,19,32,59.4,13,18,13,5,54,40,2,1,0,0,15,9,0,2,0,0,0,103,33,24,57.9,598,721,82.9,11725,3380,170,196,86.7,368,412,89.3,52,90,57.8,0,0.5,0.3,-0.5,4,21,2,0,17,15,1204.0,80.0,35.2,14,80.0,11.0,1,82.0,3,1.8,17.0,12.0,5.0,0.37,0.25,15.6,20.9,-5.4,-0.4,-0.53,1,8,3,37.5,0.6,0.22,0.13,0.33,17.4,0,0,0,0.8,0.8,0.1,0.2,0.2,7,0.52,6,0,0,1,0,0,1,0.07,1,0,0,0,0,0
HÃ©lder Costa,ao ANG,MFFW,26.0,25,12,5,8,11,32,34.4,21,11,0,11,28,5,1,0,0,0,20,18,3,21,0,0,1,66,4,23,14.8,242,331,73.1,3063,741,152,178,85.4,68,88,77.3,5,21,23.8,3,0.6,0.6,2.4,8,4,10,2,19,22,1156.0,53.0,33.8,13,74.0,5.0,9,22.0,10,1.27,21.0,23.0,-2.0,-0.16,-0.55,16.4,19.6,-3.3,-0.25,-0.29,3,16,6,37.5,1.25,0.47,0.19,0.5,14.8,0,0,0,2.2,2.2,0.14,0.8,0.8,19,1.48,14,0,2,1,2,0,6,0.47,5,0,0,0,1,0
Robin Koch,de GER,DFMF,24.0,27,17,10,0,10,19,52.6,9,18,12,6,54,34,2,1,0,0,17,8,0,1,0,2,0,76,37,29,56.1,664,773,85.9,13042,4385,191,218,87.6,398,428,93.0,64,104,61.5,0,0.1,0.1,-0.1,4,35,3,0,35,17,1132.0,67.0,33.1,13,84.0,12.0,4,11.0,2,1.59,20.0,21.0,-1.0,-0.08,-0.43,20.3,18.9,1.4,0.11,0.25,0,9,1,11.1,0.72,0.08,0.0,0.0,12.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,11,0.87,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0
Jamie Shackleton,eng ENG,MFDF,20.0,10,6,4,0,4,11,36.4,7,3,1,2,19,3,0,0,0,0,3,2,1,2,0,0,0,25,0,6,0.0,191,214,89.3,2655,586,115,124,92.7,66,69,95.7,5,8,62.5,0,0.1,0.3,-0.1,2,10,0,0,6,13,461.0,35.0,13.5,3,67.0,1.0,10,26.0,18,1.38,7.0,11.0,-4.0,-0.78,-1.15,7.8,10.1,-2.3,-0.45,-0.45,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,8,1.56,8,0,0,0,0,0,1,0.2,1,0,0,0,0,0
Pablo HernÃ¡ndez,es ESP,MF,35.0,5,2,1,2,5,16,31.3,11,2,0,2,5,0,1,1,0,0,1,6,0,13,0,0,0,35,0,2,0.0,299,403,74.2,5225,1877,142,165,86.1,106,134,79.1,35,57,61.4,2,0.7,0.5,1.3,6,55,19,0,51,16,427.0,27.0,12.5,3,65.0,0.0,13,18.0,10,1.19,11.0,6.0,5.0,1.05,0.96,7.0,5.2,1.7,0.36,0.48,0,15,3,20.0,3.16,0.63,0.0,0.0,19.0,0,0,0,1.1,1.1,0.07,-1.1,-1.1,29,6.13,21,0,1,5,1,1,4,0.85,3,0,0,0,1,0
Gaetano Berardi,ch SUI,DF,31.0,2,1,0,1,0,0,,0,2,1,1,3,2,0,0,0,0,1,0,0,1,0,0,0,7,4,3,57.1,50,63,79.4,785,388,24,27,88.9,23,28,82.1,2,5,40.0,0,0.0,0.0,0.0,0,2,1,0,2,2,113.0,57.0,3.3,1,68.0,0.0,1,45.0,9,3.0,4.0,0.0,4.0,3.19,3.08,2.7,1.4,1.3,1.06,1.16,0,1,0,0.0,0.8,0.0,0.0,,8.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,1,0.8,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Ian Carlo Poveda,eng ENG,MF,20.0,5,3,0,2,1,7,14.3,6,5,1,4,6,2,0,0,0,0,5,6,2,9,0,0,0,19,0,1,0.0,86,120,71.7,1151,341,52,61,85.2,20,32,62.5,5,9,55.6,0,1.1,0.6,-1.1,5,10,10,2,13,14,355.0,25.0,10.4,0,,0.0,14,25.0,18,1.14,4.0,5.0,-1.0,-0.25,-0.52,6.3,8.2,-1.9,-0.48,-0.47,0,5,3,60.0,1.27,0.76,0.0,0.0,17.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,9,2.28,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Niall Huggins,wls WAL,DF,19.0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,,16,19,84.2,204,55,11,11,100.0,4,5,80.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,38.0,38.0,1.1,0,,0.0,1,38.0,8,0.0,2.0,0.0,2.0,4.74,4.58,0.7,0.1,0.6,1.32,1.39,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leif Davis,eng ENG,DF,20.0,0,0,0,0,0,3,0.0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0.0,17,19,89.5,336,162,6,6,100.0,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,0,0,1,0,1,2,33.0,17.0,1.0,0,,0.0,2,17.0,23,0.5,1.0,0.0,1.0,2.73,2.54,0.8,1.5,-0.8,-2.11,-2.07,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,2.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.1,740,378,279,83,310,769,40.3,459,406,149,257,1137,646,26,61,1,0,432,410,76,786,3,9,2,2160,538,605,47.1,16284,20629,78.9,286488,99271,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1183,38,3420.0,90.0,100.0,418,83.0,312.0,107,25.0,209,1.55,62.0,54.0,8.0,0.21,,55.6,57.9,-2.2,-0.06,,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0
