Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Interceptions,TklWon,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%
Stuart Dallas,nir NIR,MFDF,29,37.9,7,0,0,40,51,0,82,44,45,0,0,0,256,32,40,44.4
Luke Ayling,eng ENG,DF,28,37.8,7,0,0,29,54,2,82,36,61,0,1,0,279,65,65,50.0
Patrick Bamford,eng ENG,FW,26,33.9,3,0,0,36,23,18,3,10,9,3,0,0,59,47,73,39.2
Illan Meslier,fr FRA,GK,20,35.0,0,0,0,1,9,0,0,0,0,0,1,1,22,15,1,93.8
Jack Harrison,eng ENG,MFFW,23,31.6,2,0,0,28,23,12,167,15,38,0,0,0,153,26,40,39.4
Ezgjan Alioski,mk MKD,DFMF,28,27.3,7,0,0,39,44,6,62,23,31,0,2,0,146,39,44,47.0
Kalvin Phillips,eng ENG,MF,24,27.0,10,0,0,46,31,0,77,45,38,0,0,0,214,30,34,46.9
Mateusz Klich,pl POL,MF,30,26.6,6,0,0,46,20,6,63,11,20,0,1,0,163,13,18,41.9
Raphinha,br BRA,MFFW,23,26.2,3,0,0,13,31,14,165,29,17,0,0,0,117,9,36,20.0
Liam Cooper,sct SCO,DF,28,24.3,4,1,0,23,27,1,0,61,45,0,0,0,156,94,61,60.6
Pascal Struijk,nl NED,DFMF,20,23.1,3,0,0,26,7,0,1,47,30,0,1,0,129,46,48,48.9
Tyler Roberts,wls WAL,MFFW,21,14.9,3,0,0,23,32,8,12,9,13,0,0,0,57,19,23,45.2
Rodrigo,es ESP,MFFW,29,14.3,3,0,0,19,9,3,22,5,7,0,1,0,64,23,33,41.1
Diego Llorente,es ESP,DF,26,13.4,1,0,0,15,9,0,2,20,21,0,0,0,103,33,24,57.9
HÃ©lder Costa,ao ANG,MFFW,26,12.8,0,0,0,20,18,3,21,3,11,0,0,1,66,4,23,14.8
Robin Koch,de GER,DFMF,24,12.6,1,0,0,17,8,0,1,27,16,0,2,0,76,37,29,56.1
Jamie Shackleton,eng ENG,MFDF,20,5.1,0,0,0,3,2,1,2,9,6,0,0,0,25,0,6,0.0
Pablo HernÃ¡ndez,es ESP,MF,35,4.7,1,0,0,1,6,0,13,0,3,0,0,0,35,0,2,0.0
Kiko Casilla,es ESP,GK,33,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,100.0
Gaetano Berardi,ch SUI,DF,31,1.3,0,0,0,1,0,0,1,1,2,0,0,0,7,4,3,57.1
Ian Carlo Poveda,eng ENG,MF,20,3.9,0,0,0,5,6,2,9,1,4,0,0,0,19,0,1,0.0
Niall Huggins,wls WAL,DF,19,0.4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
Leif Davis,eng ENG,DF,20,0.4,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0
Squad Total,,,26.1,38.0,61,1,0,432,410,76,786,397,417,3,9,2,2160,538,605,47.1
