Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Stuart Dallas,nir NIR,MFDF,29,37.9,1830,2235,81.9,27976,8737,1011,1113,90.8,654,783,83.5,109,206,52.9,2,1.8,2.2,+0.2,26,154,38,8,143
Luke Ayling,eng ENG,DF,28,37.8,2161,2770,78.0,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55.0,0,3.2,3.2,-3.2,27,179,32,12,156
Patrick Bamford,eng ENG,FW,26,33.9,394,516,76.4,4378,832,238,290,82.1,85,111,76.6,6,10,60.0,7,3.5,1.7,+3.5,30,18,11,1,25
Illan Meslier,fr FRA,GK,20,35.0,1109,1369,81.0,25470,14382,262,266,98.5,579,590,98.1,264,506,52.2,0,0.0,0.0,0.0,1,2,0,0,0
Jack Harrison,eng ENG,MFFW,23,31.6,778,1182,65.8,11941,3703,424,517,82.0,262,377,69.5,57,148,38.5,8,6.5,5.0,+1.5,59,48,52,12,91
Ezgjan Alioski,mk MKD,DFMF,28,27.3,1321,1670,79.1,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,3,3.3,2.3,-0.3,28,87,29,12,93
Kalvin Phillips,eng ENG,MF,24,27.0,1222,1490,82.0,25451,6915,394,444,88.7,583,661,88.2,220,321,68.5,2,3.4,3.0,-1.4,35,114,18,3,88
Mateusz Klich,pl POL,MF,30,26.6,1228,1545,79.5,18574,4943,621,720,86.3,424,508,83.5,94,163,57.7,5,3.4,3.1,+1.6,44,105,40,4,134
Raphinha,br BRA,MFFW,23,26.2,687,1064,64.6,11676,4332,347,413,84.0,218,336,64.9,88,204,43.1,9,7.9,6.8,+1.1,64,79,40,7,100
Liam Cooper,sct SCO,DF,28,24.3,1415,1662,85.1,28083,9126,404,441,91.6,862,921,93.6,133,248,53.6,0,0.0,0.7,0.0,0,63,3,0,66
Pascal Struijk,nl NED,DFMF,20,23.1,1118,1301,85.9,21896,7066,343,390,87.9,653,700,93.3,106,176,60.2,0,0.1,0.3,-0.1,4,53,2,1,53
Tyler Roberts,wls WAL,MFFW,21,14.9,334,478,69.9,4621,1109,191,233,82.0,92,123,74.8,20,46,43.5,2,2.3,1.1,-0.3,16,29,17,1,33
Rodrigo,es ESP,MFFW,29,14.3,437,586,74.6,6744,1713,232,276,84.1,136,180,75.6,42,64,65.6,2,3.5,2.7,-1.5,31,42,21,3,57
Diego Llorente,es ESP,DF,26,13.4,598,721,82.9,11725,3380,170,196,86.7,368,412,89.3,52,90,57.8,0,0.5,0.3,-0.5,4,21,2,0,17
HÃ©lder Costa,ao ANG,MFFW,26,12.8,242,331,73.1,3063,741,152,178,85.4,68,88,77.3,5,21,23.8,3,0.6,0.6,+2.4,8,4,10,2,19
Robin Koch,de GER,DFMF,24,12.6,664,773,85.9,13042,4385,191,218,87.6,398,428,93.0,64,104,61.5,0,0.1,0.1,-0.1,4,35,3,0,35
Jamie Shackleton,eng ENG,MFDF,20,5.1,191,214,89.3,2655,586,115,124,92.7,66,69,95.7,5,8,62.5,0,0.1,0.3,-0.1,2,10,0,0,6
Pablo HernÃ¡ndez,es ESP,MF,35,4.7,299,403,74.2,5225,1877,142,165,86.1,106,134,79.1,35,57,61.4,2,0.7,0.5,+1.3,6,55,19,0,51
Kiko Casilla,es ESP,GK,33,3.0,87,98,88.8,1824,1175,27,27,100.0,43,45,95.6,16,25,64.0,0,0.0,0.0,0.0,0,0,0,0,0
Gaetano Berardi,ch SUI,DF,31,1.3,50,63,79.4,785,388,24,27,88.9,23,28,82.1,2,5,40.0,0,0.0,0.0,0.0,0,2,1,0,2
Ian Carlo Poveda,eng ENG,MF,20,3.9,86,120,71.7,1151,341,52,61,85.2,20,32,62.5,5,9,55.6,0,1.1,0.6,-1.1,5,10,10,2,13
Niall Huggins,wls WAL,DF,19,0.4,16,19,84.2,204,55,11,11,100.0,4,5,80.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Leif Davis,eng ENG,DF,20,0.4,17,19,89.5,336,162,6,6,100.0,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,0,0,1,0,1
Squad Total,,,26.1,38.0,16284,20629,78.9,286488,99271,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,+3.1,394,1110,349,68,1183
