Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
Illan Meslier,fr FRA,GK,21,38,3384,89,98.9,37.6,38,89,37,0,,0,1.00,39,79,-40,-1.06,-8.56,48.8,72.9,-24.1,-0.64,-4.03
Stuart Dallas,nir NIR,DFMF,30,34,2919,86,85.4,32.4,34,86,31,0,,0,1.00,38,66,-28,-0.86,+0.75,44.6,61.1,-16.5,-0.51,+0.62
Raphinha,br BRA,FWMF,24,35,2915,83,85.2,32.4,34,84,26,1,45,0,1.00,34,68,-34,-1.05,-0.52,42.6,62.4,-19.8,-0.61,-0.08
Jack Harrison,eng ENG,FWMF,24,35,2639,75,77.2,29.3,32,77,20,3,55,2,0.89,31,68,-37,-1.26,-1.26,35.5,59.9,-24.4,-0.83,-1.02
Daniel James,wls WAL,FWMF,23,32,2366,74,69.2,26.3,29,78,18,3,33,0,1.00,31,48,-17,-0.65,+1.06,36.9,47.4,-10.5,-0.40,+0.65
Diego Llorente,es ESP,DF,27,28,2340,84,68.4,26.0,28,84,24,0,,2,1.18,27,44,-17,-0.65,+1.01,32.9,45.5,-12.6,-0.49,+0.36
Rodrigo,es ESP,MFFW,30,31,2265,73,66.2,25.2,27,78,16,4,37,2,1.06,25,37,-12,-0.48,+1.47,32.7,45.0,-12.3,-0.49,+0.33
Luke Ayling,eng ENG,DF,29,26,2272,87,66.4,25.2,26,87,23,0,,0,0.85,30,66,-36,-1.43,-1.35,33.7,53.7,-20.0,-0.79,-0.57
Mateusz Klich,pl POL,MF,31,33,2073,63,60.6,23.0,26,71,7,7,33,4,0.97,24,52,-28,-1.22,-0.61,31.7,46.2,-14.6,-0.63,-0.08
Pascal Struijk,nl NED,DFMF,21,29,2055,71,60.1,22.8,22,86,20,7,24,2,1.00,25,52,-27,-1.18,-0.52,29.3,41.5,-12.2,-0.54,+0.16
Liam Cooper,sct SCO,DF,29,21,1814,86,53.0,20.2,21,86,20,0,,1,1.19,20,26,-6,-0.30,+1.44,25.3,34.6,-9.3,-0.46,+0.29
Junior Firpo,es ESP,DFMF,24,24,1711,71,50.0,19.0,19,78,11,5,47,1,0.83,18,49,-31,-1.63,-1.31,23.5,40.4,-17.0,-0.89,-0.59
Kalvin Phillips,eng ENG,MF,25,20,1596,80,46.7,17.7,18,86,16,2,29,3,1.20,18,25,-7,-0.39,+1.09,23.1,31.2,-8.1,-0.46,+0.27
Robin Koch,de GER,MFDF,25,20,1574,79,46.0,17.5,17,85,15,3,42,1,1.05,21,40,-19,-1.09,-0.21,23.1,32.8,-9.7,-0.56,+0.08
Adam Forshaw,eng ENG,MF,29,22,1530,70,44.7,17.0,17,83,13,5,23,4,1.05,20,41,-21,-1.24,-0.47,23.1,33.9,-10.9,-0.64,-0.07
Tyler Roberts,wls WAL,MFFW,22,23,987,43,28.9,11.0,7,84,4,16,25,4,0.83,10,26,-16,-1.46,-0.68,13.8,23.0,-9.2,-0.83,-0.33
Jamie Shackleton,eng ENG,DFMF,21,14,709,51,20.7,7.9,7,75,3,7,26,14,0.86,9,14,-5,-0.63,+0.43,11.6,13.5,-1.9,-0.24,+0.45
Patrick Bamford,eng ENG,FW,27,9,559,62,16.3,6.2,7,72,4,2,28,1,1.11,7,14,-7,-1.13,-0.18,8.3,12.9,-4.6,-0.74,-0.17
Joe Gelhardt,eng ENG,FWMF,19,20,746,37,21.8,8.3,5,73,2,15,25,11,0.65,11,25,-14,-1.69,-0.91,13.6,20.6,-7.0,-0.85,-0.32
