Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Martin DÃºbravka,sk SVK,GK,29,38.0,691,1175,58.8,24354,18974,73,73,100.0,274,279,98.2,342,817,41.9,0,0.0,0.1,0.0,0,12,0,0,0
Matt Ritchie,sct SCO,DFMF,28,32.5,1034,1586,65.2,17181,6715,549,639,85.9,293,442,66.3,133,337,39.5,8,5.3,3.7,+2.7,60,57,43,32,61
Ayoze PÃ©rez,es ESP,MFFW,25,32.4,594,805,73.8,7784,2082,323,392,82.4,149,198,75.3,37,63,58.7,2,3.6,2.6,-1.6,45,46,25,3,59
Jamaal Lascelles,eng ENG,DF,24,30.5,848,1111,76.3,16809,5917,275,333,82.6,440,533,82.6,114,189,60.3,1,0.9,0.5,+0.1,3,33,0,0,45
SalomÃ³n RondÃ³n,ve VEN,FW,28,28.9,521,756,68.9,6010,1323,334,441,75.7,99,155,63.9,16,28,57.1,7,3.0,2.9,+4.0,32,40,17,3,40
DeAndre Yedlin,us USA,DF,25,27.5,768,1094,70.2,10938,4968,435,512,85.0,249,370,67.3,37,108,34.3,2,2.0,2.0,0.0,28,43,27,15,53
Mohamed DiamÃ©,sn SEN,MF,31,24.1,569,749,76.0,9103,2289,288,347,83.0,180,219,82.2,60,111,54.1,0,0.1,0.3,-0.1,2,44,8,1,39
Fabian SchÃ¤r,ch SUI,DF,26,22.2,687,1025,67.0,15961,6759,223,268,83.2,287,354,81.1,167,360,46.4,1,0.7,0.5,+0.3,11,80,9,2,65
Paul Dummett,wls WAL,DF,26,22.1,625,903,69.2,10657,5191,302,363,83.2,234,333,70.3,64,157,40.8,0,0.7,0.9,-0.7,4,53,14,6,49
Isaac Hayden,eng ENG,MF,23,20.7,586,749,78.2,8474,1873,329,384,85.7,171,213,80.3,41,66,62.1,4,2.3,1.7,+1.7,22,44,7,2,38
Federico FernÃ¡ndez,ar ARG,DF,29,16.5,484,620,78.1,10496,4014,141,162,87.0,237,267,88.8,98,171,57.3,1,0.5,0.4,+0.5,5,28,3,2,36
Christian Atsu,gh GHA,MF,26,16.6,328,435,75.4,4232,941,180,199,90.5,76,121,62.8,21,35,60.0,0,1.6,0.9,-1.6,18,17,16,7,20
Kenedy,br BRA,MFDF,22,15.0,374,533,70.2,5558,1760,213,250,85.2,105,152,69.1,31,62,50.0,1,0.7,0.9,+0.3,11,32,13,7,32
Ki Sung-yueng,kr KOR,MF,29,14.5,523,654,80.0,9874,2693,223,251,88.8,182,208,87.5,92,150,61.3,1,1.0,1.0,0.0,16,48,8,0,42
Javier Manquillo,es ESP,DF,24,12.2,340,506,67.2,4844,2114,187,235,79.6,97,159,61.0,24,59,40.7,3,0.7,0.4,+2.3,9,25,12,3,26
Florian Lejeune,fr FRA,DF,27,11.7,433,575,75.3,9880,3403,147,178,82.6,185,218,84.9,96,156,61.5,0,0.4,0.5,-0.4,6,34,5,1,30
Jonjo Shelvey,eng ENG,MF,26,10.5,463,685,67.6,10154,4250,155,183,84.7,183,245,74.7,109,218,50.0,1,1.7,1.5,-0.7,25,74,24,4,58
Ciaran Clark,ie IRL,DF,28,9.5,231,310,74.5,4123,1550,92,108,85.2,110,132,83.3,24,58,41.4,0,0.1,0.0,-0.1,2,14,1,0,12
Miguel AlmirÃ³n,py PAR,MF,24,8.4,188,263,71.5,2883,752,98,125,78.4,54,74,73.0,21,28,75.0,0,0.6,0.8,-0.6,13,21,12,7,17
Sean Longstaff,eng ENG,MF,20,7.6,239,297,80.5,4621,1139,104,123,84.6,92,100,92.0,37,59,62.7,0,0.5,0.5,-0.5,5,33,6,2,26
Joselu,es ESP,FW,28,6.6,130,212,61.3,1653,254,81,126,64.3,24,38,63.2,11,17,64.7,0,0.0,0.2,0.0,1,5,2,0,6
Yoshinori MutÅ,jp JPN,FWMF,26,5.8,81,118,68.6,963,224,47,59,79.7,20,28,71.4,2,3,66.7,0,0.8,0.7,-0.8,5,5,1,0,6
Jacob Murphy,eng ENG,MFDF,23,3.4,36,67,53.7,733,271,13,22,59.1,16,24,66.7,7,16,43.8,1,0.6,0.4,+0.4,1,4,2,2,6
Antonio Barreca,it ITA,DF,23,0.1,1,3,33.3,18,16,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,26.9,38.0,10774,15231,70.7,197303,79472,4812,5773,83.4,3758,4863,77.3,1584,3269,48.5,33,27.4,23.4,+5.6,324,792,255,99,766
