Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Matt Ritchie,sct SCO,DFMF,28.0,70,35,27,8,19,47,40.4,28,34,11,23,121,76,1,9,0,0,55,38,1,259,0,0,0,171,32,65,33.0,1034,1586,65.2,17181,6715,549,639,85.9,293,442,66.3,133,337,39.5,8,5.3,3.7,2.7,60,57,43,32,61,36,2928.0,81.0,85.6,35,83.0,21.0,1,9.0,0,1.22,35.0,40.0,-5.0,-0.15,0.03,31.9,44.1,-12.2,-0.38,0.03,2,39,8,20.5,1.2,0.25,0.03,0.13,19.2,0,1,2,5.1,3.6,0.09,-3.1,-2.6,109,3.35,61,33,5,5,4,1,12,0.37,6,3,2,1,0,0
Ayoze PÃ©rez,es ESP,MFFW,25.0,59,24,28,7,17,63,27.0,46,55,4,51,101,33,1,2,0,0,46,42,9,22,0,0,0,169,26,78,25.0,594,805,73.8,7784,2082,323,392,82.4,149,198,75.3,37,63,58.7,2,3.6,2.6,-1.6,45,46,25,3,59,37,2917.0,79.0,85.3,34,83.0,19.0,3,29.0,1,1.22,40.0,35.0,5.0,0.15,2.12,34.8,41.6,-6.8,-0.21,1.16,12,55,27,49.1,1.7,0.83,0.22,0.44,13.9,0,0,0,7.5,7.5,0.14,4.5,4.5,91,2.81,70,0,6,7,5,3,6,0.19,5,0,1,0,0,0
Jamaal Lascelles,eng ENG,DF,24.0,32,25,5,2,11,14,78.6,3,43,28,15,71,218,3,4,0,0,16,9,1,2,0,0,0,180,92,45,67.2,848,1111,76.3,16809,5917,275,333,82.6,440,533,82.6,114,189,60.3,1,0.9,0.5,0.1,3,33,0,0,45,32,2745.0,86.0,80.3,32,86.0,29.0,0,,1,1.16,29.0,36.0,-7.0,-0.23,-0.36,30.7,41.9,-11.2,-0.37,0.07,0,11,1,9.1,0.36,0.03,0.0,0.0,11.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,12,0.39,9,2,0,1,0,0,1,0.03,0,0,0,1,0,0
SalomÃ³n RondÃ³n,ve VEN,FW,28.0,8,2,4,2,4,24,16.7,20,14,3,11,13,39,0,1,0,0,22,26,20,14,1,0,0,108,146,232,38.6,521,756,68.9,6010,1323,334,441,75.7,99,155,63.9,16,28,57.1,7,3.0,2.9,4.0,32,40,17,3,40,32,2603.0,81.0,76.1,30,85.0,22.0,2,26.0,3,1.38,37.0,31.0,6.0,0.21,1.53,30.7,38.6,-7.9,-0.27,0.45,11,89,27,30.3,3.08,0.93,0.12,0.41,15.8,9,0,0,10.4,10.4,0.12,0.6,0.6,73,2.52,61,0,2,7,2,1,11,0.38,7,0,0,4,0,0
DeAndre Yedlin,us USA,DF,25.0,54,36,14,4,19,41,46.3,22,36,10,26,82,88,0,6,1,0,41,13,4,77,0,2,1,109,30,39,43.5,768,1094,70.2,10938,4968,435,512,85.0,249,370,67.3,37,108,34.3,2,2.0,2.0,0.0,28,43,27,15,53,29,2473.0,85.0,72.3,28,88.0,25.0,1,6.0,5,0.97,28.0,40.0,-12.0,-0.44,-1.01,27.4,41.8,-14.4,-0.52,-0.52,1,11,2,18.2,0.4,0.07,0.09,0.5,24.7,0,0,0,1.2,1.2,0.11,-0.2,-0.2,54,1.97,40,8,1,2,2,1,8,0.29,5,2,0,1,0,0
Mohamed DiamÃ©,sn SEN,MF,31.0,76,35,36,5,16,54,29.6,38,42,9,33,106,39,1,3,0,0,36,20,0,12,0,0,0,144,34,46,42.5,569,749,76.0,9103,2289,288,347,83.0,180,219,82.2,60,111,54.1,0,0.1,0.3,-0.1,2,44,8,1,39,29,2166.0,75.0,63.3,24,87.0,20.0,5,15.0,3,1.1,21.0,32.0,-11.0,-0.46,-0.82,22.2,35.8,-13.6,-0.57,-0.51,0,20,3,15.0,0.83,0.12,0.0,0.0,23.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,33,1.37,20,0,4,3,5,1,0,0.0,0,0,0,0,0,0
Fabian SchÃ¤r,ch SUI,DF,26.0,60,37,19,4,24,50,48.0,26,40,16,24,127,145,2,12,0,0,28,19,1,17,0,1,0,113,62,63,49.6,687,1025,67.0,15961,6759,223,268,83.2,287,354,81.1,167,360,46.4,1,0.7,0.5,0.3,11,80,9,2,65,24,1999.0,83.0,58.5,22,87.0,17.0,2,45.0,7,1.71,30.0,23.0,7.0,0.32,1.14,26.4,30.1,-3.7,-0.17,0.51,4,25,7,28.0,1.13,0.32,0.16,0.57,18.7,1,0,0,1.9,1.9,0.07,2.1,2.1,32,1.44,29,0,2,1,0,0,1,0.05,1,0,0,0,0,0
Paul Dummett,wls WAL,DF,26.0,34,24,9,1,19,32,59.4,13,25,11,14,71,133,0,1,0,0,11,10,1,32,0,1,0,80,58,27,68.2,625,903,69.2,10657,5191,302,363,83.2,234,333,70.3,64,157,40.8,0,0.7,0.9,-0.7,4,53,14,6,49,26,1990.0,77.0,58.2,21,90.0,20.0,5,21.0,2,1.19,23.0,27.0,-4.0,-0.18,-0.06,19.8,30.3,-10.5,-0.48,-0.23,0,9,1,11.1,0.41,0.05,0.0,0.0,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,26,1.18,21,3,0,2,0,0,1,0.05,1,0,0,0,0,0
Isaac Hayden,eng ENG,MF,23.0,73,19,45,9,23,41,56.1,18,32,4,28,113,30,0,3,1,0,32,14,0,11,0,0,0,118,52,40,56.5,586,749,78.2,8474,1873,329,384,85.7,171,213,80.3,41,66,62.1,4,2.3,1.7,1.7,22,44,7,2,38,25,1859.0,74.0,54.4,21,86.0,15.0,4,14.0,4,1.52,27.0,25.0,2.0,0.1,0.56,21.1,28.1,-7.0,-0.34,0.09,1,22,5,22.7,1.07,0.24,0.05,0.2,22.2,0,0,0,0.9,0.9,0.04,0.1,0.1,41,1.98,36,0,1,0,1,3,4,0.19,3,0,0,0,0,1
Federico FernÃ¡ndez,ar ARG,DF,29.0,16,12,4,0,10,18,55.6,8,19,12,7,41,106,1,2,0,0,12,7,1,5,0,1,0,78,37,30,55.2,484,620,78.1,10496,4014,141,162,87.0,237,267,88.8,98,171,57.3,1,0.5,0.4,0.5,5,28,3,2,36,19,1484.0,78.0,43.4,17,85.0,15.0,2,21.0,10,1.11,18.0,24.0,-6.0,-0.36,-0.36,16.8,26.5,-9.7,-0.59,-0.37,0,4,1,25.0,0.24,0.06,0.0,0.0,14.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,11,0.67,9,1,0,0,0,1,2,0.12,2,0,0,0,0,0
