Player,Nation,Pos,Age,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Jamaal Lascelles,eng ENG,DF,23,32.5,17,0.52,15,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Matt Ritchie,sct SCO,MFFW,27,31.2,107,3.43,63,25,5,7,6,1,8,0.26,3,4,0,1,0,0
DeAndre Yedlin,us USA,DF,24,31.6,55,1.74,48,4,1,1,1,0,2,0.06,2,0,0,0,0,0
Ayoze PÃ©rez,es ESP,MFFW,24,27.7,85,3.07,61,0,3,8,9,4,10,0.36,7,0,0,3,0,0
Jonjo Shelvey,eng ENG,MF,25,25.2,82,3.25,57,18,3,3,0,1,7,0.28,4,2,0,1,0,0
Florian Lejeune,fr FRA,DF,26,23.4,19,0.81,15,0,1,1,1,1,3,0.13,3,0,0,0,0,0
Mohamed DiamÃ©,sn SEN,MF,30,22.7,39,1.72,26,0,5,2,0,6,0,0.00,0,0,0,0,0,0
Dwight Gayle,eng ENG,FW,26,21.8,47,2.16,36,0,1,6,4,0,6,0.28,5,0,0,1,0,0
Javier Manquillo,es ESP,DF,23,19.5,27,1.38,18,5,1,1,2,0,2,0.10,2,0,0,0,0,0
Christian Atsu,gh GHA,FWMF,25,19.8,54,2.72,38,1,8,1,5,1,6,0.30,3,0,1,1,1,0
Ciaran Clark,ie IRL,DF,27,19.4,14,0.72,10,2,0,0,1,1,1,0.05,1,0,0,0,0,0
Joselu,es ESP,FW,27,19.0,40,2.10,33,0,1,2,4,0,1,0.05,1,0,0,0,0,0
Paul Dummett,wls WAL,DF,25,17.8,13,0.73,12,0,0,1,0,0,2,0.11,2,0,0,0,0,0
Rob Elliot,ie IRL,GK,31,16.0,2,0.12,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Isaac Hayden,eng ENG,MF,22,15.3,28,1.83,22,0,2,2,0,2,2,0.13,2,0,0,0,0,0
Mikel Merino,es ESP,MF,21,15.0,47,3.14,41,1,0,2,1,2,4,0.27,3,0,0,1,0,0
Jacob Murphy,eng ENG,MFFW,22,12.8,28,2.20,18,1,4,3,2,0,3,0.24,2,0,0,1,0,0
Kenedy,br BRA,MFDF,21,11.4,38,3.34,20,7,5,3,2,1,3,0.26,1,1,0,1,0,0
Martin DÃºbravka,sk SVK,GK,28,12.0,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Karl Darlow,eng ENG,GK,26,10.0,3,0.30,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Chancel Mbemba,cd COD,DF,22,7.5,12,1.61,7,3,2,0,0,0,0,0.00,0,0,0,0,0,0
Rolando Aarons,eng ENG,MFFW,21,1.5,1,0.65,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Islam Slimani,dz ALG,FW,29,1.5,8,5.45,6,0,1,0,1,0,1,0.68,1,0,0,0,0,0
JesÃºs GÃ¡mez,es ESP,DF,32,1.1,7,6.43,5,1,1,0,0,0,1,0.92,1,0,0,0,0,0
Henri Saivet,sn SEN,MF,26,0.9,1,1.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aleksandar MitroviÄ,rs SRB,FW,22,1.1,5,4.79,4,0,1,0,0,0,1,0.96,0,0,1,0,0,0
Massadio HaÃ¯dara,ml MLI,FW,24,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Squad Total,,,25.6,38.0,782,20.58,561,72,45,45,39,20,63,1.66,43,7,2,10,1,0
