Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
George Baldock,gr GRE,DF,27.0,47,28,14,5,21,50,42.0,29,26,7,19,72,70,1,7,0,0,46,21,10,62,0,0,0,127,26,28,48.1,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,-0.9,18,47,23,7,48,32,2787.0,87.0,81.5,32,87.0,30.0,0,,3,0.63,14.0,51.0,-37.0,-1.19,-0.34,25.1,53.5,-28.4,-0.92,-0.75,0,13,2,15.4,0.42,0.06,0.0,0.0,16.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,35,1.13,30,1,1,3,0,0,2,0.06,1,0,0,1,0,0
Chris Basham,eng ENG,DFMF,32.0,69,41,23,5,41,67,61.2,26,36,15,21,118,105,1,5,0,0,25,28,6,25,1,1,0,158,54,61,47.0,939,1153,81.4,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4,1,0.9,0.9,0.1,11,50,14,6,45,31,2576.0,83.0,75.3,31,83.0,21.0,0,,0,0.55,14.0,51.0,-37.0,-1.29,-0.65,23.7,44.9,-21.2,-0.74,0.16,0,10,1,10.0,0.35,0.03,0.0,0.0,13.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,25,0.87,19,1,3,0,2,0,2,0.07,0,1,1,0,0,0
Enda Stevens,ie IRL,DF,30.0,59,32,19,8,33,58,56.9,25,41,12,29,81,81,1,6,0,0,33,10,3,64,0,0,0,168,35,33,51.5,1108,1459,75.9,16993,7284,627,703,89.2,375,482,77.8,77,186,41.4,1,1.6,1.7,-0.6,17,88,33,10,86,30,2700.0,90.0,78.9,30,90.0,30.0,0,,0,0.47,13.0,54.0,-41.0,-1.37,-1.12,23.5,51.0,-27.5,-0.92,-0.66,0,16,4,25.0,0.53,0.13,0.0,0.0,17.4,0,0,0,1.3,1.3,0.08,-1.3,-1.3,39,1.3,36,0,0,1,2,0,4,0.13,3,0,0,0,1,0
John Egan,ie IRL,DF,27.0,41,29,12,0,22,39,56.4,17,43,31,12,82,131,0,7,1,0,29,10,0,4,0,0,0,129,80,56,58.8,923,1135,81.3,18683,6735,300,345,87.0,499,557,89.6,116,208,55.8,1,0.6,0.6,0.4,3,67,3,1,52,31,2629.0,85.0,76.9,30,87.0,28.0,1,14.0,0,0.55,16.0,47.0,-31.0,-1.06,0.3,25.0,44.8,-19.8,-0.68,0.44,0,14,3,21.4,0.48,0.1,0.0,0.0,11.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,16,0.55,15,0,0,0,0,1,1,0.03,1,0,0,0,0,0
John Fleck,sct SCO,MF,28.0,51,28,18,5,26,83,31.3,57,26,4,22,79,12,1,4,0,0,33,28,0,96,0,0,0,156,12,20,37.5,971,1245,78.0,14229,4534,540,593,91.1,296,364,81.3,70,172,40.7,2,2.9,2.3,-0.9,33,110,22,5,86,31,2575.0,83.0,75.3,29,87.0,26.0,2,31.0,2,0.71,16.0,47.0,-31.0,-1.08,0.19,23.7,46.9,-23.3,-0.81,-0.14,0,17,5,29.4,0.59,0.17,0.0,0.0,24.6,0,0,0,0.6,0.6,0.03,-0.6,-0.6,72,2.52,51,15,2,2,2,0,3,0.1,2,1,0,0,0,0
David McGoldrick,ie IRL,FWMF,32.0,33,8,15,10,13,31,41.9,18,19,3,16,35,25,0,7,0,0,45,33,17,21,0,0,0,78,88,115,43.3,697,947,73.6,9806,1823,397,485,81.9,210,280,75.0,37,62,59.7,1,1.1,1.5,-0.1,17,49,21,4,54,35,2397.0,68.0,70.1,28,80.0,16.0,7,23.0,2,0.66,16.0,37.0,-21.0,-0.79,1.15,22.2,38.6,-16.4,-0.61,0.55,8,71,23,32.4,2.67,0.86,0.11,0.35,18.2,1,0,0,6.9,6.9,0.1,1.1,1.1,58,2.18,37,2,8,5,4,2,1,0.04,1,0,0,0,0,0
Oliver Norwood,nir NIR,MF,29.0,49,16,28,5,21,72,29.2,51,29,12,17,85,51,1,6,0,0,26,8,0,114,0,0,0,182,15,17,46.9,1205,1532,78.7,23516,7236,472,526,89.7,524,607,86.3,183,334,54.8,0,2.0,2.1,-2.0,31,134,27,8,106,32,2220.0,69.0,64.9,26,79.0,15.0,6,29.0,5,0.69,12.0,43.0,-31.0,-1.26,-0.36,20.8,40.5,-19.7,-0.8,-0.06,0,11,1,9.1,0.45,0.04,0.0,0.0,31.6,2,0,0,0.5,0.5,0.04,-0.5,-0.5,54,2.19,39,14,0,0,0,1,1,0.04,1,0,0,0,0,0
Ethan Ampadu,wls WAL,DFMF,19.0,57,31,24,2,20,46,43.5,26,40,19,21,106,87,3,3,0,0,25,25,1,19,0,1,1,114,52,29,64.2,870,1087,80.0,15680,5537,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,75,25,2089.0,84.0,61.1,23,86.0,19.0,2,53.0,4,0.52,12.0,41.0,-29.0,-1.25,-0.3,20.1,39.1,-19.0,-0.82,-0.1,0,7,2,28.6,0.3,0.09,0.0,0.0,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,20,0.86,17,2,0,0,1,0,0,0.0,0,0,0,0,0,0
John Lundstram,eng ENG,MF,26.0,25,12,11,2,13,47,27.7,34,26,8,18,39,29,1,8,1,0,24,20,1,71,0,0,0,130,13,17,43.3,859,1082,79.4,13623,3077,417,454,91.9,295,352,83.8,79,168,47.0,2,1.3,1.6,0.7,20,64,14,2,49,28,2032.0,73.0,59.4,23,84.0,18.0,5,20.0,6,0.61,14.0,40.0,-26.0,-1.15,-0.05,19.6,36.6,-17.0,-0.75,0.06,0,19,4,21.1,0.84,0.18,0.0,0.0,23.8,1,0,1,1.9,1.1,0.06,-1.9,-1.1,50,2.21,41,5,1,1,2,0,5,0.22,4,1,0,0,0,0
Ben Osborn,eng ENG,MFDF,25.0,33,15,10,8,13,40,32.5,27,20,3,17,45,17,0,1,0,0,10,15,4,68,0,0,0,95,12,17,41.4,660,859,76.8,8905,3102,420,466,90.1,169,221,76.5,33,85,38.8,0,2.0,2.0,-2.0,17,53,27,11,51,24,1604.0,67.0,46.9,17,82.0,10.0,7,30.0,10,0.67,6.0,29.0,-23.0,-1.29,-0.3,15.0,29.2,-14.2,-0.8,-0.04,1,9,4,44.4,0.5,0.22,0.11,0.25,18.4,0,0,0,1.1,1.1,0.13,-0.1,-0.1,34,1.91,30,4,0,0,0,0,0,0.0,0,0,0,0,0,0
