Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
George Baldock,gr GRE,DF,26,38.0,62,43,35,17,10,27,47,57.4,20,26,3,23,34,96,83,3
Enda Stevens,ie IRL,DF,29,37.2,81,46,48,26,7,42,96,43.8,54,27,8,19,35,116,71,3
Chris Basham,eng ENG,DF,31,36.0,85,48,58,20,7,48,81,59.3,33,38,15,23,77,162,173,1
Oliver Norwood,nir NIR,MF,28,34.3,66,37,35,24,7,28,97,28.9,69,34,12,22,47,113,40,1
Dean Henderson,eng ENG,GK,22,36.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,1
John Egan,ie IRL,DF,26,35.4,44,27,34,10,0,25,45,55.6,20,39,27,12,58,102,171,4
Jack O'Connell,eng ENG,DF,25,32.4,23,14,15,6,2,10,20,50.0,10,38,17,21,42,65,154,1
John Fleck,sct SCO,MF,27,28.0,36,25,13,14,9,22,64,34.4,42,25,3,22,24,60,26,0
John Lundstram,eng ENG,MF,25,27.3,46,30,18,21,7,21,65,32.3,44,18,4,14,33,79,46,1
Oliver McBurnie,sct SCO,FW,23,23.5,37,22,6,27,4,11,40,27.5,29,25,3,22,15,52,43,0
David McGoldrick,ie IRL,FW,31,20.2,41,26,9,24,8,5,20,25.0,15,14,2,12,3,44,23,0
Sander Berge,no NOR,MF,21,10.5,22,15,3,14,5,5,10,50.0,5,15,1,14,10,32,16,0
Lys Mousset,fr FRA,FW,23,13.8,9,5,0,5,4,3,7,42.9,4,3,0,3,4,13,2,0
Billy Sharp,eng ENG,FW,33,11.7,6,5,2,1,3,1,6,16.7,5,2,0,2,1,7,2,0
Callum Robinson,ie IRL,FWMF,24,7.5,6,3,2,2,2,2,7,28.6,5,3,0,3,7,13,3,0
Ben Osborn,eng ENG,MFDF,24,6.6,15,10,11,3,1,3,16,18.8,13,6,1,5,6,21,7,0
Jack Robinson,eng ENG,DF,25,5.6,10,5,5,5,0,1,6,16.7,5,12,5,7,8,18,24,0
Luke Freeman,eng ENG,MF,27,4.1,6,4,2,2,2,2,8,25.0,6,1,0,1,10,16,6,0
Muhamed BeÅ¡iÄ,ba BIH,MF,26,2.8,8,6,4,4,0,2,5,40.0,3,4,0,4,1,9,6,0
Phil Jagielka,eng ENG,DF,36,2.7,5,4,3,2,0,1,3,33.3,2,5,5,0,4,9,19,0
Simon Moore,eng ENG,GK,29,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1
Richairo Å½ivkoviÄ,nl NED,FW,22,1.2,2,2,0,2,0,1,2,50.0,1,1,0,1,0,2,0,0
Leon Clarke,eng ENG,FWMF,34,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jack Rodwell,eng ENG,MF,28,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ravel Morrison,jm JAM,MF,26,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kieron Freeman,wls WAL,FW,27,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,26.9,38.0,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16
