Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
George Baldock,gr GRE,DF,26.0,62,35,17,10,27,47,57.4,20,26,3,23,96,83,3,7,0,0,47,44,11,128,1,0,0,167,38,57,40.0,1143,1522,75.1,15916,5444,719,795,90.4,323,417,77.5,55,162,34.0,3,1.7,2.3,1.3,23,66,46,30,74,38,3420.0,90.0,100.0,38,90.0,38.0,0,,0,1.42,39.0,39.0,0.0,0.0,,43.0,51.0,-7.9,-0.21,,2,13,4,30.8,0.34,0.11,0.15,0.5,16.9,0,0,0,0.6,0.6,0.05,1.4,1.4,71,1.87,54,5,6,0,6,0,6,0.16,4,0,1,0,1,0
Enda Stevens,ie IRL,DF,29.0,81,48,26,7,42,96,43.8,54,27,8,19,116,71,3,7,0,0,39,19,2,123,0,0,0,226,31,31,50.0,1383,1902,72.7,21879,8369,785,905,86.7,465,626,74.3,107,246,43.5,4,5.3,4.2,-1.3,34,110,46,12,136,38,3345.0,88.0,97.8,38,88.0,36.0,0,,0,1.42,39.0,39.0,0.0,0.0,0.0,41.7,48.7,-7.0,-0.19,0.89,2,22,4,18.2,0.59,0.11,0.09,0.5,17.8,0,0,0,1.3,1.3,0.06,0.7,0.7,76,2.04,62,5,5,2,2,0,9,0.24,8,0,1,0,0,0
Chris Basham,eng ENG,DF,31.0,85,58,20,7,48,81,59.3,33,38,15,23,162,173,1,4,0,0,26,31,5,51,0,1,0,188,107,62,63.3,1091,1546,70.6,18241,6389,531,614,86.5,434,638,68.0,91,198,46.0,1,1.3,1.3,-0.3,12,83,8,4,60,38,3242.0,85.0,94.8,38,85.0,25.0,0,,0,1.42,33.0,37.0,-4.0,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29,0,6,0,0.0,0.17,0.0,0.0,,13.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,27,0.75,24,1,2,0,0,0,3,0.08,3,0,0,0,0,0
Oliver Norwood,nir NIR,MF,28.0,66,35,24,7,28,97,28.9,69,34,12,22,113,40,1,8,0,0,32,16,1,198,0,1,0,275,44,29,60.3,1710,2222,77.0,36359,11716,591,666,88.7,744,864,86.1,346,605,57.2,1,4.3,4.7,-3.3,48,231,29,12,173,38,3090.0,81.0,90.4,37,83.0,25.0,1,11.0,0,1.42,35.0,36.0,-1.0,-0.03,-0.3,37.8,46.4,-8.6,-0.25,-0.44,1,16,5,31.3,0.47,0.15,0.0,0.0,27.8,4,1,1,1.5,0.7,0.04,-0.5,-0.7,83,2.42,48,29,0,4,1,1,6,0.17,4,2,0,0,0,0
John Egan,ie IRL,DF,26.0,44,34,10,0,25,45,55.6,20,39,27,12,102,171,4,5,1,1,34,20,1,2,0,1,0,177,133,77,63.3,1040,1302,79.9,22170,7127,298,349,85.4,556,644,86.3,177,279,63.4,0,0.4,0.5,-0.4,1,56,1,0,49,36,3187.0,89.0,93.2,36,89.0,34.0,0,,0,1.47,36.0,30.0,6.0,0.17,2.49,40.8,45.8,-5.0,-0.14,0.98,2,27,4,14.8,0.76,0.11,0.07,0.5,9.4,0,0,0,2.7,2.7,0.1,-0.7,-0.7,11,0.31,6,0,0,5,0,0,1,0.03,0,0,0,1,0,0
Jack O'Connell,eng ENG,DF,25.0,23,15,6,2,10,20,50.0,10,38,17,21,65,154,1,4,0,0,22,17,2,51,0,0,0,184,133,63,67.9,1214,1683,72.1,22777,9736,540,617,87.5,499,637,78.3,152,348,43.7,1,3.1,2.4,-2.1,16,113,25,7,96,33,2916.0,88.0,85.3,32,90.0,32.0,1,36.0,0,1.52,35.0,28.0,7.0,0.22,1.47,37.9,41.5,-3.6,-0.11,0.67,0,14,2,14.3,0.43,0.06,0.0,0.0,10.9,0,0,0,1.0,1.0,0.07,-1.0,-1.0,29,0.9,26,0,0,2,1,0,2,0.06,2,0,0,0,0,0
John Fleck,sct SCO,MF,27.0,36,13,14,9,22,64,34.4,42,25,3,22,60,26,0,8,0,0,25,22,1,149,0,0,0,169,13,23,36.1,842,1164,72.3,13437,4460,427,494,86.4,268,342,78.4,89,198,44.9,2,3.4,3.4,-1.4,39,105,35,7,86,30,2516.0,84.0,73.6,28,87.0,26.0,2,38.0,0,1.3,26.0,30.0,-4.0,-0.14,-0.54,32.0,40.6,-8.6,-0.31,-0.37,5,31,11,35.5,1.11,0.39,0.16,0.45,20.1,0,0,0,3.1,3.1,0.1,1.9,1.9,84,3.0,56,16,8,2,1,1,6,0.21,5,0,1,0,0,0
John Lundstram,eng ENG,MF,25.0,46,18,21,7,21,65,32.3,44,18,4,14,79,46,1,5,0,0,27,12,7,55,0,0,0,157,23,33,41.1,987,1245,79.3,17119,3711,515,604,85.3,329,383,85.9,119,179,66.5,3,3.4,2.2,-0.4,21,70,31,8,80,34,2458.0,72.0,71.9,26,87.0,21.0,8,25.0,1,1.38,27.0,29.0,-2.0,-0.07,-0.26,31.1,38.8,-7.6,-0.28,-0.25,5,43,10,23.3,1.57,0.37,0.12,0.5,17.6,0,0,0,5.3,5.3,0.12,-0.3,-0.3,58,2.12,48,1,0,5,2,2,7,0.26,6,0,0,1,0,0
Oliver McBurnie,sct SCO,FW,23.0,37,6,27,4,11,40,27.5,29,25,3,22,52,43,0,4,0,0,28,28,5,9,0,0,0,91,197,193,50.5,376,633,59.4,4833,1277,245,376,65.2,99,157,63.1,9,16,56.3,0,1.1,1.8,-1.1,10,38,10,1,37,36,2113.0,59.0,61.8,24,76.0,7.0,12,24.0,2,1.44,22.0,25.0,-3.0,-0.13,-0.33,27.5,32.3,-4.8,-0.2,0.01,6,50,24,48.0,2.13,1.02,0.12,0.25,10.3,0,0,0,7.7,7.7,0.15,-1.7,-1.7,31,1.32,21,0,2,7,1,0,2,0.09,0,0,0,2,0,0
David McGoldrick,ie IRL,FW,31.0,41,9,24,8,5,20,25.0,15,14,2,12,44,23,0,2,0,0,30,18,12,8,0,0,0,77,85,125,40.5,461,629,73.3,6828,1106,269,327,82.3,151,202,74.8,25,44,56.8,2,2.3,1.3,-0.3,17,29,11,3,22,28,1815.0,65.0,53.1,22,76.0,6.0,6,23.0,1,1.43,23.0,18.0,5.0,0.25,0.53,24.7,24.8,-0.1,-0.01,0.43,2,46,20,43.5,2.28,0.99,0.04,0.1,14.5,0,0,0,8.0,8.0,0.17,-6.0,-6.0,42,2.08,29,1,8,3,1,0,6,0.3,4,0,2,0,0,0
