Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Aaron Ramsdale,eng ENG,GK,22,38.0,1,0,0,1,5,0,0,2,1,0,1,0,25,8,3,72.7
George Baldock,gr GRE,DF,27,31.0,7,0,0,46,21,10,62,25,34,0,0,0,127,26,28,48.1
Chris Basham,eng ENG,DFMF,32,28.6,5,0,0,25,28,6,25,49,42,1,1,0,158,54,61,47.0
Enda Stevens,ie IRL,DF,30,30.0,6,0,0,33,10,3,64,22,26,0,0,0,168,35,33,51.5
John Egan,ie IRL,DF,27,29.2,7,1,0,29,10,0,4,41,21,0,0,0,129,80,56,58.8
John Fleck,sct SCO,MF,28,28.6,4,0,0,33,28,0,96,28,33,0,0,0,156,12,20,37.5
David McGoldrick,ie IRL,FWMF,32,26.6,7,0,0,45,33,17,21,2,21,0,0,0,78,88,115,43.3
Oliver Norwood,nir NIR,MF,29,24.7,6,0,0,26,8,0,114,36,22,0,0,0,182,15,17,46.9
Ethan Ampadu,wls WAL,DFMF,19,23.2,3,0,0,25,25,1,19,49,36,0,1,1,114,52,29,64.2
John Lundstram,eng ENG,MF,26,22.6,8,1,0,24,20,1,71,14,16,0,0,0,130,13,17,43.3
Ben Osborn,eng ENG,MFDF,25,17.8,1,0,0,10,15,4,68,12,18,0,0,0,95,12,17,41.4
Oliver Burke,sct SCO,FW,23,14.1,2,0,0,23,6,3,10,2,8,0,0,0,29,30,46,39.5
Sander Berge,no NOR,MF,22,12.4,4,0,0,14,4,2,23,4,7,0,0,0,68,16,15,51.6
Oliver McBurnie,sct SCO,FW,24,14.7,2,0,0,24,26,4,4,6,7,1,0,0,32,139,120,53.7
Rhian Brewster,eng ENG,FWMF,20,12.5,1,0,0,18,13,4,16,5,5,0,0,0,35,14,50,21.9
Jayden Bogle,eng ENG,DFMF,20,12.3,2,0,0,15,9,1,12,14,23,0,0,0,64,18,22,45.0
Kean Bryan,eng ENG,DF,23,11.2,1,0,0,13,2,0,17,13,10,0,0,1,54,31,19,62.0
Jack Robinson,eng ENG,DF,26,9.7,3,0,0,10,6,0,6,9,6,1,1,0,53,32,29,52.5
Billy Sharp,eng ENG,FW,34,8.2,1,0,0,14,14,11,8,0,1,0,0,0,14,11,28,28.2
Max Lowe,eng ENG,DF,23,6.1,1,0,0,10,3,0,22,5,11,0,0,0,25,5,20,20.0
Phil Jagielka,eng ENG,DF,37,5.8,1,1,0,8,1,0,1,10,4,0,0,1,36,13,11,54.2
Daniel Jebbison,eng ENG,FW,17,3.2,0,0,0,6,4,1,1,1,2,0,0,0,15,5,21,19.2
Lys Mousset,fr FRA,FWMF,24,3.3,0,0,0,7,2,4,1,0,0,0,0,0,5,4,10,28.6
Jack O'Connell,eng ENG,DF,26,2.0,0,0,0,0,0,1,1,2,1,0,0,0,8,5,10,33.3
Iliman Ndiaye,sn SEN,MF,20,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Antwoine Hackford,eng ENG,DF,16,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Femi Seriki,eng ENG,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,26.7,38.0,73,3,0,459,293,73,666,351,356,3,4,3,1802,718,798,47.4
