Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
George Baldock,gr GRE,DF,26,38.0,1143,1522,75.1,15916,5444,719,795,90.4,323,417,77.5,55,162,34.0,3,1.7,2.3,+1.3,23,66,46,30,74
Enda Stevens,ie IRL,DF,29,37.2,1383,1902,72.7,21879,8369,785,905,86.7,465,626,74.3,107,246,43.5,4,5.3,4.2,-1.3,34,110,46,12,136
Chris Basham,eng ENG,DF,31,36.0,1091,1546,70.6,18241,6389,531,614,86.5,434,638,68.0,91,198,46.0,1,1.3,1.3,-0.3,12,83,8,4,60
Oliver Norwood,nir NIR,MF,28,34.3,1710,2222,77.0,36359,11716,591,666,88.7,744,864,86.1,346,605,57.2,1,4.3,4.7,-3.3,48,231,29,12,173
Dean Henderson,eng ENG,GK,22,36.0,448,1045,42.9,20541,18372,32,32,100.0,106,109,97.2,309,898,34.4,0,0.0,0.1,0.0,1,49,1,0,0
John Egan,ie IRL,DF,26,35.4,1040,1302,79.9,22170,7127,298,349,85.4,556,644,86.3,177,279,63.4,0,0.4,0.5,-0.4,1,56,1,0,49
Jack O'Connell,eng ENG,DF,25,32.4,1214,1683,72.1,22777,9736,540,617,87.5,499,637,78.3,152,348,43.7,1,3.1,2.4,-2.1,16,113,25,7,96
John Fleck,sct SCO,MF,27,28.0,842,1164,72.3,13437,4460,427,494,86.4,268,342,78.4,89,198,44.9,2,3.4,3.4,-1.4,39,105,35,7,86
John Lundstram,eng ENG,MF,25,27.3,987,1245,79.3,17119,3711,515,604,85.3,329,383,85.9,119,179,66.5,3,3.4,2.2,-0.4,21,70,31,8,80
Oliver McBurnie,sct SCO,FW,23,23.5,376,633,59.4,4833,1277,245,376,65.2,99,157,63.1,9,16,56.3,0,1.1,1.8,-1.1,10,38,10,1,37
David McGoldrick,ie IRL,FW,31,20.2,461,629,73.3,6828,1106,269,327,82.3,151,202,74.8,25,44,56.8,2,2.3,1.3,-0.3,17,29,11,3,22
Sander Berge,no NOR,MF,21,10.5,298,392,76.0,4903,1051,124,158,78.5,135,158,85.4,24,38,63.2,1,0.6,0.9,+0.4,2,33,8,2,21
Lys Mousset,fr FRA,FW,23,13.8,170,246,69.1,2052,298,118,148,79.7,43,57,75.4,3,7,42.9,4,3.2,1.2,+0.8,12,8,5,1,11
Billy Sharp,eng ENG,FW,33,11.7,158,224,70.5,2078,383,101,125,80.8,50,68,73.5,3,6,50.0,2,2.3,1.1,-0.3,14,3,9,1,13
Callum Robinson,ie IRL,FWMF,24,7.5,120,154,77.9,1730,243,71,78,91.0,37,46,80.4,7,16,43.8,1,0.4,0.6,+0.6,4,7,3,1,4
Ben Osborn,eng ENG,MFDF,24,6.6,176,258,68.2,2571,661,105,125,84.0,47,69,68.1,13,36,36.1,0,0.9,0.6,-0.9,7,10,4,2,8
Jack Robinson,eng ENG,DF,25,5.6,203,274,74.1,3824,1621,75,82,91.5,102,127,80.3,19,50,38.0,0,0.2,0.1,-0.2,2,21,1,1,11
Luke Freeman,eng ENG,MF,27,4.1,112,148,75.7,1479,478,72,80,90.0,26,34,76.5,7,16,43.8,0,0.2,0.6,-0.2,3,11,6,3,11
Muhamed BeÅ¡iÄ,ba BIH,MF,26,2.8,84,107,78.5,1285,280,50,58,86.2,23,28,82.1,7,12,58.3,0,0.1,0.0,-0.1,1,6,1,0,8
Phil Jagielka,eng ENG,DF,36,2.7,61,80,76.3,1138,398,26,31,83.9,28,35,80.0,7,11,63.6,0,0.0,0.0,0.0,0,2,1,1,3
Simon Moore,eng ENG,GK,29,2.0,19,48,39.6,823,708,1,1,100.0,8,8,100.0,10,39,25.6,0,0.0,0.0,0.0,0,0,0,0,0
Richairo Å½ivkoviÄ,nl NED,FW,22,1.2,17,19,89.5,215,19,11,12,91.7,5,6,83.3,0,0,,0,0.1,0.2,-0.1,2,0,1,1,0
Leon Clarke,eng ENG,FWMF,34,0.4,4,6,66.7,51,7,3,5,60.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Jack Rodwell,eng ENG,MF,28,0.2,2,2,100.0,35,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ravel Morrison,jm JAM,MF,26,0.1,5,6,83.3,46,25,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
Kieron Freeman,wls WAL,FW,27,0.1,1,1,100.0,5,3,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,26.9,38.0,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34.0,29.7,-9.0,269,1053,282,97,903
