Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
George Baldock,gr GRE,DF,26,38,3420,90,100.0,38.0,38,90,38,0,,0,1.42,39,39,0,0.00,,43.0,51.0,-7.9,-0.21,
Enda Stevens,ie IRL,DF,29,38,3345,88,97.8,37.2,38,88,36,0,,0,1.42,39,39,0,0.00,0.00,41.7,48.7,-7.0,-0.19,+0.89
Chris Basham,eng ENG,DF,31,38,3242,85,94.8,36.0,38,85,25,0,,0,1.42,33,37,-4,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29
Oliver Norwood,nir NIR,MF,28,38,3090,81,90.4,34.3,37,83,25,1,11,0,1.42,35,36,-1,-0.03,-0.30,37.8,46.4,-8.6,-0.25,-0.44
Dean Henderson,eng ENG,GK,22,36,3240,90,94.7,36.0,36,90,36,0,,0,1.47,36,33,+3,+0.08,+1.58,41.6,47.3,-5.7,-0.16,+0.97
John Egan,ie IRL,DF,26,36,3187,89,93.2,35.4,36,89,34,0,,0,1.47,36,30,+6,+0.17,+2.49,40.8,45.8,-5.0,-0.14,+0.98
Jack O'Connell,eng ENG,DF,25,33,2916,88,85.3,32.4,32,90,32,1,36,0,1.52,35,28,+7,+0.22,+1.47,37.9,41.5,-3.6,-0.11,+0.67
John Fleck,sct SCO,MF,27,30,2516,84,73.6,28.0,28,87,26,2,38,0,1.30,26,30,-4,-0.14,-0.54,32.0,40.6,-8.6,-0.31,-0.37
John Lundstram,eng ENG,MF,25,34,2458,72,71.9,27.3,26,87,21,8,25,1,1.38,27,29,-2,-0.07,-0.26,31.1,38.8,-7.6,-0.28,-0.25
Oliver McBurnie,sct SCO,FW,23,36,2113,59,61.8,23.5,24,76,7,12,24,2,1.44,22,25,-3,-0.13,-0.33,27.5,32.3,-4.8,-0.20,+0.01
David McGoldrick,ie IRL,FW,31,28,1815,65,53.1,20.2,22,76,6,6,23,1,1.43,23,18,+5,+0.25,+0.53,24.7,24.8,-0.1,-0.01,+0.43
Sander Berge,no NOR,MF,21,14,943,67,27.6,10.5,12,75,5,2,23,0,1.50,11,11,0,0.00,0.00,9.3,11.8,-2.5,-0.24,-0.05
Lys Mousset,fr FRA,FW,23,30,1240,41,36.3,13.8,11,66,0,19,27,3,1.53,20,15,+5,+0.36,+0.57,17.0,20.0,-3.0,-0.22,-0.02
Billy Sharp,eng ENG,FW,33,25,1051,42,30.7,11.7,10,68,0,15,25,11,1.16,11,10,+1,+0.09,+0.12,12.2,14.4,-2.2,-0.19,+0.03
Callum Robinson,ie IRL,FWMF,24,16,676,42,19.8,7.5,9,65,2,7,12,7,1.06,7,6,+1,+0.13,+0.17,7.7,10.2,-2.5,-0.33,-0.15
Ben Osborn,eng ENG,MFDF,24,13,594,46,17.4,6.6,6,77,4,7,19,17,2.08,9,4,+5,+0.76,+0.92,8.0,7.6,+0.4,+0.06,+0.33
Jack Robinson,eng ENG,DF,25,6,504,84,14.7,5.6,6,84,5,0,,5,0.83,4,11,-7,-1.25,-1.47,5.1,9.5,-4.4,-0.78,-0.67
Luke Freeman,eng ENG,MF,27,11,366,33,10.7,4.1,3,73,1,8,18,13,1.27,5,5,0,0.00,0.00,5.5,4.1,+1.5,+0.36,+0.64
Muhamed BeÅ¡iÄ,ba BIH,MF,26,9,250,28,7.3,2.8,2,76,0,7,14,14,1.56,1,2,-1,-0.36,-0.39,4.1,4.2,0.0,-0.02,+0.21
Phil Jagielka,eng ENG,DF,36,6,244,41,7.1,2.7,2,90,2,4,16,30,2.17,5,6,-1,-0.37,-0.40,3.7,4.8,-1.2,-0.44,-0.25
Simon Moore,eng ENG,GK,29,2,180,90,5.3,2.0,2,90,2,0,,25,0.50,3,6,-3,-1.50,-1.58,1.5,3.7,-2.3,-1.13,-0.97
Richairo Å½ivkoviÄ,nl NED,FW,22,5,112,22,3.3,1.2,0,,0,5,22,4,0.60,1,4,-3,-2.41,-2.49,0.6,2.5,-1.9,-1.51,-1.35
Leon Clarke,eng ENG,FWMF,34,2,35,18,1.0,0.4,0,,0,2,18,2,0.00,0,2,-2,-5.14,-5.20,0.6,1.7,-1.2,-2.99,-2.81
Jack Rodwell,eng ENG,MF,28,1,16,16,0.5,0.2,0,,0,1,16,7,1.00,1,0,+1,+5.63,+5.65,0.1,0.3,-0.2,-1.34,-1.13
Ravel Morrison,jm JAM,MF,26,1,13,13,0.4,0.1,0,,0,1,13,1,0.00,0,0,0,0.00,0.00,0.2,0.0,+0.2,+1.08,+1.29
Kieron Freeman,wls WAL,FW,27,2,7,4,0.2,0.1,0,,0,2,4,11,1.50,0,0,0,0.00,0.00,0.0,0.0,0.0,+0.38,+0.59
Jake Eastwood,eng ENG,GK,22,0,,,,,0,,0,0,,1,,,,,,,,,,,
Panagiotis Retsos,gr GRE,DF,20,0,,,,,0,,0,0,,3,,,,,,,,,,,
Richard Stearman,eng ENG,DF,31,0,,,,,0,,0,0,,1,,,,,,,,,,,
Michael Verrips,nl NED,GK,22,0,,,,,0,,0,0,,12,,,,,,,,,,,
Squad Total,,,26.9,38,3420,90,100,38.0,418,84,,110,22,171,1.42,39,39,0,0.00,,43.0,51.0,-7.9,-0.21,
