Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Aaron Ramsdale,eng ENG,GK,22,38,3420,90,100.0,38.0,38,90,38,0,,0,0.61,20,63,-43,-1.13,,32.6,62.2,-29.6,-0.78,
George Baldock,gr GRE,DF,27,32,2787,87,81.5,31.0,32,87,30,0,,3,0.63,14,51,-37,-1.19,-0.34,25.1,53.5,-28.4,-0.92,-0.75
Chris Basham,eng ENG,DFMF,32,31,2576,83,75.3,28.6,31,83,21,0,,0,0.55,14,51,-37,-1.29,-0.65,23.7,44.9,-21.2,-0.74,+0.16
Enda Stevens,ie IRL,DF,30,30,2700,90,78.9,30.0,30,90,30,0,,0,0.47,13,54,-41,-1.37,-1.12,23.5,51.0,-27.5,-0.92,-0.66
John Egan,ie IRL,DF,27,31,2629,85,76.9,29.2,30,87,28,1,14,0,0.55,16,47,-31,-1.06,+0.30,25.0,44.8,-19.8,-0.68,+0.44
John Fleck,sct SCO,MF,28,31,2575,83,75.3,28.6,29,87,26,2,31,2,0.71,16,47,-31,-1.08,+0.19,23.7,46.9,-23.3,-0.81,-0.14
David McGoldrick,ie IRL,FWMF,32,35,2397,68,70.1,26.6,28,80,16,7,23,2,0.66,16,37,-21,-0.79,+1.15,22.2,38.6,-16.4,-0.61,+0.55
Oliver Norwood,nir NIR,MF,29,32,2220,69,64.9,24.7,26,79,15,6,29,5,0.69,12,43,-31,-1.26,-0.36,20.8,40.5,-19.7,-0.80,-0.06
Ethan Ampadu,wls WAL,DFMF,19,25,2089,84,61.1,23.2,23,86,19,2,53,4,0.52,12,41,-29,-1.25,-0.30,20.1,39.1,-19.0,-0.82,-0.10
John Lundstram,eng ENG,MF,26,28,2032,73,59.4,22.6,23,84,18,5,20,6,0.61,14,40,-26,-1.15,-0.05,19.6,36.6,-17.0,-0.75,+0.06
Ben Osborn,eng ENG,MFDF,25,24,1604,67,46.9,17.8,17,82,10,7,30,10,0.67,6,29,-23,-1.29,-0.30,15.0,29.2,-14.2,-0.80,-0.04
Oliver Burke,sct SCO,FW,23,25,1269,51,37.1,14.1,14,67,1,11,30,8,0.64,6,21,-15,-1.06,+0.11,9.9,22.1,-12.1,-0.86,-0.13
Sander Berge,no NOR,MF,22,15,1120,75,32.7,12.4,13,82,11,2,30,0,0.07,6,23,-17,-1.37,-0.35,12.0,19.7,-7.8,-0.62,+0.23
Oliver McBurnie,sct SCO,FW,24,23,1324,58,38.7,14.7,12,85,10,11,27,1,0.30,8,27,-19,-1.29,-0.26,15.4,26.2,-10.8,-0.73,+0.07
Rhian Brewster,eng ENG,FWMF,20,27,1128,42,33.0,12.5,12,66,2,15,22,7,0.63,7,16,-9,-0.72,+0.62,12.2,16.9,-4.7,-0.37,+0.60
