Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Aaron Ramsdale,eng ENG,GK,22,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
George Baldock,gr GRE,DF,27,31.0,0,13,2,15.4,0.42,0.06,0.00,0.00,16.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2
Chris Basham,eng ENG,DFMF,32,28.6,0,10,1,10.0,0.35,0.03,0.00,0.00,13.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Enda Stevens,ie IRL,DF,30,30.0,0,16,4,25.0,0.53,0.13,0.00,0.00,17.4,0,0,0,1.3,1.3,0.08,-1.3,-1.3
John Egan,ie IRL,DF,27,29.2,0,14,3,21.4,0.48,0.10,0.00,0.00,11.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
John Fleck,sct SCO,MF,28,28.6,0,17,5,29.4,0.59,0.17,0.00,0.00,24.6,0,0,0,0.6,0.6,0.03,-0.6,-0.6
David McGoldrick,ie IRL,FWMF,32,26.6,8,71,23,32.4,2.67,0.86,0.11,0.35,18.2,1,0,0,6.9,6.9,0.10,+1.1,+1.1
Oliver Norwood,nir NIR,MF,29,24.7,0,11,1,9.1,0.45,0.04,0.00,0.00,31.6,2,0,0,0.5,0.5,0.04,-0.5,-0.5
Ethan Ampadu,wls WAL,DFMF,19,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
John Lundstram,eng ENG,MF,26,22.6,0,19,4,21.1,0.84,0.18,0.00,0.00,23.8,1,0,1,1.9,1.1,0.06,-1.9,-1.1
Ben Osborn,eng ENG,MFDF,25,17.8,1,9,4,44.4,0.50,0.22,0.11,0.25,18.4,0,0,0,1.1,1.1,0.13,-0.1,-0.1
Oliver Burke,sct SCO,FW,23,14.1,1,25,6,24.0,1.77,0.43,0.04,0.17,15.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1
Sander Berge,no NOR,MF,22,12.4,1,9,1,11.1,0.72,0.08,0.00,0.00,18.0,0,1,1,1.2,0.4,0.05,-0.2,-0.4
Oliver McBurnie,sct SCO,FW,24,14.7,1,30,12,40.0,2.04,0.82,0.03,0.08,12.5,0,0,0,3.9,3.9,0.13,-2.9,-2.9
Rhian Brewster,eng ENG,FWMF,20,12.5,0,24,7,29.2,1.91,0.56,0.00,0.00,21.8,1,0,0,1.8,1.8,0.07,-1.8,-1.8
Jayden Bogle,eng ENG,DFMF,20,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,13.1,0,0,0,1.9,1.9,0.11,+0.1,+0.1
Kean Bryan,eng ENG,DF,23,11.2,1,3,1,33.3,0.27,0.09,0.33,1.00,7.7,0,0,0,0.9,0.9,0.31,+0.1,+0.1
Jack Robinson,eng ENG,DF,26,9.7,0,6,0,0.0,0.62,0.00,0.00,,12.9,0,0,0,0.7,0.7,0.12,-0.7,-0.7
Billy Sharp,eng ENG,FW,34,8.2,3,7,4,57.1,0.86,0.49,0.14,0.25,16.5,0,2,2,3.0,1.5,0.21,0.0,-0.5
Max Lowe,eng ENG,DF,23,6.1,0,2,1,50.0,0.33,0.16,0.00,0.00,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Phil Jagielka,eng ENG,DF,37,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Jebbison,eng ENG,FW,17,3.2,1,4,2,50.0,1.27,0.63,0.25,0.50,11.7,0,0,0,1.1,1.1,0.29,-0.1,-0.1
Lys Mousset,fr FRA,FWMF,24,3.3,0,4,2,50.0,1.22,0.61,0.00,0.00,16.8,0,0,0,1.0,1.0,0.24,-1.0,-1.0
Jack O'Connell,eng ENG,DF,26,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Iliman Ndiaye,sn SEN,MF,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antwoine Hackford,eng ENG,DF,16,0.1,0,1,0,0.0,8.18,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Femi Seriki,eng ENG,MF,18,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26.7,38.0,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5
