Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
George Baldock,gr GRE,DF,26,38.0,71,1.87,54,5,6,0,6,0,6,0.16,4,0,1,0,1,0
Enda Stevens,ie IRL,DF,29,37.2,76,2.04,62,5,5,2,2,0,9,0.24,8,0,1,0,0,0
Chris Basham,eng ENG,DF,31,36.0,27,0.75,24,1,2,0,0,0,3,0.08,3,0,0,0,0,0
Oliver Norwood,nir NIR,MF,28,34.3,83,2.42,48,29,0,4,1,1,6,0.17,4,2,0,0,0,0
Dean Henderson,eng ENG,GK,22,36.0,5,0.14,2,3,0,0,0,0,1,0.03,0,1,0,0,0,0
John Egan,ie IRL,DF,26,35.4,11,0.31,6,0,0,5,0,0,1,0.03,0,0,0,1,0,0
Jack O'Connell,eng ENG,DF,25,32.4,29,0.90,26,0,0,2,1,0,2,0.06,2,0,0,0,0,0
John Fleck,sct SCO,MF,27,28.0,84,3.00,56,16,8,2,1,1,6,0.21,5,0,1,0,0,0
John Lundstram,eng ENG,MF,25,27.3,58,2.12,48,1,0,5,2,2,7,0.26,6,0,0,1,0,0
Oliver McBurnie,sct SCO,FW,23,23.5,31,1.32,21,0,2,7,1,0,2,0.09,0,0,0,2,0,0
David McGoldrick,ie IRL,FW,31,20.2,42,2.08,29,1,8,3,1,0,6,0.30,4,0,2,0,0,0
Sander Berge,no NOR,MF,21,10.5,7,0.67,5,0,1,1,0,0,2,0.19,1,0,1,0,0,0
Lys Mousset,fr FRA,FW,23,13.8,30,2.18,16,0,7,4,2,1,4,0.29,3,0,0,1,0,0
Billy Sharp,eng ENG,FW,33,11.7,31,2.65,22,0,5,1,3,0,2,0.17,2,0,0,0,0,0
Callum Robinson,ie IRL,FWMF,24,7.5,10,1.33,9,0,0,0,0,1,1,0.13,1,0,0,0,0,0
Ben Osborn,eng ENG,MFDF,24,6.6,14,2.12,12,0,0,1,1,0,4,0.61,3,0,0,1,0,0
Jack Robinson,eng ENG,DF,25,5.6,4,0.71,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Luke Freeman,eng ENG,MF,27,4.1,7,1.72,5,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Muhamed BeÅ¡iÄ,ba BIH,MF,26,2.8,6,2.16,6,0,0,0,0,0,1,0.36,1,0,0,0,0,0
Phil Jagielka,eng ENG,DF,36,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simon Moore,eng ENG,GK,29,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Richairo Å½ivkoviÄ,nl NED,FW,22,1.2,3,2.41,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Leon Clarke,eng ENG,FWMF,34,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jack Rodwell,eng ENG,MF,28,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ravel Morrison,jm JAM,MF,26,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kieron Freeman,wls WAL,FW,27,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Squad Total,,,26.9,38.0,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0
