Player,Nation,Pos,Age,90s,Tkl,TklWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Interceptions,Tkl+Int,Clearances,Errors
Emiliano MartÃ­nez,ar ARG,GK,27,38.0,3,3,3,0,0,3,4,75.0,1,0,0,0,2,5,10,2
Matt Targett,eng ENG,DF,24,37.8,83,39,52,20,11,56,88,63.6,32,40,14,26,55,138,102,1
John McGinn,sct SCO,MF,25,37.0,61,37,23,31,7,27,84,32.1,57,38,6,32,43,104,23,2
Ollie Watkins,eng ENG,FW,24,37.0,29,17,5,16,8,10,33,30.3,23,21,2,19,7,36,24,0
Tyrone Mings,eng ENG,DF,27,35.5,32,16,23,7,2,16,24,66.7,8,59,40,19,41,73,172,3
Ezri Konsa,eng ENG,DF,22,35.5,25,13,18,6,1,9,13,69.2,4,53,47,6,29,54,162,1
Douglas Luiz,br BRA,MF,22,30.9,49,18,22,26,1,20,58,34.5,38,52,17,35,43,92,44,2
Bertrand TraorÃ©,bf BFA,FW,24,25.7,26,10,8,10,8,10,34,29.4,24,23,1,22,15,41,14,1
Matty Cash,pl POL,DF,22,26.4,71,40,43,22,6,41,74,55.4,33,50,11,39,60,131,95,0
Jack Grealish,eng ENG,FWMF,24,24.3,31,14,8,16,7,15,24,62.5,9,20,3,17,12,43,5,3
Ross Barkley,eng ENG,MF,26,17.0,6,2,2,4,0,3,15,20.0,12,9,1,8,5,11,6,1
Anwar El Ghazi,nl NED,FW,25,17.9,16,13,6,7,3,7,23,30.4,16,11,0,11,6,22,11,0
TrÃ©zÃ©guet,eg EGY,FW,25,13.0,33,18,14,15,4,13,45,28.9,32,13,1,12,19,52,17,0
Marvelous Nakamba,zw ZIM,MF,26,8.3,22,14,10,11,1,7,12,58.3,5,16,5,11,17,39,9,1
Ahmed Elmohamady,eg EGY,DF,32,9.3,17,13,12,4,1,9,14,64.3,5,6,3,3,17,34,26,0
Kortney Hause,eng ENG,DF,25,7.0,4,2,3,1,0,0,3,0.0,3,4,2,2,8,12,53,0
Jacob Ramsey,eng ENG,MF,19,7.0,10,5,3,4,3,2,12,16.7,10,13,6,7,4,14,5,0
Morgan Sanson,fr FRA,MF,25,3.3,7,4,4,2,1,1,4,25.0,3,5,0,5,4,11,1,0
Conor Hourihane,ie IRL,MF,29,2.5,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,2,0
Keinan Davis,eng ENG,FWMF,22,3.1,2,1,1,0,1,0,1,0.0,1,1,0,1,0,2,2,0
Carney Chukwuemeka,eng ENG,MFFW,16,0.2,2,2,1,0,1,1,3,33.3,2,0,0,0,0,2,0,0
Wesley Moraes,br BRA,FW,23,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Neil Taylor,wls WAL,DF,31,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Jaden Philogene Bidace,eng ENG,FW,18,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,25.2,38.0,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17
