Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jack Grealish,eng ENG,FWMF,23,35.9,8,0,0,34,167,4,141,22,19,0,0,0,188,20,26,43.5
Tyrone Mings,eng ENG,DF,26,32.2,7,0,0,20,11,2,7,30,11,0,1,0,201,67,44,60.4
Douglas Luiz,br BRA,MF,21,29.0,8,0,0,51,36,0,24,36,24,0,1,0,205,30,35,46.2
John McGinn,sct SCO,MF,24,25.7,3,0,0,37,66,0,66,25,35,0,0,0,151,19,30,38.8
Matt Targett,eng ENG,DFMF,23,25.5,4,0,0,27,17,0,81,56,29,0,0,0,122,36,37,49.3
Anwar El Ghazi,nl NED,FWMF,24,22.8,3,0,0,20,17,12,107,13,11,0,0,0,75,31,57,35.2
Ezri Konsa,eng ENG,DF,21,22.7,3,0,0,17,32,1,13,25,9,0,1,0,100,47,45,51.1
Frederic Guilbert,fr FRA,DFMF,24,22.7,7,0,0,36,21,2,91,49,43,0,0,0,104,46,68,40.4
Wesley Moraes,br BRA,FW,22,19.8,3,0,0,43,14,14,7,4,8,0,0,0,26,69,88,43.9
TrÃ©zÃ©guet,eg EGY,FWMF,24,21.7,4,1,1,35,32,6,67,25,16,1,0,0,79,28,44,38.9
Tom Heaton,eng ENG,GK,33,19.9,0,0,0,1,2,0,0,0,2,0,1,1,7,6,0,100.0
Marvelous Nakamba,zw ZIM,MF,25,20.4,5,0,0,26,24,0,4,39,28,0,0,0,155,22,28,44.0
Conor Hourihane,ie IRL,MF,28,17.0,4,0,0,14,21,4,112,9,10,1,0,0,72,12,8,60.0
Kortney Hause,eng ENG,DF,24,17.2,3,0,0,24,9,1,0,20,9,0,0,0,109,99,35,73.9
BjÃ¶rn Engels,be BEL,DF,24,16.1,1,0,0,5,5,1,2,28,6,0,2,0,53,54,27,66.7
Pepe Reina,es ESP,GK,36,12.0,1,0,0,1,4,0,0,0,0,0,0,0,11,5,0,100.0
Neil Taylor,wls WAL,DF,30,12.1,2,0,0,8,6,0,9,20,11,0,0,0,56,9,15,37.5
Ahmed Elmohamady,eg EGY,DF,31,11.5,1,0,0,13,5,2,58,13,9,0,0,0,73,29,21,58.0
Mbwana Samatta,tz TAN,FW,26,10.5,1,0,0,9,18,8,3,1,4,0,0,0,24,40,72,35.7
Ãrjan Nyland,no NOR,GK,28,6.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Keinan Davis,eng ENG,FW,21,6.1,0,0,0,12,11,3,2,0,1,0,0,0,15,27,46,37.0
Jota,es ESP,FWMF,28,3.7,0,0,0,6,2,0,2,3,1,0,0,0,26,1,2,33.3
Danny Drinkwater,eng ENG,MF,29,2.9,1,0,0,7,1,0,1,5,3,0,0,0,30,0,4,0.0
Henri Lansbury,eng ENG,MF,28,2.2,0,0,0,4,1,0,1,0,2,0,0,0,10,2,5,28.6
Jed Steer,eng ENG,GK,26,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Kodjia,ci CIV,FW,29,1.3,1,0,0,1,2,0,0,0,0,0,0,0,2,6,3,66.7
Indiana Vassilev,us USA,FWMF,18,0.6,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,
Borja BastÃ³n,es ESP,MFFW,26,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Squad Total,,,25.7,38.0,70,1,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7
