Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Jack Grealish,eng ENG,FWMF,23,35.9,1219,1546,78.8,20682,5789,589,662,89.0,449,530,84.7,134,229,58.5,6,7.4,6.5,-1.4,91,102,68,7,139
Tyrone Mings,eng ENG,DF,26,32.2,1085,1400,77.5,23447,8851,290,329,88.1,624,680,91.8,158,355,44.5,2,0.7,0.4,+1.3,7,57,4,1,51
Douglas Luiz,br BRA,MF,21,29.0,1010,1243,81.3,19047,5276,400,460,87.0,454,536,84.7,131,191,68.6,2,1.7,1.6,+0.3,17,106,17,5,100
John McGinn,sct SCO,MF,24,25.7,600,794,75.6,12378,3698,219,258,84.9,252,305,82.6,112,172,65.1,3,2.5,2.4,+0.5,37,80,31,7,77
Matt Targett,eng ENG,DFMF,23,25.5,883,1229,71.8,14497,6305,485,543,89.3,305,421,72.4,75,193,38.9,2,2.6,2.8,-0.6,26,76,27,11,105
Anwar El Ghazi,nl NED,FWMF,24,22.8,390,607,64.3,5945,1595,234,294,79.6,93,160,58.1,39,80,48.8,4,2.7,1.9,+1.3,30,20,21,14,28
Ezri Konsa,eng ENG,DF,21,22.7,677,877,77.2,12291,4688,280,320,87.5,331,400,82.8,58,129,45.0,2,1.0,0.3,+1.0,11,42,5,5,35
Frederic Guilbert,fr FRA,DFMF,24,22.7,679,1046,64.9,11643,4660,355,445,79.8,242,365,66.3,68,169,40.2,2,1.5,0.9,+0.5,13,66,21,14,56
Wesley Moraes,br BRA,FW,22,19.8,265,379,69.9,3721,584,164,217,75.6,66,89,74.2,18,26,69.2,1,1.0,0.7,0.0,11,17,1,0,10
TrÃ©zÃ©guet,eg EGY,FWMF,24,21.7,291,441,66.0,4192,1096,174,210,82.9,80,137,58.4,21,46,45.7,1,1.0,1.2,0.0,21,19,13,7,28
Tom Heaton,eng ENG,GK,33,19.9,371,628,59.1,11773,9470,61,61,100.0,176,180,97.8,133,383,34.7,0,0.0,0.0,0.0,0,7,0,0,0
Marvelous Nakamba,zw ZIM,MF,25,20.4,663,793,83.6,10776,2708,332,376,88.3,274,308,89.0,43,69,62.3,0,0.5,0.5,-0.5,12,48,4,0,39
Conor Hourihane,ie IRL,MF,28,17.0,547,739,74.0,9334,3163,240,282,85.1,238,287,82.9,47,115,40.9,5,6.0,4.3,-1.0,38,52,16,4,50
Kortney Hause,eng ENG,DF,24,17.2,607,825,73.6,11420,4829,248,303,81.8,275,323,85.1,77,163,47.2,0,0.5,0.3,-0.5,2,44,1,0,36
BjÃ¶rn Engels,be BEL,DF,24,16.1,548,653,83.9,11293,4152,170,191,89.0,301,334,90.1,74,118,62.7,0,0.3,0.2,-0.3,2,46,1,1,35
Pepe Reina,es ESP,GK,36,12.0,281,399,70.4,9063,7064,36,36,100.0,112,115,97.4,132,244,54.1,0,0.0,0.0,0.0,1,4,0,0,0
Neil Taylor,wls WAL,DF,30,12.1,410,522,78.5,5944,2497,230,249,92.4,153,193,79.3,13,39,33.3,0,0.4,0.2,-0.4,5,22,4,1,29
Ahmed Elmohamady,eg EGY,DF,31,11.5,496,657,75.5,8552,3169,246,268,91.8,182,251,72.5,57,104,54.8,1,2.8,2.1,-1.8,22,44,25,18,37
Mbwana Samatta,tz TAN,FW,26,10.5,119,176,67.6,1547,235,76,99,76.8,27,50,54.0,9,10,90.0,0,0.6,0.2,-0.6,10,8,2,0,9
Ãrjan Nyland,no NOR,GK,28,6.0,105,182,57.7,3547,2893,8,9,88.9,52,55,94.5,45,117,38.5,0,0.0,0.0,0.0,0,3,0,0,1
Keinan Davis,eng ENG,FW,21,6.1,101,139,72.7,1190,176,79,99,79.8,15,25,60.0,3,3,100.0,0,0.2,0.1,-0.2,5,7,2,0,6
Jota,es ESP,FWMF,28,3.7,75,98,76.5,1213,475,43,48,89.6,22,33,66.7,9,12,75.0,1,0.6,0.6,+0.4,4,11,6,0,15
Danny Drinkwater,eng ENG,MF,29,2.9,138,169,81.7,2447,567,67,79,84.8,54,59,91.5,16,22,72.7,0,0.0,0.1,0.0,1,18,1,0,9
Henri Lansbury,eng ENG,MF,28,2.2,64,83,77.1,1163,215,29,33,87.9,25,36,69.4,8,10,80.0,0,0.1,0.2,-0.1,2,7,0,0,3
Jed Steer,eng ENG,GK,26,0.1,1,2,50.0,26,12,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Jonathan Kodjia,ci CIV,FW,29,1.3,15,27,55.6,183,3,12,16,75.0,3,5,60.0,0,2,0.0,0,0.1,0.1,-0.1,1,1,0,0,0
Indiana Vassilev,us USA,FWMF,18,0.6,8,12,66.7,89,4,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Borja BastÃ³n,es ESP,MFFW,26,0.2,4,6,66.7,75,25,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Squad Total,,,25.7,38.0,11652,15672,74.3,217478,84199,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,899
