Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
Jack Grealish,eng ENG,FWMF,23,36,3233,90,94.5,35.9,36,90,35,0,,0,0.97,39,63,-24,-0.67,+0.29,42.6,62.7,-20.1,-0.56,+1.07
Tyrone Mings,eng ENG,DF,26,33,2902,88,84.9,32.2,33,88,32,0,,0,0.97,36,53,-17,-0.53,+1.04,38.3,53.2,-14.9,-0.46,+1.03
Douglas Luiz,br BRA,MF,21,36,2612,73,76.4,29.0,28,87,24,8,20,1,0.94,29,51,-22,-0.76,-0.31,32.0,52.8,-20.8,-0.72,-0.42
John McGinn,sct SCO,MF,24,28,2312,83,67.6,25.7,27,84,21,1,31,0,0.89,29,41,-12,-0.47,+0.67,32.3,41.6,-9.3,-0.36,+0.79
Matt Targett,eng ENG,DFMF,23,28,2291,82,67.0,25.5,27,83,22,1,54,2,1.00,30,40,-10,-0.39,+0.88,31.7,45.3,-13.6,-0.54,+0.25
Anwar El Ghazi,nl NED,FWMF,24,34,2051,60,60.0,22.8,26,74,9,8,17,3,0.85,26,48,-22,-0.97,-0.70,29.8,42.3,-12.4,-0.55,+0.18
Ezri Konsa,eng ENG,DF,21,25,2039,82,59.6,22.7,24,84,19,1,16,13,1.08,23,39,-16,-0.71,-0.05,24.1,39.6,-15.5,-0.69,-0.17
Frederic Guilbert,fr FRA,DFMF,24,25,2041,82,59.7,22.7,22,88,19,3,35,6,1.04,29,36,-7,-0.31,+0.93,27.8,43.3,-15.4,-0.68,-0.15
Wesley Moraes,br BRA,FW,22,21,1782,85,52.1,19.8,21,85,13,0,,0,1.00,26,31,-5,-0.25,+0.90,23.9,38.4,-14.5,-0.73,-0.24
TrÃ©zÃ©guet,eg EGY,FWMF,24,34,1950,57,57.0,21.7,20,78,5,14,27,3,0.91,22,28,-6,-0.28,+0.95,20.6,37.7,-17.1,-0.79,-0.39
Tom Heaton,eng ENG,GK,33,20,1794,90,52.5,19.9,20,90,19,0,,0,1.05,26,35,-9,-0.45,+0.49,25.4,39.8,-14.4,-0.72,-0.22
Marvelous Nakamba,zw ZIM,MF,25,29,1836,63,53.7,20.4,19,83,10,10,27,5,0.93,24,37,-13,-0.64,+0.10,23.9,38.9,-15.0,-0.73,-0.25
Conor Hourihane,ie IRL,MF,28,27,1534,57,44.9,17.0,18,75,4,9,20,10,1.04,20,29,-9,-0.53,+0.28,21.4,26.3,-4.9,-0.29,+0.60
Kortney Hause,eng ENG,DF,24,18,1545,86,45.2,17.2,17,90,17,1,15,2,0.72,14,34,-20,-1.17,-0.88,17.8,30.7,-12.9,-0.75,-0.24
BjÃ¶rn Engels,be BEL,DF,24,17,1447,85,42.3,16.1,15,89,14,2,57,4,0.65,20,32,-12,-0.75,-0.11,21.7,32.9,-11.2,-0.70,-0.14
Pepe Reina,es ESP,GK,36,12,1080,90,31.6,12.0,12,90,12,0,,4,1.00,11,20,-9,-0.75,-0.10,12.1,19.8,-7.7,-0.64,-0.03
Neil Taylor,wls WAL,DF,30,14,1091,78,31.9,12.1,11,85,10,3,52,13,0.79,11,25,-14,-1.15,-0.69,12.2,20.2,-8.0,-0.66,-0.06
Ahmed Elmohamady,eg EGY,DF,31,18,1031,57,30.1,11.5,11,81,9,7,19,14,0.89,11,28,-17,-1.48,-1.14,12.4,24.5,-12.1,-1.06,-0.63
Mbwana Samatta,tz TAN,FW,26,14,943,67,27.6,10.5,11,79,5,3,24,0,0.71,7,18,-11,-1.05,-0.50,11.0,16.2,-5.1,-0.49,+0.18
Ãrjan Nyland,no NOR,GK,28,7,539,77,15.8,6.0,5,90,5,2,45,20,0.71,4,12,-8,-1.34,-0.77,6.7,8.1,-1.4,-0.23,+0.46
Keinan Davis,eng ENG,FW,21,18,548,30,16.0,6.1,4,70,0,14,19,3,0.83,6,7,-1,-0.16,+0.62,8.4,6.3,+2.1,+0.35,+1.15
Jota,es ESP,FWMF,28,10,335,34,9.8,3.7,4,61,0,6,15,11,0.70,1,5,-4,-1.07,-0.43,3.2,5.7,-2.5,-0.66,-0.04
Danny Drinkwater,eng ENG,MF,29,4,259,65,7.6,2.9,4,65,0,0,,3,1.00,2,9,-7,-2.43,-1.89,2.3,7.3,-4.9,-1.72,-1.19
Henri Lansbury,eng ENG,MF,28,10,195,20,5.7,2.2,2,69,0,8,7,19,1.00,2,6,-4,-1.85,-1.23,2.4,4.5,-2.1,-0.98,-0.38
Jed Steer,eng ENG,GK,26,1,7,7,0.2,0.1,1,7,0,0,,12,0.00,0,0,0,0.00,+0.69,0.0,0.1,-0.1,-0.72,-0.10
Jonathan Kodjia,ci CIV,FW,29,6,117,20,3.4,1.3,0,,0,6,20,6,0.50,1,6,-5,-3.85,-3.27,1.9,4.3,-2.4,-1.82,-1.25
Indiana Vassilev,us USA,FWMF,18,4,51,13,1.5,0.6,0,,0,4,13,8,1.00,2,1,+1,+1.76,+2.49,0.7,1.1,-0.4,-0.72,-0.10
Borja BastÃ³n,es ESP,MFFW,26,2,18,9,0.5,0.2,0,,0,2,9,3,0.00,0,2,-2,-10.00,-9.37,0.0,1.3,-1.3,-6.33,-5.74
James Chester,wls WAL,DF,30,0,,,,,0,,0,0,,6,,,,,,,,,,,
Kaine Hayden,eng ENG,DF,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
Lovre KaliniÄ,hr CRO,GK,29,0,,,,,0,,0,0,,1,,,,,,,,,,,
Squad Total,,,25.7,38,3420,90,100,38.0,418,84,,113,22,173,0.92,41,67,-26,-0.68,,44.3,67.8,-23.5,-0.62,
