Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Emiliano MartÃ­nez,ar ARG,GK,27,38,3420,90,100.0,38.0,38,90,38,0,,0,1.45,55,46,+9,+0.24,,52.5,51.1,+1.4,+0.04,
Matt Targett,eng ENG,DF,24,38,3404,90,99.5,37.8,38,90,37,0,,0,1.45,55,44,+11,+0.29,+11.54,52.4,50.3,+2.2,+0.06,+4.15
John McGinn,sct SCO,MF,25,37,3330,90,97.4,37.0,37,90,37,0,,0,1.41,53,46,+7,+0.19,-1.81,50.3,50.6,-0.4,-0.01,-1.80
Ollie Watkins,eng ENG,FW,24,37,3328,90,97.3,37.0,37,90,36,0,,0,1.46,55,46,+9,+0.24,+0.24,51.9,50.1,+1.9,+0.05,+0.49
Tyrone Mings,eng ENG,DF,27,36,3194,89,93.4,35.5,36,89,35,0,,0,1.50,50,42,+8,+0.23,-0.17,48.7,47.0,+1.6,+0.05,+0.12
Ezri Konsa,eng ENG,DF,22,36,3196,89,93.5,35.5,35,90,35,1,46,0,1.42,51,46,+5,+0.14,-1.47,46.6,50.4,-3.8,-0.11,-2.20
Douglas Luiz,br BRA,MF,22,33,2781,84,81.3,30.9,32,86,21,1,18,4,1.36,43,41,+2,+0.06,-0.92,39.9,42.6,-2.7,-0.09,-0.66
Bertrand TraorÃ©,bf BFA,FW,24,36,2317,64,67.7,25.7,29,74,6,7,25,0,1.36,32,31,+1,+0.04,-0.61,33.8,33.2,+0.6,+0.02,-0.04
Matty Cash,pl POL,DF,22,28,2372,85,69.4,26.4,28,85,22,0,,1,1.50,42,35,+7,+0.27,+0.09,35.9,35.1,+0.8,+0.03,-0.02
Jack Grealish,eng ENG,FWMF,24,26,2185,84,63.9,24.3,24,89,22,2,23,0,1.65,40,28,+12,+0.49,+0.71,36.3,33.4,+2.9,+0.12,+0.23
Ross Barkley,eng ENG,MF,26,24,1531,64,44.8,17.0,18,77,6,6,26,4,1.08,26,24,+2,+0.12,-0.22,22.5,24.0,-1.5,-0.09,-0.22
Anwar El Ghazi,nl NED,FW,25,28,1613,58,47.2,17.9,17,81,6,11,21,6,1.25,23,22,+1,+0.06,-0.34,26.4,23.7,+2.7,+0.15,+0.21
TrÃ©zÃ©guet,eg EGY,FW,25,21,1166,56,34.1,13.0,12,80,2,9,23,2,1.43,24,14,+10,+0.77,+0.81,16.9,17.2,-0.3,-0.02,-0.09
Marvelous Nakamba,zw ZIM,MF,26,13,749,58,21.9,8.3,9,81,5,4,4,25,2.15,10,6,+4,+0.48,+0.31,10.8,10.1,+0.6,+0.08,+0.05
Ahmed Elmohamady,eg EGY,DF,32,14,839,60,24.5,9.3,8,90,8,6,20,24,1.07,9,9,0,0.00,-0.31,14.7,11.9,+2.7,+0.29,+0.34
Kortney Hause,eng ENG,DF,25,7,630,90,18.4,7.0,7,90,7,0,,10,2.00,13,6,+7,+1.00,+0.94,12.3,8.8,+3.5,+0.49,+0.56
Jacob Ramsey,eng ENG,MF,19,22,626,28,18.3,7.0,6,70,0,16,13,8,1.45,9,10,-1,-0.14,-0.47,10.0,10.1,-0.1,-0.01,-0.06
Morgan Sanson,fr FRA,MF,25,9,294,33,8.6,3.3,3,64,0,6,17,2,1.00,2,4,-2,-0.61,-0.93,3.1,5.4,-2.4,-0.72,-0.83
Conor Hourihane,ie IRL,MF,29,4,225,56,6.6,2.5,3,70,0,1,16,11,1.50,4,2,+2,+0.80,+0.60,3.6,2.1,+1.4,+0.57,+0.57
Keinan Davis,eng ENG,FWMF,22,15,277,18,8.1,3.1,1,90,1,14,13,18,0.93,5,1,+4,+1.30,+1.16,5.1,2.2,+2.9,+0.93,+0.98
Carney Chukwuemeka,eng ENG,MFFW,16,2,20,10,0.6,0.2,0,,0,2,10,5,3.00,0,0,0,0.00,-0.24,0.0,0.8,-0.7,-3.30,-3.36
Wesley Moraes,br BRA,FW,23,3,18,6,0.5,0.2,0,,0,3,6,4,0.33,1,1,0,0.00,-0.24,1.3,0.3,+0.9,+4.84,+4.82
Neil Taylor,wls WAL,DF,31,1,16,16,0.5,0.2,0,,0,1,16,26,0.00,0,2,-2,-11.25,-11.54,0.1,0.8,-0.7,-4.09,-4.15
Jaden Philogene Bidace,eng ENG,FW,18,1,1,1,0.0,0.0,0,,0,1,1,6,3.00,0,0,0,0.00,-0.24,0.0,0.0,0.0,+3.33,+3.29
BjÃ¶rn Engels,be BEL,DF,25,0,,,,,0,,,0,,23,,,,,,,,,,,
Frederic Guilbert,fr FRA,DFMF,25,0,,,,,0,,,0,,8,,,,,,,,,,,
Kaine Hayden,eng ENG,DF,17,0,,,,,0,,,0,,2,,,,,,,,,,,
Tom Heaton,eng ENG,GK,34,0,,,,,0,,,0,,23,,,,,,,,,,,
Kaine Kessler,eng ENG,DFMF,17,0,,,,,0,,,0,,2,,,,,,,,,,,
Jed Steer,eng ENG,GK,27,0,,,,,0,,,0,,15,,,,,,,,,,,
Squad Total,,,25.2,38,3420,90,100,38.0,418,86,324,91,17,229,1.45,55,46,+9,+0.24,,52.5,51.1,+1.4,+0.04,
