Player,Nation,Pos,Age,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Jack Grealish,eng ENG,FWMF,23,35.9,197,5.48,135,20,14,2,25,1,18,0.50,12,1,2,0,3,0
Tyrone Mings,eng ENG,DF,26,32.2,17,0.53,16,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Douglas Luiz,br BRA,MF,21,29.0,54,1.86,44,1,3,2,3,1,3,0.10,3,0,0,0,0,0
John McGinn,sct SCO,MF,24,25.7,92,3.58,68,9,8,2,3,2,9,0.35,6,2,0,0,1,0
Matt Targett,eng ENG,DFMF,23,25.5,60,2.36,48,8,0,1,1,2,5,0.20,4,0,0,1,0,0
Anwar El Ghazi,nl NED,FWMF,24,22.8,59,2.59,39,7,5,5,3,0,6,0.26,4,0,2,0,0,0
Ezri Konsa,eng ENG,DF,21,22.7,15,0.66,9,1,1,2,2,0,1,0.04,0,0,0,1,0,0
Frederic Guilbert,fr FRA,DFMF,24,22.7,39,1.72,33,5,0,1,0,0,5,0.22,4,1,0,0,0,0
Wesley Moraes,br BRA,FW,22,19.8,32,1.62,25,0,2,4,1,0,3,0.15,3,0,0,0,0,0
TrÃ©zÃ©guet,eg EGY,FWMF,24,21.7,55,2.54,32,4,7,7,5,0,4,0.18,1,0,1,0,2,0
Tom Heaton,eng ENG,GK,33,19.9,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvelous Nakamba,zw ZIM,MF,25,20.4,23,1.13,22,1,0,0,0,0,1,0.05,1,0,0,0,0,0
Conor Hourihane,ie IRL,MF,28,17.0,61,3.58,29,26,0,3,3,0,7,0.41,3,4,0,0,0,0
Kortney Hause,eng ENG,DF,24,17.2,8,0.47,7,0,0,1,0,0,1,0.06,0,0,0,1,0,0
BjÃ¶rn Engels,be BEL,DF,24,16.1,11,0.68,10,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Pepe Reina,es ESP,GK,36,12.0,2,0.17,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Neil Taylor,wls WAL,DF,30,12.1,9,0.74,9,0,0,0,0,0,2,0.16,2,0,0,0,0,0
Ahmed Elmohamady,eg EGY,DF,31,11.5,36,3.14,33,3,0,0,0,0,1,0.09,1,0,0,0,0,0
Mbwana Samatta,tz TAN,FW,26,10.5,17,1.62,11,0,1,1,3,1,0,0.00,0,0,0,0,0,0
Ãrjan Nyland,no NOR,GK,28,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Keinan Davis,eng ENG,FW,21,6.1,18,2.96,9,0,1,4,4,0,3,0.49,1,0,0,1,1,0
Jota,es ESP,FWMF,28,3.7,9,2.42,8,0,0,0,1,0,1,0.27,1,0,0,0,0,0
Danny Drinkwater,eng ENG,MF,29,2.9,4,1.39,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Henri Lansbury,eng ENG,MF,28,2.2,2,0.93,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jed Steer,eng ENG,GK,26,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jonathan Kodjia,ci CIV,FW,29,1.3,4,3.05,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Indiana Vassilev,us USA,FWMF,18,0.6,1,1.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Borja BastÃ³n,es ESP,MFFW,26,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Squad Total,,,25.7,38.0,827,21.76,599,87,42,36,56,7,72,1.89,48,8,5,4,7,0
