Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%
Conor Coady,eng ENG,DF,25,38.0,5,0,0,10,9,0,0,30,19,0,0,3,251,32,23,58.2
Rui PatrÃ­cio,pt POR,GK,30,37.0,1,0,0,0,1,0,0,1,0,0,0,0,36,6,1,85.7
Willy Boly,ci CIV,DF,27,35.2,2,1,0,29,14,3,0,72,52,0,0,0,213,136,62,68.7
RaÃºl JimÃ©nez,mx MEX,FW,27,34.6,4,0,0,42,38,33,27,26,18,1,0,0,139,77,104,42.5
Matt Doherty,ie IRL,DFMF,26,34.9,5,0,0,30,21,3,62,60,42,2,0,1,166,145,101,58.9
JoÃ£o Moutinho,pt POR,MF,31,33.7,4,0,0,53,37,0,196,40,58,0,1,0,264,19,40,32.2
Ryan Bennett,eng ENG,DF,28,34.0,12,0,0,37,11,1,1,43,32,0,2,0,133,119,93,56.1
RÃºben Neves,pt POR,MF,21,33.4,8,0,0,37,18,0,26,73,32,0,0,0,286,28,35,44.4
Jonny Castro,es ESP,DFMF,24,30.8,6,0,0,23,34,5,46,60,43,1,0,0,171,38,50,43.2
Diogo Jota,pt POR,FWMF,21,26.2,11,0,0,42,55,6,36,13,16,0,0,0,138,27,68,28.4
Leander Dendoncker,be BEL,MF,23,16.3,1,0,0,11,11,1,7,23,26,0,0,0,92,56,53,51.4
HÃ©lder Costa,ao ANG,FWMF,24,14.9,3,0,0,20,23,6,50,9,14,0,0,0,76,10,35,22.2
Romain SaÃ¯ss,ma MAR,MFDF,28,12.8,7,0,0,27,8,0,9,26,26,0,0,0,82,57,28,67.1
Adama TraorÃ©,es ESP,FWMF,22,10.0,1,0,0,15,26,6,35,6,13,0,0,0,54,22,35,38.6
RÃºben Vinagre,pt POR,DFMF,19,7.9,1,0,0,12,8,1,52,14,9,0,0,0,54,9,17,34.6
Ivan Cavaleiro,pt POR,FWMF,24,7.7,1,0,0,13,5,6,54,4,4,0,1,0,31,9,22,29.0
Morgan Gibbs-White,eng ENG,MFFW,18,7.4,1,0,0,8,6,2,17,1,3,0,0,0,42,12,18,40.0
John Ruddy,eng ENG,GK,31,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LÃ©o Bonatini,br BRA,FW,24,1.5,0,0,0,0,0,0,4,0,1,0,0,0,11,1,3,25.0
Max Kilman,eng ENG,DF,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Will Norris,eng ENG,GK,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,26.1,38.0,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5
