Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Conor Coady,eng ENG,DF,26,38,3420,90,100.0,38.0,38,90,38,0,,0,1.55,51,40,+11,+0.29,,54.1,38.0,+16.1,+0.42,
Rui PatrÃ­cio,pt POR,GK,31,38,3420,90,100.0,38.0,38,90,38,0,,0,1.55,51,40,+11,+0.29,,54.1,38.0,+16.1,+0.42,
RaÃºl JimÃ©nez,mx MEX,FW,28,38,3236,85,94.6,36.0,37,87,20,1,19,0,1.55,48,36,+12,+0.33,+0.82,50.2,32.7,+17.5,+0.49,+1.15
RÃºben Neves,pt POR,MF,22,38,3056,80,89.4,34.0,35,85,27,3,25,0,1.55,48,35,+13,+0.38,+0.88,49.1,33.5,+15.6,+0.46,+0.33
JoÃ£o Moutinho,pt POR,MF,32,38,3108,82,90.9,34.5,34,89,30,4,22,0,1.55,46,36,+10,+0.29,0.00,47.6,35.0,+12.6,+0.37,-0.64
Jonny Castro,es ESP,MFDF,25,35,2887,82,84.4,32.1,33,87,27,2,12,1,1.57,42,35,+7,+0.22,-0.46,43.8,33.0,+10.8,+0.34,-0.56
Matt Doherty,ie IRL,MFDF,27,36,2839,79,83.0,31.5,32,85,26,4,31,1,1.64,45,31,+14,+0.44,+0.91,46.9,29.5,+17.4,+0.55,+0.76
Leander Dendoncker,be BEL,MFDF,24,38,2795,74,81.7,31.1,32,85,27,6,14,0,1.55,41,34,+7,+0.23,-0.35,43.9,29.6,+14.3,+0.46,+0.21
Romain SaÃ¯ss,ma MAR,DF,29,33,2705,82,79.1,30.1,31,86,28,2,22,2,1.58,41,34,+7,+0.23,-0.27,45.9,28.0,+17.8,+0.59,+0.81
Adama TraorÃ©,es ESP,FWDF,23,37,2605,70,76.2,28.9,27,86,18,10,29,1,1.57,44,33,+11,+0.38,+0.38,43.7,28.6,+15.1,+0.52,+0.41
Diogo Jota,pt POR,FW,22,34,2284,67,66.8,25.4,27,78,6,7,26,0,1.44,26,28,-2,-0.08,-1.11,33.1,25.4,+7.7,+0.30,-0.36
Willy Boly,ci CIV,DF,28,22,1979,90,57.9,22.0,22,90,21,0,,1,1.64,26,15,+11,+0.50,+0.50,28.3,21.1,+7.2,+0.33,-0.23
Pedro Neto,pt POR,FWMF,19,29,939,32,27.5,10.4,9,69,1,20,16,6,1.69,19,12,+7,+0.67,+0.53,17.1,11.8,+5.3,+0.51,+0.12
Ryan Bennett,eng ENG,DF,29,11,606,55,17.7,6.7,7,74,5,4,22,5,1.45,6,9,-3,-0.45,-0.89,7.1,8.6,-1.6,-0.23,-0.80
RÃºben Vinagre,pt POR,MFDF,20,16,652,41,19.1,7.2,6,86,4,10,14,18,1.50,10,6,+4,+0.55,+0.32,11.8,6.3,+5.5,+0.76,+0.41
Patrick Cutrone,it ITA,FW,21,12,297,25,8.7,3.3,3,65,0,9,11,8,1.67,6,6,0,0.00,-0.32,5.5,6.2,-0.7,-0.22,-0.71
Daniel Podence,pt POR,FWMF,23,9,289,32,8.5,3.2,3,70,0,6,13,4,1.78,4,0,+4,+1.25,+1.04,5.6,1.8,+3.8,+1.18,+0.83
Max Kilman,eng ENG,DF,22,3,185,62,5.4,2.1,2,90,2,1,5,30,1.33,1,2,-1,-0.49,-0.82,1.8,2.9,-1.1,-0.53,-1.01
JesÃºs Vallejo,es ESP,DF,22,2,163,82,4.8,1.8,1,90,1,1,73,10,0.50,3,6,-3,-1.66,-2.04,2.6,4.0,-1.4,-0.80,-1.28
Morgan Gibbs-White,eng ENG,MFFW,19,7,129,18,3.8,1.4,1,66,0,6,11,19,1.43,2,2,0,0.00,-0.30,2.4,3.1,-0.8,-0.53,-0.99
Bruno JordÃ£o,pt POR,FW,20,1,7,7,0.2,0.1,0,,0,1,7,11,0.00,0,0,0,0.00,-0.29,0.1,0.2,-0.1,-1.17,-1.60
Bernard Ashley-Seal,eng ENG,FW,20,0,,,,,0,,0,0,,6,,,,,,,,,,,
Oskar Buur,dk DEN,DFMF,21,0,,,,,0,,0,0,,15,,,,,,,,,,,
Leonardo Campana,ec ECU,FW,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
Luke Cundle,eng ENG,MF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ryan John Giles,eng ENG,DFMF,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
Owen Otasowie,us USA,MF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
Taylor Perry,eng ENG,MF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
John Ruddy,eng ENG,GK,32,0,,,,,0,,0,0,,38,,,,,,,,,,,
Squad Total,,,26.6,38,3420,90,100,38.0,418,86,,97,19,187,1.55,51,40,+11,+0.29,,54.1,38.0,+16.1,+0.42,
