Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Conor Coady,eng ENG,DF,26.0,36,30,6,0,15,30,50.0,15,22,15,7,64,119,2,5,0,0,17,7,0,0,0,1,0,244,33,24,57.9,1573,1853,84.9,38135,17275,329,357,92.2,848,912,93.0,383,552,69.4,0,0.5,0.6,-0.5,5,112,7,0,56,38,3420.0,90.0,100.0,38,90.0,38.0,0,,0,1.55,51.0,40.0,11.0,0.29,,54.1,38.0,16.1,0.42,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,21,0.55,21,0,0,0,0,0,1,0.03,1,0,0,0,0,0
RaÃºl JimÃ©nez,mx MEX,FW,28.0,20,6,10,4,3,31,9.7,28,26,0,26,36,34,1,3,0,0,39,35,18,28,1,0,0,82,86,117,42.4,730,1031,70.8,10233,2468,420,515,81.6,169,234,72.2,67,109,61.5,6,7.0,5.1,-1.0,48,67,25,3,69,38,3236.0,85.0,94.6,37,87.0,20.0,1,19.0,0,1.55,48.0,36.0,12.0,0.33,0.82,50.2,32.7,17.5,0.49,1.15,17,114,39,34.2,3.17,1.08,0.11,0.33,15.5,0,4,4,16.6,13.4,0.12,0.4,-0.4,97,2.7,64,1,13,9,7,3,13,0.36,8,0,2,1,2,0
RÃºben Neves,pt POR,MF,22.0,62,27,32,3,34,86,39.5,52,38,9,29,118,34,1,9,0,0,29,16,0,34,0,0,0,303,28,27,50.9,1635,2070,79.0,34616,9325,523,618,84.6,752,878,85.6,324,487,66.5,2,2.2,1.6,-0.2,29,194,23,6,141,38,3056.0,80.0,89.4,35,85.0,27.0,3,25.0,0,1.55,48.0,35.0,13.0,0.38,0.88,49.1,33.5,15.6,0.46,0.33,2,61,10,16.4,1.8,0.29,0.03,0.2,28.0,7,0,0,2.0,2.0,0.03,0.0,0.0,76,2.24,61,1,3,6,1,4,3,0.09,2,0,0,1,0,0
JoÃ£o Moutinho,pt POR,MF,32.0,93,43,41,9,46,139,33.1,93,43,13,30,143,18,1,7,0,0,40,25,3,221,0,0,0,248,19,26,42.2,1647,2071,79.5,32707,8779,584,665,87.8,729,850,85.8,274,436,62.8,6,7.9,6.0,-1.9,77,155,29,11,145,38,3108.0,82.0,90.9,34,89.0,30.0,4,22.0,0,1.55,46.0,36.0,10.0,0.29,0.0,47.6,35.0,12.6,0.37,-0.64,1,22,6,27.3,0.64,0.17,0.05,0.17,25.0,4,0,0,0.9,0.9,0.04,0.1,0.1,125,3.62,68,56,0,1,0,0,10,0.29,7,3,0,0,0,0
Jonny Castro,es ESP,MFDF,25.0,91,54,26,11,29,82,35.4,53,45,10,35,144,45,2,4,0,0,34,28,2,54,1,0,0,158,35,50,41.2,1177,1451,81.1,15340,5071,731,810,90.2,333,426,78.2,38,68,55.9,2,1.3,1.3,0.7,23,47,16,6,63,35,2887.0,82.0,84.4,33,87.0,27.0,2,12.0,1,1.57,42.0,35.0,7.0,0.22,-0.46,43.8,33.0,10.8,0.34,-0.56,2,18,5,27.8,0.56,0.16,0.11,0.4,19.0,0,0,0,1.6,1.6,0.09,0.4,0.4,64,2.0,51,3,1,0,3,6,7,0.22,5,1,0,0,1,0
Matt Doherty,ie IRL,MFDF,27.0,55,34,17,4,27,41,65.9,14,34,4,30,95,52,1,1,0,0,28,18,3,45,1,1,0,160,132,96,57.9,1392,1854,75.1,20176,8073,817,961,85.0,428,597,71.7,83,148,56.1,3,2.2,2.1,0.8,21,83,24,7,129,36,2839.0,79.0,83.0,32,85.0,26.0,4,31.0,1,1.64,45.0,31.0,14.0,0.44,0.91,46.9,29.5,17.4,0.55,0.76,4,35,15,42.9,1.11,0.48,0.11,0.27,11.2,0,0,0,6.9,6.9,0.2,-2.9,-2.9,63,2.0,44,1,6,10,2,0,14,0.44,6,0,3,4,1,0
Leander Dendoncker,be BEL,MFDF,24.0,68,41,19,8,28,67,41.8,39,39,12,27,106,64,2,5,0,0,31,9,0,8,0,1,1,152,94,82,53.4,1108,1339,82.7,19473,4802,461,552,83.5,501,568,88.2,104,124,83.9,0,0.7,0.5,-0.7,9,46,3,1,48,38,2795.0,74.0,81.7,32,85.0,27.0,6,14.0,0,1.55,41.0,34.0,7.0,0.23,-0.35,43.9,29.6,14.3,0.46,0.21,4,20,5,25.0,0.64,0.16,0.2,0.8,14.7,0,0,0,1.8,1.8,0.09,2.2,2.2,23,0.74,21,0,0,1,0,1,1,0.03,1,0,0,0,0,0
Romain SaÃ¯ss,ma MAR,DF,29.0,55,37,15,3,32,46,69.6,14,31,16,15,110,127,3,12,1,1,43,24,2,9,0,0,0,185,119,68,63.6,1285,1649,77.9,25611,9820,439,505,86.9,655,774,84.6,171,313,54.6,1,1.3,0.4,-0.3,12,113,6,1,97,33,2705.0,82.0,79.1,31,86.0,28.0,2,22.0,2,1.58,41.0,34.0,7.0,0.23,-0.27,45.9,28.0,17.8,0.59,0.81,2,24,8,33.3,0.8,0.27,0.08,0.25,13.1,2,0,0,3.4,3.4,0.14,-1.4,-1.4,30,1.0,24,1,1,3,0,1,2,0.07,1,0,0,1,0,0
Adama TraorÃ©,es ESP,FWDF,23.0,33,6,14,13,8,23,34.8,15,19,3,16,46,14,2,1,0,0,39,77,6,183,0,0,0,118,45,52,46.4,614,952,64.5,9406,2530,335,425,78.8,202,311,65.0,41,97,42.3,9,6.6,6.5,2.4,48,55,41,28,61,37,2605.0,70.0,76.2,27,86.0,18.0,10,29.0,1,1.57,44.0,33.0,11.0,0.38,0.38,43.7,28.6,15.1,0.52,0.41,4,43,12,27.9,1.49,0.41,0.09,0.33,19.8,0,0,0,3.8,3.8,0.09,0.2,0.2,111,3.83,67,0,31,1,10,2,15,0.52,11,0,3,0,1,0
Diogo Jota,pt POR,FW,22.0,28,16,10,2,12,48,25.0,36,17,0,17,37,10,2,4,0,0,42,61,3,38,0,0,0,123,28,52,35.0,682,886,77.0,9768,1810,377,444,84.9,212,262,80.9,39,54,72.2,1,2.7,1.9,-1.7,29,41,20,4,53,34,2284.0,67.0,66.8,27,78.0,6.0,7,26.0,0,1.44,26.0,28.0,-2.0,-0.08,-1.11,33.1,25.4,7.7,0.3,-0.36,7,69,26,37.7,2.72,1.02,0.1,0.27,14.2,0,0,0,11.5,11.5,0.17,-4.5,-4.5,102,4.02,56,0,15,13,17,1,7,0.28,5,0,0,1,1,0
Willy Boly,ci CIV,DF,28.0,57,36,21,0,25,43,58.1,18,28,11,17,96,108,3,3,1,1,24,8,1,2,0,0,0,117,86,29,74.8,798,991,80.5,13716,5643,358,394,90.9,370,425,87.1,54,126,42.9,1,1.1,0.5,-0.1,7,39,3,0,40,22,1979.0,90.0,57.9,22,90.0,21.0,0,,1,1.64,26.0,15.0,11.0,0.5,0.5,28.3,21.1,7.2,0.33,-0.23,0,5,3,60.0,0.23,0.14,0.0,0.0,11.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,13,0.59,13,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Pedro Neto,pt POR,FWMF,19.0,9,3,6,0,4,15,26.7,11,2,0,2,15,4,0,3,0,0,14,16,4,48,0,0,0,53,6,24,20.0,303,400,75.8,4375,773,168,198,84.8,86,111,77.5,20,36,55.6,3,2.6,1.7,0.4,14,9,7,4,17,29,939.0,32.0,27.5,9,69.0,1.0,20,16.0,6,1.69,19.0,12.0,7.0,0.67,0.53,17.1,11.8,5.3,0.51,0.12,3,17,6,35.3,1.63,0.58,0.18,0.5,16.9,0,0,0,2.2,2.2,0.13,0.8,0.8,34,3.26,20,5,7,0,2,0,5,0.48,4,1,0,0,0,0
Ryan Bennett,eng ENG,DF,29.0,4,4,0,0,2,6,33.3,4,14,8,6,13,29,0,2,0,0,4,1,0,4,0,0,0,32,20,13,60.6,182,245,74.3,3384,1337,71,78,91.0,83,104,79.8,20,51,39.2,0,0.1,0.3,-0.1,2,17,2,1,13,11,606.0,55.0,17.7,7,74.0,5.0,4,22.0,5,1.45,6.0,9.0,-3.0,-0.45,-0.89,7.1,8.6,-1.6,-0.23,-0.8,0,1,0,0.0,0.15,0.0,0.0,,10.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,8,1.19,6,2,0,0,0,0,1,0.15,0,1,0,0,0,0
RÃºben Vinagre,pt POR,MFDF,20.0,23,15,6,2,12,15,80.0,3,7,2,5,34,22,0,1,0,0,7,8,0,30,0,0,0,45,7,10,41.2,255,342,74.6,3595,1129,168,191,88.0,72,98,73.5,11,26,42.3,0,0.6,0.6,-0.6,4,11,8,8,2,16,652.0,41.0,19.1,6,86.0,4.0,10,14.0,18,1.5,10.0,6.0,4.0,0.55,0.32,11.8,6.3,5.5,0.76,0.41,0,5,0,0.0,0.69,0.0,0.0,,13.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,10,1.38,8,0,1,0,1,0,1,0.14,1,0,0,0,0,0
Patrick Cutrone,it ITA,FW,21.0,4,2,1,1,1,5,20.0,4,1,1,0,6,1,0,0,0,0,5,9,4,6,0,0,0,14,8,20,28.6,42,65,64.6,474,79,24,33,72.7,11,17,64.7,0,5,0.0,0,0.3,0.4,-0.3,2,2,1,1,1,12,297.0,25.0,8.7,3,65.0,0.0,9,11.0,8,1.67,6.0,6.0,0.0,0.0,-0.32,5.5,6.2,-0.7,-0.22,-0.71,2,11,4,36.4,3.33,1.21,0.18,0.5,13.8,0,0,0,2.2,2.2,0.2,-0.2,-0.2,5,1.52,2,0,0,2,1,0,0,0.0,0,0,0,0,0,0
Daniel Podence,pt POR,FWMF,23.0,3,2,0,1,0,2,0.0,2,4,1,3,5,1,0,0,0,0,5,9,3,5,1,0,0,12,0,6,0.0,70,101,69.3,954,172,34,42,81.0,23,35,65.7,3,8,37.5,0,0.7,0.2,-0.7,5,6,4,1,4,9,289.0,32.0,8.5,3,70.0,0.0,6,13.0,4,1.78,4.0,0.0,4.0,1.25,1.04,5.6,1.8,3.8,1.18,0.83,1,10,3,30.0,3.11,0.93,0.1,0.33,14.0,0,0,0,1.2,1.2,0.12,-0.2,-0.2,10,3.11,6,0,1,1,2,0,2,0.62,0,0,1,0,1,0
Max Kilman,eng ENG,DF,22.0,4,1,3,0,2,2,100.0,0,1,1,0,8,7,0,0,0,0,2,0,0,0,0,0,0,9,12,9,57.1,78,102,76.5,1275,537,33,36,91.7,42,51,82.4,2,8,25.0,0,0.0,0.0,0.0,0,4,0,0,9,3,185.0,62.0,5.4,2,90.0,2.0,1,5.0,30,1.33,1.0,2.0,-1.0,-0.49,-0.82,1.8,2.9,-1.1,-0.53,-1.01,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
JesÃºs Vallejo,es ESP,DF,22.0,1,1,0,0,1,2,50.0,1,4,3,1,3,8,1,1,0,0,2,1,0,1,0,0,0,11,5,3,62.5,92,119,77.3,1813,669,33,36,91.7,41,47,87.2,15,31,48.4,0,0.0,0.0,0.0,0,7,1,1,5,2,163.0,82.0,4.8,1,90.0,1.0,1,73.0,10,0.5,3.0,6.0,-3.0,-1.66,-2.04,2.6,4.0,-1.4,-0.8,-1.28,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Morgan Gibbs-White,eng ENG,MFFW,19.0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,6,4,2,66.7,64,83,77.1,962,230,32,37,86.5,26,33,78.8,2,6,33.3,0,0.1,0.1,-0.1,3,3,2,0,5,7,129.0,18.0,3.8,1,66.0,0.0,6,11.0,19,1.43,2.0,2.0,0.0,0.0,-0.3,2.4,3.1,-0.8,-0.53,-0.99,0,2,0,0.0,1.4,0.0,0.0,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,4,2.79,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bruno JordÃ£o,pt POR,FW,20.0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,4,6,66.7,77,34,1,2,50.0,3,3,100.0,0,0,,0,0.1,0.2,-0.1,1,0,1,0,1,1,7.0,7.0,0.2,0,,0.0,1,7.0,11,0.0,0.0,0.0,0.0,0.0,-0.29,0.1,0.2,-0.1,-1.17,-1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.6,646,358,227,61,281,685,41.0,404,378,109,269,1083,702,23,61,2,2,407,360,49,718,4,3,1,2113,775,711,52.2,14298,18474,77.4,266628,97031,5979,6942,86.1,5777,6928,83.4,1985,3308,60.0,34,37.5,30.0,-3.5,339,1015,223,83,959,38,3420.0,90.0,100.0,418,86.0,,97,19.0,187,1.55,51.0,40.0,11.0,0.29,,54.1,38.0,16.1,0.42,,49,457,142,31.1,12.03,3.74,0.1,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0
