Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Conor Coady,eng ENG,DF,25,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rui PatrÃ­cio,pt POR,GK,30,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Willy Boly,ci CIV,DF,27,35.2,4,24,6,25.0,0.68,0.17,0.17,0.67,11.0,0,0,0,3.6,3.6,0.15,+0.4,+0.4
RaÃºl JimÃ©nez,mx MEX,FW,27,34.6,13,109,31,28.4,3.15,0.90,0.10,0.35,14.6,0,2,2,15.1,13.6,0.13,-2.1,-2.6
Matt Doherty,ie IRL,DFMF,26,34.9,4,46,17,37.0,1.32,0.49,0.09,0.24,12.9,0,0,0,4.4,4.4,0.10,-0.4,-0.4
JoÃ£o Moutinho,pt POR,MF,31,33.7,1,18,3,16.7,0.53,0.09,0.06,0.33,26.2,1,0,0,0.7,0.7,0.04,+0.3,+0.3
Ryan Bennett,eng ENG,DF,28,34.0,1,15,4,26.7,0.44,0.12,0.07,0.25,12.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
RÃºben Neves,pt POR,MF,21,33.4,4,72,14,19.4,2.15,0.42,0.03,0.14,29.3,11,2,2,4.0,2.4,0.03,0.0,-0.4
Jonny Castro,es ESP,DFMF,24,30.8,1,25,7,28.0,0.81,0.23,0.04,0.14,20.0,0,0,0,2.0,2.0,0.08,-1.0,-1.0
Diogo Jota,pt POR,FWMF,21,26.2,9,58,24,41.4,2.22,0.92,0.16,0.38,14.0,0,0,0,8.8,8.8,0.15,+0.2,+0.2
Leander Dendoncker,be BEL,MF,23,16.3,2,17,10,58.8,1.04,0.61,0.12,0.20,14.1,0,0,0,3.4,3.4,0.21,-1.4,-1.4
HÃ©lder Costa,ao ANG,FWMF,24,14.9,1,25,7,28.0,1.68,0.47,0.04,0.14,18.9,0,0,0,2.4,2.4,0.10,-1.4,-1.4
Romain SaÃ¯ss,ma MAR,MFDF,28,12.8,2,11,5,45.5,0.86,0.39,0.18,0.40,18.5,0,0,0,1.4,1.4,0.13,+0.6,+0.6
Adama TraorÃ©,es ESP,FWMF,22,10.0,1,19,7,36.8,1.90,0.70,0.05,0.14,19.3,0,0,0,1.3,1.3,0.07,-0.3,-0.3
RÃºben Vinagre,pt POR,DFMF,19,7.9,0,4,3,75.0,0.51,0.38,0.00,0.00,20.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Ivan Cavaleiro,pt POR,FWMF,24,7.7,3,13,4,30.8,1.69,0.52,0.23,0.75,16.1,0,0,0,2.2,2.2,0.17,+0.8,+0.8
Morgan Gibbs-White,eng ENG,MFFW,18,7.4,0,8,1,12.5,1.09,0.14,0.00,0.00,18.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1
John Ruddy,eng ENG,GK,31,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
LÃ©o Bonatini,br BRA,FW,24,1.5,0,9,1,11.1,6.00,0.67,0.00,0.00,13.8,0,0,0,1.3,1.3,0.14,-1.3,-1.3
Max Kilman,eng ENG,DF,21,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Will Norris,eng ENG,GK,24,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26.1,38.0,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0
