Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Conor Coady,eng ENG,DF,25,38.0,21,0.55,20,0,0,0,0,1,2,0.05,2,0,0,0,0,0
Rui PatrÃ­cio,pt POR,GK,30,37.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Willy Boly,ci CIV,DF,27,35.2,29,0.82,25,0,0,3,0,1,0,0.00,0,0,0,0,0,0
RaÃºl JimÃ©nez,mx MEX,FW,27,34.6,88,2.55,70,0,7,7,3,1,11,0.32,9,0,0,1,1,0
Matt Doherty,ie IRL,DFMF,26,34.9,95,2.72,70,6,3,8,6,2,10,0.29,7,0,1,0,2,0
JoÃ£o Moutinho,pt POR,MF,31,33.7,141,4.18,90,46,0,1,1,3,15,0.45,9,6,0,0,0,0
Ryan Bennett,eng ENG,DF,28,34.0,26,0.76,19,4,0,2,0,1,0,0.00,0,0,0,0,0,0
RÃºben Neves,pt POR,MF,21,33.4,67,2.01,59,1,1,6,0,0,9,0.27,9,0,0,0,0,0
Jonny Castro,es ESP,DFMF,24,30.8,71,2.31,50,1,9,3,5,3,7,0.23,2,0,1,1,3,0
Diogo Jota,pt POR,FWMF,21,26.2,89,3.40,53,1,12,10,13,0,12,0.46,5,0,2,3,2,0
Leander Dendoncker,be BEL,MF,23,16.3,27,1.66,22,0,1,3,1,0,1,0.06,1,0,0,0,0,0
HÃ©lder Costa,ao ANG,FWMF,24,14.9,39,2.62,26,2,6,0,4,1,4,0.27,4,0,0,0,0,0
Romain SaÃ¯ss,ma MAR,MFDF,28,12.8,13,1.02,12,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Adama TraorÃ©,es ESP,FWMF,22,10.0,43,4.29,27,0,10,3,3,0,2,0.20,1,0,0,1,0,0
RÃºben Vinagre,pt POR,DFMF,19,7.9,21,2.66,14,2,1,1,3,0,1,0.13,1,0,0,0,0,0
Ivan Cavaleiro,pt POR,FWMF,24,7.7,33,4.28,28,3,2,0,0,0,3,0.39,3,0,0,0,0,0
Morgan Gibbs-White,eng ENG,MFFW,18,7.4,18,2.45,14,3,1,0,0,0,3,0.41,2,0,1,0,0,0
John Ruddy,eng ENG,GK,31,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
LÃ©o Bonatini,br BRA,FW,24,1.5,8,5.33,7,0,0,1,0,0,3,2.00,3,0,0,0,0,0
Max Kilman,eng ENG,DF,21,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Will Norris,eng ENG,GK,24,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Squad Total,,,26.1,38.0,830,21.84,607,69,53,48,40,13,83,2.18,58,6,5,6,8,0
