Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Lewis Dunk,eng ENG,DF,25,38,38,3420,38,1,1,1,0,0,7,0,0.03,0.03,0.05,0.03,0.05,2.7,2.7,1.2,3.9,0.07,0.03,0.1,0.07,0.1
Mathew Ryan,au AUS,GK,25,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,ie IRL,DF,25,37,37,3292,36.6,0,1,0,0,0,8,0,0,0.03,0.03,0,0.03,2.3,2.3,1.1,3.4,0.06,0.03,0.09,0.06,0.09
Dale Stephens,eng ENG,MF,28,36,36,3240,36,0,3,0,0,0,6,0,0,0.08,0.08,0,0.08,1.2,1.2,2.3,3.5,0.03,0.06,0.1,0.03,0.1
Davy PrÃ¶pper,nl NED,MF,25,35,35,3119,34.7,0,4,0,0,0,2,1,0,0.12,0.12,0,0.12,1.9,1.9,1.4,3.4,0.06,0.04,0.1,0.06,0.1
Pascal GroÃ,de GER,FWMF,26,38,35,2928,32.5,7,8,6,1,1,2,0,0.22,0.25,0.46,0.18,0.43,3.3,2.5,8.3,10.8,0.1,0.25,0.36,0.08,0.33
Anthony Knockaert,fr FRA,MFFW,25,33,27,2421,26.9,3,1,3,0,0,4,1,0.11,0.04,0.15,0.11,0.15,4.1,4.1,3.2,7.3,0.15,0.12,0.27,0.15,0.27
GaÃ«tan Bong,cm CMR,DF,29,25,25,2236,24.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0,0.02,0.02,0,0.02
Glenn Murray,eng ENG,FW,33,35,25,2192,24.4,12,0,8,4,6,9,0,0.49,0,0.49,0.33,0.33,11.9,7.5,1.6,9.1,0.49,0.07,0.55,0.31,0.37
Bruno,es ESP,DF,36,25,23,2016,22.4,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0,0.03,0.03,0,0.03
JosÃ© Izquierdo,co COL,MFFW,25,32,23,1984,22,5,3,5,0,0,2,0,0.23,0.14,0.36,0.23,0.36,3.8,3.8,2.2,5.9,0.17,0.1,0.27,0.17,0.27
Solly March,eng ENG,MFFW,23,36,18,1851,20.6,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,1.5,1.5,1.4,2.9,0.07,0.07,0.14,0.07,0.14
Ezequiel Schelotto,it ITA,DF,28,20,15,1318,14.6,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.02,0.04,0.06,0.02,0.06
Markus Suttner,at AUT,DF,30,14,13,1179,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03
Tomer Hemed,il ISR,FW,30,16,9,849,9.4,2,2,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42,1.9,1.9,0.1,2,0.2,0.01,0.21,0.2,0.21
Beram Kayal,il ISR,MF,29,19,8,745,8.3,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.03,0.06,0.09,0.03,0.09
Izzy Brown,eng ENG,MFFW,20,13,4,311,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,0.02,0.24,0.26,0.02,0.26
JÃ¼rgen Locadia,nl NED,FWMF,23,6,3,224,2.5,1,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8,1.1,1.1,0.1,1.2,0.44,0.04,0.48,0.44,0.48
Leonardo Ulloa,ar ARG,FW,31,10,2,267,3,1,0,1,0,0,0,0,0.34,0,0.34,0.34,0.34,0.7,0.7,0.2,1,0.25,0.08,0.33,0.25,0.33
Connor Goldson,eng ENG,DF,24,3,2,200,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0.1
Jamie Murphy,sct SCO,MF,27,4,1,168,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04
Liam Rosenior,eng ENG,DF,33,3,1,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Sam Baldock,eng ENG,FW,28,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uwe HÃ¼nemeier,de GER,DF,31,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Krul,nl NED,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,,,
Niki MÃ¤enpÃ¤Ã¤,fi FIN,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jayson Molumby,ie IRL,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,
Steve Sidwell,eng ENG,MF,34,0,0,,,,,,,,,,,,,,,,,,,,,,,
JiÅÃ­ SkalÃ¡k,cz CZE,FWMF,25,0,0,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,27.5,38,418,3420,38,33,25,28,5,7,54,,0.87,0.66,1.53,0.74,1.39,37,31.8,26.2,58,0.97,0.69,1.66,0.84,1.53
Opponent Total,,,27,38,418,3420,38,49,36,48,1,3,30,2,1.29,0.95,2.24,1.26,2.21,50.8,48.4,34.1,82.5,1.34,0.9,2.23,1.27,2.17
