Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Christopher Schindler,de GER,DF,28,37,37,3260,36.2,1,0,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,1.1,1.1,0.2,1.3,0.03,0.01,0.04,0.03,0.04
Terence Kongolo,nl NED,DF,24,32,32,2716,30.2,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.3,1.3,1.1,2.3,0.04,0.04,0.08,0.04,0.08
Jonas LÃ¶ssl,dk DEN,GK,29,31,30,2778,30.9,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02
Jonathan Hogg,eng ENG,MF,29,29,29,2367,26.3,0,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04,0.3,0.3,0.8,1.1,0.01,0.03,0.04,0.01,0.04
Alex Pritchard,eng ENG,MFFW,25,30,26,2081,23.1,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,2.7,2.7,1.8,4.5,0.12,0.08,0.19,0.12,0.19
Aaron Mooy,au AUS,MFFW,27,29,25,2330,25.9,3,1,2,1,1,4,0,0.12,0.04,0.15,0.08,0.12,2.8,2.1,2.6,4.6,0.11,0.10,0.21,0.08,0.18
Philip Billing,dk DEN,MF,22,27,25,2188,24.3,2,0,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,1.7,3.4,0.07,0.07,0.14,0.07,0.14
Mathias JÃ¸rgensen,dk DEN,DF,28,24,24,2147,23.9,3,1,3,0,0,6,0,0.13,0.04,0.17,0.13,0.17,1.4,1.4,0.3,1.7,0.06,0.01,0.07,0.06,0.07
Chris LÃ¶we,de GER,DFMF,29,29,23,2057,22.9,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,1.7,2.4,0.03,0.08,0.10,0.03,0.10
Erik Durm,de GER,DF,26,28,21,2055,22.8,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.6,1.0,0.02,0.03,0.04,0.02,0.04
Florent Hadergjonaj,xk KVX,DFMF,24,24,19,1842,20.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.5,1.7,0.01,0.07,0.08,0.01,0.08
Steve MouniÃ©,bj BEN,FW,23,31,19,1778,19.8,2,3,2,0,0,1,1,0.10,0.15,0.25,0.10,0.25,5.8,5.8,1.9,7.7,0.30,0.09,0.39,0.30,0.39
Juninho Bacuna,cw CUW,MFDF,20,21,16,1412,15.7,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,1.4,2.1,0.04,0.09,0.14,0.04,0.14
Elias Kachunga,cd COD,FWMF,26,20,13,1182,13.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.07,0.02,0.08,0.07,0.08
Tommy Smith,eng ENG,DF,26,15,13,1141,12.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04
Laurent Depoitre,be BEL,FW,29,23,10,1068,11.9,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,2.5,2.5,0.7,3.2,0.21,0.06,0.27,0.21,0.27
Isaac Mbenza,be BEL,FWMF,22,22,10,986,11.0,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,0.9,1.9,0.09,0.09,0.17,0.09,0.17
Karlan Grant,eng ENG,FW,20,13,9,877,9.7,4,0,4,0,0,0,0,0.41,0.00,0.41,0.41,0.41,3.6,3.6,0.3,3.9,0.37,0.03,0.40,0.37,0.40
Jon Gorenc StankoviÄ,si SVN,MFDF,22,11,9,715,7.9,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.1,1.1,0.13,0.01,0.14,0.13,0.14
Ben Hamer,eng ENG,GK,30,7,7,552,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Adama Diakhaby,fr FRA,FWMF,22,12,6,552,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.11,0.07,0.18,0.11,0.18
Rajiv van La Parra,nl NED,FWMF,27,5,5,405,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07
Jason Puncheon,eng ENG,MF,32,6,5,382,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.06,0.12,0.19,0.06,0.19
Danny Williams,us USA,MF,29,5,1,96,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.04,0.06,0.02,0.06
Joel Coleman,eng ENG,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Aaron Rowe,eng ENG,FW,17,2,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Abdelhamid Sabiri,ma MAR,FW,21,2,1,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Demeaco Duhaney,eng ENG,DF,19,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ramadan Sobhi,eg EGY,FWMF,21,4,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.22,0.22,0.00,0.22
Matty Daly,eng ENG,MF,17,2,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Collin Quaner,de GER,FW,27,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.17,0.17,0.00,0.17
Ryan Schofield,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,
