Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Jamaal Lascelles,eng ENG,DF,23,33,32,2928,32.5,3,0,3,0,0,5,0,0.09,0,0.09,0.09,0.09,1.1,1.1,0.7,1.8,0.03,0.02,0.05,0.03,0.05
Matt Ritchie,sct SCO,MFFW,27,35,32,2804,31.2,3,5,3,0,0,6,0,0.1,0.16,0.26,0.1,0.26,3.1,3.1,6,9.1,0.1,0.19,0.29,0.1,0.29
DeAndre Yedlin,us USA,DF,24,34,31,2845,31.6,0,2,0,0,0,5,0,0,0.06,0.06,0,0.06,0.2,0.2,2,2.2,0,0.06,0.07,0,0.07
Ayoze Pérez,es ESP,MFFW,24,36,28,2492,27.7,8,5,8,0,0,3,0,0.29,0.18,0.47,0.29,0.47,6.2,6.2,4.7,10.9,0.22,0.17,0.39,0.22,0.39
Jonjo Shelvey,eng ENG,MF,25,30,25,2270,25.2,1,3,1,0,0,3,3,0.04,0.12,0.16,0.04,0.16,2.4,2.4,2.5,4.9,0.09,0.1,0.19,0.09,0.19
Florian Lejeune,fr FRA,DF,26,24,24,2103,23.4,0,2,0,0,0,3,0,0,0.09,0.09,0,0.09,0.6,0.6,1.5,2.1,0.03,0.06,0.09,0.03,0.09
Mohamed Diamé,sn SEN,MF,30,31,23,2041,22.7,2,0,2,0,0,3,0,0.09,0,0.09,0.09,0.09,1.4,1.4,0.7,2.1,0.06,0.03,0.09,0.06,0.09
Dwight Gayle,eng ENG,FW,26,35,23,1958,21.8,6,3,6,0,0,3,0,0.28,0.14,0.41,0.28,0.41,8.3,8.3,2,10.4,0.38,0.09,0.48,0.38,0.48
Javier Manquillo,es ESP,DF,23,21,20,1758,19.5,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,0.1,0.1,1.3,1.4,0,0.07,0.07,0,0.07
Christian Atsu,gh GHA,FWMF,25,28,19,1784,19.8,2,2,2,0,0,1,0,0.1,0.1,0.2,0.1,0.2,4,4,2.6,6.7,0.2,0.13,0.34,0.2,0.34
